TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,all_amt_6m,all_cnt_6m,corp_amt_6m,corp_cnt_6m,corp_amt_share_pct,corp_cnt_share_pct,all_amt_growth_pct_m,noncorp_amt_growth_pct_m,corp_amt_growth_pct_m,corporate_growth_contribution_gap_pp_m
4004,대형할인점,강원특별자치도,강릉시,4517360000,101401,73450000.0,2818.0,1.6259496697185967,2.779065295214051,-6.0768645959975665,-6.1124397987702555,-3.778797621889806,0.035575202772688996
4004,대형할인점,강원특별자치도,동해시,2137040000,42061,25240000.0,547.0,1.1810728858608168,1.300492142364661,-2.7873190153905942,-2.7828890653638783,-3.2599123223356923,-0.004429950026715979
4004,대형할인점,강원특별자치도,삼척시,652120000,16767,9480000.0,324.0,1.4537201742010673,1.932367149758454,-23.201190952861815,-23.262074710805738,-18.273782797146495,0.0608837579439232
4004,대형할인점,강원특별자치도,속초시,4517840000,107901,60010000.0,2435.0,1.3282896251305933,2.2566982697101974,-0.07775570114901656,-0.22693960856945586,12.809790468457166,0.1491839074204393
4004,대형할인점,강원특별자치도,영월군,235390000,9554,9150000.0,432.0,3.887165979863206,4.521666317772661,0.8704166761251039,0.40220069573525913,13.56964097919771,0.46821598038984474
4004,대형할인점,강원특별자치도,원주시,5770450000,164806,210360000.0,9137.0,3.645469590759819,5.544094268412557,-5.216384722700864,-5.413637453262363,0.24554619746913206,0.19725273056149906
4004,대형할인점,강원특별자치도,인제군,44810000,1799,0.0,0.0,0.0,0.0,8.600590060495056,8.600590060495056,,0.0
4004,대형할인점,강원특별자치도,춘천시,8809520000,195677,320910000.0,9569.0,3.642763737411346,4.890201709960803,-2.502222675124806,-2.533240174235269,-1.6591477601549873,0.03101749911046303
4004,대형할인점,강원특별자치도,태백시,1039000000,21491,22220000.0,732.0,2.138594802694899,3.4060769624493976,-2.0419843102610935,-2.0031224098446923,-3.6710119150974627,-0.03886190041640125
4004,대형할인점,강원특별자치도,평창군,233690000,9128,5810000.0,264.0,2.4861996662244854,2.892199824715162,1.0339236401562044,0.973316128837112,5.389884231226906,0.060607511319092366
4004,대형할인점,강원특별자치도,홍천군,233600000,10709,10640000.0,597.0,4.554794520547945,5.574750210103651,4.038820636905743,4.090756457369327,4.151261383886511,-0.05193582046358447
4004,대형할인점,경기도,고양시 덕양구,32318320000,881527,792730000.0,31706.0,2.4528812141225163,3.5967134302182466,-3.323398664784409,-3.3825475828950275,-0.8890273336397821,0.05914891811061862
4004,대형할인점,경기도,고양시 일산동구,12046060000,358698,340290000.0,12696.0,2.824907065048655,3.539467741665691,-2.3588574129864477,-2.459996710517393,1.1049635578394168,0.10113929753094553
4004,대형할인점,경기도,고양시 일산서구,9095510000,266631,259830000.0,11971.0,2.856684232110129,4.48972550078573,-5.38065418943708,-5.539174981605785,-0.008853205125253002,0.15852079216870507
4004,대형할인점,경기도,과천시,1999580000,79734,65620000.0,4393.0,3.281689154722492,5.509569317982291,-1.8153232312700718,-2.0529656608641718,6.35528907958528,0.23764242959409998
4004,대형할인점,경기도,광명시,7805350000,384192,247790000.0,16249.0,3.1746174098534983,4.229395718807263,-1.8127327762477725,-1.9341742093375371,1.8462560815020992,0.12144143308976463
4004,대형할인점,경기도,광주시,5535510000,129360,91960000.0,3833.0,1.66127420960309,2.963048855905999,-2.218705380667425,-2.258439311789227,0.16507719929882775,0.0397339311218019
4004,대형할인점,경기도,구리시,4243780000,128331,192300000.0,7682.0,4.531337628246516,5.986082863844278,-0.5542764778787287,-0.6862022669891141,2.0899230386066496,0.13192578911038544
4004,대형할인점,경기도,군포시,13809800000,424359,260210000.0,13360.0,1.8842416255123173,3.148277755391072,-2.254798554750975,-2.307332613397408,0.6761296623888959,0.052534058646433124
4004,대형할인점,경기도,김포시,17209660000,473928,1997490000.0,23512.0,11.606795253363519,4.961091136206344,-4.246259009711753,-5.157995583285724,3.86268442113096,0.9117365735739709
4004,대형할인점,경기도,남양주시,16261310000,465962,338360000.0,15774.0,2.080767170664602,3.3852545915761376,-2.387433483808895,-2.4463382661616033,0.5258307450710625,0.05890478235270846
4004,대형할인점,경기도,동두천시,1044040000,29543,29760000.0,1037.0,2.850465499406153,3.5101377652912706,-2.620690266685406,-2.768626649575392,2.3067988952240737,0.147936382889986
4004,대형할인점,경기도,부천시 소사구,16385470000,434410,238130000.0,8731.0,1.4532997832836043,2.0098524435441174,-4.942408516432517,-4.950666535953249,-4.293536958446195,0.00825801952073224
4004,대형할인점,경기도,부천시 오정구,169800000,11394,3660000.0,231.0,2.15547703180212,2.0273828330700367,-21.523042948221295,-21.63299972169109,-16.449712281404555,0.10995677346979349
4004,대형할인점,경기도,부천시 원미구,17209740000,455676,482120000.0,14193.0,2.8014368607544333,3.114713085613462,-1.6780959461385758,-1.7426587046280635,0.5861226812456544,0.06456275848948767
4004,대형할인점,경기도,성남시 분당구,23799430000,695138,1095740000.0,36689.0,4.604059845130744,5.2779448109584,-2.215079458883914,-2.2640751258948666,-1.2210762267021118,0.04899566701095237
4004,대형할인점,경기도,성남시 수정구,9722810000,290088,160820000.0,8342.0,1.6540485723777385,2.875679104271807,-1.7333687424394308,-1.763200185896363,0.17238203492433124,0.029831443456932227
4004,대형할인점,경기도,성남시 중원구,189910000,14867,4690000.0,411.0,2.469590858827866,2.7645120064572546,-22.282984271848594,-22.187645598580865,-25.849858491944534,-0.09533867326772949
4004,대형할인점,경기도,수원시 권선구,15319650000,415890,411190000.0,17689.0,2.6840691530158978,4.253288129072591,-2.874650518873305,-2.9414887431459613,-0.48923325157953007,0.06683822427265618
4004,대형할인점,경기도,수원시 영통구,5574930000,282663,369720000.0,20767.0,6.631832148565094,7.346911339651811,-7.586416935963978,-7.9791188158377,-1.810240616951551,0.39270187987372207
4004,대형할인점,경기도,수원시 장안구,26732480000,699501,704060000.0,24181.0,2.633724966781982,3.4568928421832137,-4.889628415418777,-5.023509547990311,0.389531607399201,0.1338811325715339
4004,대형할인점,경기도,수원시 팔달구,6750750000,208635,254670000.0,10561.0,3.772469725586046,5.0619502959714335,-3.158038123767748,-3.2445599010567565,-0.9406821171226786,0.08652177728900856
4004,대형할인점,경기도,시흥시,23866610000,470425,745630000.0,18416.0,3.124155462380288,3.9147579316575434,-1.6705377904938499,-1.7207459693797178,0.0890462179426083,0.05020817888586793
4004,대형할인점,경기도,안산시 단원구,22607490000,502344,350970000.0,10531.0,1.5524500950791087,2.096372207093147,-1.9483101635867024,-1.9524659165711264,-1.6754654638117044,0.004155752984424055
4004,대형할인점,경기도,안산시 상록구,6202340000,214861,231880000.0,10093.0,3.738588984157592,4.697455564295057,-0.9552861853179659,-1.032724620520589,0.9564289596948647,0.07743843520262317
4004,대형할인점,경기도,안성시,21648060000,488511,464460000.0,13747.0,2.1455040313081173,2.8140615052680493,-2.6145775590462716,-2.6767606475962173,0.389605092746561,0.0621830885499457
4004,대형할인점,경기도,안양시 동안구,18572930000,557823,513680000.0,20046.0,2.7657456308724577,3.5936130277883844,-2.581616334124365,-2.6236809841033617,-1.0297259969450419,0.04206464997899673
4004,대형할인점,경기도,안양시 만안구,4797220000,159793,133840000.0,6665.0,2.789949178899446,4.1710212587535125,-14.207872645072722,-14.25211557980535,-12.65559685518807,0.04424293473262786
4004,대형할인점,경기도,양주시,9124280000,212958,239300000.0,6776.0,2.6226726930782487,3.1818480639374904,-2.868843958576249,-2.9227320066577778,-0.818630744729399,0.053888048081528694
4004,대형할인점,경기도,양평군,1191640000,27250,58330000.0,1747.0,4.894934711825719,6.411009174311927,0.550761433408463,0.44945668123548366,2.4600923307216562,0.1013047521729793
4004,대형할인점,경기도,여주시,30852650000,219117,1773840000.0,7116.0,5.749392677776463,3.2475800599679623,-0.8357426224753346,-0.6808475582918279,-2.7876974092457827,-0.15489506418350674
4004,대형할인점,경기도,오산시,7570050000,208645,182700000.0,7643.0,2.4134582994828304,3.663159912770495,-2.4042622545885073,-2.5283602086999544,2.9075209238757638,0.12409795411144708
4004,대형할인점,경기도,용인시 기흥구,9377060000,328140,421060000.0,22274.0,4.490319993686721,6.787956360090205,-2.7208466995780127,-2.9347767392251733,1.8903080486414239,0.21393003964716062
4004,대형할인점,경기도,용인시 수지구,7543020000,302979,422220000.0,20500.0,5.5974927814058555,6.766145508434578,-2.5626765427398905,-2.577685902987754,-2.3748621376543837,0.01500936024786359
