industry,model,feature,standardized_log_odds,odds_ratio_per_1sd
제과점,A_업력,log_tenure_start_years,-0.3999603624508423,0.6703466164060041
제과점,B_점포구조,log_tenure_start_years,-0.33987778830363574,0.7118573147367864
제과점,B_점포구조,log_facility_area_m2,-0.3569049279093946,0.6998390297315367
제과점,B_점포구조,log_competitors_500m,0.0020467987153083393,1.0020488948376685
제과점,B_점포구조,log_entrants_500m_h1,0.14144104325588397,1.151932588063936
제과점,C_점포+소비,log_tenure_start_years,-0.3396581929347431,0.7120136524713079
제과점,C_점포+소비,log_facility_area_m2,-0.357774799607688,0.6992305242654239
제과점,C_점포+소비,log_competitors_500m,-0.006885311227590548,0.9931383382186981
제과점,C_점포+소비,log_entrants_500m_h1,0.13574119911338536,1.1453854284693945
제과점,C_점포+소비,amt_growth_pct_m,-0.9930859568588151,0.3704317888517505
제과점,C_점포+소비,cnt_growth_pct_m,0.8478682447450197,2.334664609801781
제과점,C_점포+소비,ticket_growth_pct_m,0.37107174635702694,1.4492870507227782
제과점,C_점포+소비,benchmark_adjusted_gap_pct_m,0.0246484662955944,1.0249547510466477
제과점,D_점포+소비+시도임대,log_tenure_start_years,-0.3384686158581576,0.7128611515733149
제과점,D_점포+소비+시도임대,log_facility_area_m2,-0.35829830183199796,0.6988645713276116
제과점,D_점포+소비+시도임대,log_competitors_500m,-0.016019153279102118,0.9841084709705635
제과점,D_점포+소비+시도임대,log_entrants_500m_h1,0.14151541963111558,1.1520182678205826
제과점,D_점포+소비+시도임대,amt_growth_pct_m,-1.1159682728319218,0.3275979211131143
제과점,D_점포+소비+시도임대,cnt_growth_pct_m,0.9625409424707977,2.61834108212248
제과점,D_점포+소비+시도임대,ticket_growth_pct_m,0.4297148064025553,1.5368191700557177
제과점,D_점포+소비+시도임대,benchmark_adjusted_gap_pct_m,0.053384477584728154,1.0548351276270498
제과점,D_점포+소비+시도임대,reb_rent_1000won_m2_2026Q2,0.3563584914922042,1.42811942517038
제과점,D_점포+소비+시도임대,reb_rent_1000won_m2_qoq_change,-0.3851831029671092,0.680326055080062
제과점,D_점포+소비+시도임대,reb_vacancy_rate_pct_2026Q2,-0.035370063921072656,0.965248146641392
제과점,D_점포+소비+시도임대,reb_vacancy_rate_pct_qoq_change,-0.00834534246872942,0.9916893832352911
중국음식,A_업력,log_tenure_start_years,-0.39724921965338683,0.6721664876575741
중국음식,B_점포구조,log_tenure_start_years,-0.38331066191970475,0.681601118879576
중국음식,B_점포구조,log_facility_area_m2,-0.22105262132921893,0.8016744940027805
중국음식,B_점포구조,log_competitors_500m,-0.01027763911337376,0.9897749953458409
중국음식,B_점포구조,log_entrants_500m_h1,0.12673733456217573,1.135118822137957
중국음식,C_점포+소비,log_tenure_start_years,-0.37302818356659445,0.6886458240750101
중국음식,C_점포+소비,log_facility_area_m2,-0.2244704340785907,0.7989391977242623
중국음식,C_점포+소비,log_competitors_500m,-0.03984456642300709,0.9609387896983318
중국음식,C_점포+소비,log_entrants_500m_h1,0.13818638201526906,1.1481895322112912
중국음식,C_점포+소비,amt_growth_pct_m,0.8790033574055583,2.408498098050257
중국음식,C_점포+소비,cnt_growth_pct_m,-0.9335605170849258,0.39315139311364383
중국음식,C_점포+소비,ticket_growth_pct_m,-0.3162237631800523,0.7288963317572348
중국음식,C_점포+소비,benchmark_adjusted_gap_pct_m,-0.12050015999669018,0.8864769455119897
중국음식,D_점포+소비+시도임대,log_tenure_start_years,-0.36919777239926654,0.6912886791092583
중국음식,D_점포+소비+시도임대,log_facility_area_m2,-0.21637240148150724,0.8054353007172639
중국음식,D_점포+소비+시도임대,log_competitors_500m,-0.05911171261623121,0.9426014627997122
중국음식,D_점포+소비+시도임대,log_entrants_500m_h1,0.14337645508032978,1.1541642108738217
중국음식,D_점포+소비+시도임대,amt_growth_pct_m,0.8905466787838364,2.4364612489510575
중국음식,D_점포+소비+시도임대,cnt_growth_pct_m,-0.9519366045061024,0.38599278380177826
중국음식,D_점포+소비+시도임대,ticket_growth_pct_m,-0.31483401876065636,0.7299100155841819
중국음식,D_점포+소비+시도임대,benchmark_adjusted_gap_pct_m,-0.08946321811297857,0.9144218986687149
중국음식,D_점포+소비+시도임대,reb_rent_1000won_m2_2026Q2,0.32435525368041873,1.3831385849230118
중국음식,D_점포+소비+시도임대,reb_rent_1000won_m2_qoq_change,-0.3222277730395047,0.7245331424178137
중국음식,D_점포+소비+시도임대,reb_vacancy_rate_pct_2026Q2,-0.019215246655576203,0.9809681893945028
중국음식,D_점포+소비+시도임대,reb_vacancy_rate_pct_qoq_change,0.013111268216475772,1.0131975977776788
