station_id,station_name,avg_local_pressure_hpa,avg_sea_pressure_hpa,avg_temp_c,temp_normal_diff_c,avg_high_temp_c,max_temp_c,max_temp_day,avg_low_temp_c,min_temp_c,min_temp_day,days_max_ge_25c,days_min_lt_0c,avg_surface_min_temp_c,avg_humidity_pct,avg_cloud_tenths,ground_temp_0_5m_c,sunshine_hours,sunshine_pct,precipitation_total_mm,precip_normal_diff_mm,max_daily_precip_mm,max_daily_precip_day,days_precip_ge_0_1mm,days_precip_ge_1mm,days_precip_ge_10mm,days_precip_ge_30mm,total_evaporation_mm,avg_wind_ms,max_wind_ms,max_wind_direction,max_wind_day,days_cloud_lt_2_5,days_cloud_ge_7_5,phenomenon_dust_days,phenomenon_fog_days,phenomenon_storm_days,phenomenon_thunder_days,phenomenon_snow_days,phenomenon_frost_days,phenomenon_ice_days,STRD_YYMM,SIDO_NM,CCG_NM,mapping_method,scope_warning
90,속초,1018.1,1020.4,-0.6,-0.7,3.5,12.3,15,-5.2,-10.5,22,0,29,-9.6,33.0,2.3,,239.4,78.4,3.2,-40.3,1.8,19,4,1,0,0,,3.2,12.0,W,10,20,1,0,,0,,,,,202601,강원특별자치도,속초시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
93,북춘천,1012.4,1024.8,-6.5,,-0.5,6.6,16,-12.6,-18.2,22,0,31,-14.1,60.0,2.8,0.2,220.9,72.1,15.6,,5.5,10,5,5,0,0,,1.1,10.3,WSW,10,18,2,2,,0,,,,,202601,강원특별자치도,춘천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
95,철원,1005.4,1025.6,-7.0,-1.3,-1.0,8.0,16,-13.4,-19.2,21,0,31,-13.3,64.0,4.2,,196.6,64.3,9.1,-9.1,2.8,12,7,3,0,0,,1.0,6.2,WNW,10,12,6,1,,0,,,,,202601,강원특별자치도,철원군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
98,동두천,1010.2,1025.2,-5.3,-1.5,0.5,9.5,16,-10.6,-15.7,21,0,31,-15.0,53.0,3.3,,204.2,66.6,6.6,-11.8,2.9,12,5,3,0,0,,1.4,10.2,WSW,10,16,3,1,,0,,,,,202601,경기도,동두천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
99,파주,1021.9,1025.9,-6.3,-1.7,-0.5,8.3,15,-12.5,-18.2,23,0,31,-14.6,59.0,3.2,,208.8,68.1,6.5,-10.9,4.1,12,5,2,0,0,,1.3,7.4,WNW,10,15,3,1,,0,,,,,202601,경기도,파주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
100,대관령,926.5,1022.4,-7.8,-0.9,-2.3,7.0,16,-13.5,-20.2,2,0,31,-16.9,57.0,3.4,,230.4,75.0,7.4,-45.7,5.4,10,3,2,0,0,,4.6,15.1,W,13,13,4,1,,1,,,,,202601,강원특별자치도,평창군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
101,춘천,1013.8,1023.6,-5.4,-1.3,0.7,7.3,17,-11.6,-17.3,22,0,31,-16.5,60.0,,1.7,188.3,61.4,12.2,-6.4,4.6,10,5,5,0,0,,1.5,11.8,SW,10,16,5,2,,0,,,,,202601,강원특별자치도,춘천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
102,백령도,1019.4,1024.1,-1.8,-0.5,1.1,8.4,9,-4.3,-9.1,20,0,30,-7.7,59.0,5.0,,141.9,46.4,0.7,-12.6,0.4,3,2,0,0,0,,4.8,11.5,NNW,19,8,6,1,0.0,0,0.0,15.0,7.0,30.0,202601,인천광역시,옹진군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
104,북강릉,1009.7,1019.2,-1.1,,4.0,13.7,15,-6.2,-11.0,22,0,29,-12.2,39.0,1.9,0.2,244.2,79.6,3.7,,2.8,10,5,1,0,0,,2.4,11.7,W,11,22,1,1,0.0,0,0.0,3.0,3.0,31.0,202601,강원특별자치도,강릉시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
105,강릉,1017.1,1020.6,0.2,-0.7,4.7,14.6,15,-4.0,-9.8,22,0,28,-9.2,35.0,,1.0,243.0,79.2,3.7,-44.2,3.1,10,4,1,0,0,,3.0,8.8,WSW,10,21,0,1,,0,,,,,202601,강원특별자치도,강릉시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
106,동해,1015.5,1020.6,0.4,-0.7,4.9,15.4,15,-4.0,-8.4,22,0,29,-10.2,34.0,2.0,,236.2,76.8,10.6,-35.8,10.6,10,1,1,1,0,,3.3,12.9,WSW,10,21,0,0,,0,,,,,202601,강원특별자치도,동해시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
114,원주,1005.5,1024.7,-4.2,-1.1,0.8,8.6,15,-9.2,-13.8,22,0,31,-15.5,54.0,3.5,,212.6,69.0,9.6,-8.4,6.5,10,6,2,0,0,,1.5,8.4,W,10,14,3,1,,0,,,,,202601,강원특별자치도,원주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
115,울릉도,991.5,1019.0,1.4,-0.3,4.2,14.0,15,-1.1,-4.9,11,0,21,-4.7,66.0,6.4,6.0,109.1,35.5,103.6,-13.8,22.4,1,16,16,4,0,,3.5,14.8,W,10,1,13,0,0.0,1,0.0,25.0,0.0,26.0,202601,경상북도,울릉군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
121,영월,993.7,1024.5,-5.0,-1.4,1.1,8.4,16,-10.8,-15.7,3,0,31,-13.5,59.0,3.2,,212.1,68.8,15.2,-3.9,11.3,10,7,2,1,0,,1.6,9.6,W,13,15,4,0,,0,,,,,202601,강원특별자치도,영월군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
127,충주,1009.5,1024.3,-4.2,-1.0,1.4,10.8,15,-9.9,-14.2,12,0,31,-11.3,55.0,3.2,,200.5,64.9,7.9,-12.1,5.2,10,5,2,0,0,,1.5,8.6,SW,10,16,3,0,,0,,,,,202601,충청북도,충주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
129,서산,1021.9,1025.1,-2.6,-1.0,1.9,11.9,16,-7.5,-11.3,31,0,31,-10.7,64.0,,2.6,202.0,65.3,2.4,-21.1,1.2,19,6,1,0,0,,2.3,11.4,WNW,10,10,3,0,,0,,,,,202601,충청남도,서산시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
130,울진,1014.4,1020.7,0.5,-0.9,5.9,15.8,15,-4.4,-9.6,22,0,28,-8.2,36.0,2.0,,258.2,83.6,0.6,-48.3,0.5,10,2,0,0,0,,2.8,10.1,W,10,20,1,0,,0,,,,,202601,경상북도,울진군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
135,추풍령,993.0,1024.0,-2.6,-0.9,2.4,14.6,15,-7.5,-13.5,26,0,30,-9.6,50.0,3.3,,239.9,77.2,2.7,-21.4,1.4,10,5,1,0,0,,4.1,11.8,W,10,11,4,0,,0,,,,,202601,충청북도,영동군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
136,안동,1006.2,1024.3,-2.6,-0.8,3.3,12.1,16,-8.1,-13.2,3,0,31,-11.0,44.0,2.4,,246.4,79.6,1.4,-15.3,0.7,24,2,0,0,0,,2.2,9.4,WNW,10,19,0,0,0.0,0,0.0,6.0,18.0,31.0,202601,경상북도,안동시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
137,상주,1010.8,1023.1,-1.7,-0.8,3.5,13.1,15,-6.4,-11.7,22,0,30,-8.5,47.0,2.5,,238.4,76.9,2.3,-19.4,1.1,10,4,1,0,0,,2.5,8.5,W,10,19,4,0,,0,,,,,202601,경상북도,상주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
140,군산,1022.2,1025.8,-1.4,-1.3,3.4,11.9,15,-6.1,-9.9,22,0,29,-10.5,67.0,4.3,,190.4,61.2,1.1,-27.1,0.5,24,4,0,0,0,,2.8,15.1,WSW,10,7,4,0,,1,,,,,202601,전북특별자치도,군산시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
156,광주,1015.1,1024.0,0.5,-0.5,5.5,15.9,15,-3.8,-7.8,22,0,29,-9.3,59.0,4.1,,185.8,59.3,4.1,-28.5,1.5,2,6,1,0,0,,1.7,8.3,SW,10,4,3,0,3.0,0,0.0,11.0,9.0,27.0,202601,경기도,광주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
