BC_TP_BUZ_NO,BC_TP_BUZ_NM,cpi_series,mapping_logic,confidence,notes
4004,대형할인점,food_non_alcoholic_cpi,식료품 비중이 크지만 비식품도 판매,MEDIUM,전체 상품 구성을 완전히 반영하지 못함
4010,편의점,food_non_alcoholic_cpi,식음료 비중이 크지만 담배·생활용품도 판매,MEDIUM,담배 등 비식품 가격 미반영
4020,슈퍼마켓,food_non_alcoholic_cpi,주요 판매품목이 식료품·비주류음료,MEDIUM,생활용품 가격 미반영
8001,일반한식,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8002,갈비전문점,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8003,한정식,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8004,일식회집,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8005,중국음식,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8006,서양음식,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8021,스넥,restaurants_accommodation_cpi,음식서비스 지출목적 분류,MEDIUM,숙박 지수가 함께 포함됨
8301,제과점,bread_cereals_cpi,빵 및 곡물 세부 CPI 사용,HIGH,제과점 상품믹스 중 음료·디저트 일부 미반영
