BC_TP_BUZ_NO,BC_TPBUZ_NM,external_service,external_category,external_code,mapping_logic,confidence,notes
4004,대형할인점,LOCALDATA 대규모점포,대형마트,,대규모점포 업태 중 대형마트,MEDIUM,별도 대규모점포 파일 추가 확보 필요
4010,편의점,국세청 월간 지역 경제지표,편의점,,명칭 직접 일치,HIGH,물리적 점포 대신 가동사업자 수
4020,슈퍼마켓,국세청 월간 지역 경제지표,슈퍼마켓,,명칭 직접 일치,HIGH,물리적 점포 대신 가동사업자 수
8001,일반한식,LOCALDATA 일반음식점,한식·식육·숯불·갈비,,BC 한식 3종을 한식통합으로 합산,MEDIUM,세부 3종 분리 불가
8002,갈비전문점,LOCALDATA 일반음식점,한식·식육·숯불·갈비,,BC 한식 3종을 한식통합으로 합산,LOW,갈비만 완전 분리되지 않음
8003,한정식,LOCALDATA 일반음식점,한식·식육·숯불·갈비,,BC 한식 3종을 한식통합으로 합산,LOW,한정식만 완전 분리되지 않음
8004,일식회집,LOCALDATA 일반음식점,일식·회집,,업태명 키워드,MEDIUM,일식과 회집 범위 차이
8005,중국음식,LOCALDATA 일반음식점,중국식·중식,,업태명 키워드,HIGH,범위가 비교적 명확
8006,서양음식,LOCALDATA 일반음식점,경양식·서양식,,업태명 키워드,MEDIUM,기타 외국식 일부 제외
8021,스넥,LOCALDATA 일반·휴게음식점,분식,,업태명 키워드,MEDIUM,카페·패스트푸드 등 BC 스넥 범위 불명확
8301,제과점,LOCALDATA 제과점영업,제과점영업,,서비스 유형 직접 일치,HIGH,전국파일 69480행의 관리번호 결측·중복 0건 확인
