BC업종,SEMAS소분류코드,SEMAS소분류명,매핑신뢰도,API관측업종명,전국점포수
대형할인점,G20402,대형 마트,HIGH,,0
편의점,G20405,편의점,HIGH,편의점,54446
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862
일반한식,I20102,국/탕/찌개류,MEDIUM,국/탕/찌개류,31908
일반한식,I20103,족발/보쌈,MEDIUM,족발/보쌈,7573
일반한식,I20104,전/부침개,MEDIUM,전/부침개,914
일반한식,I20105,국수/칼국수,MEDIUM,국수/칼국수,20442
일반한식,I20106,냉면/밀면,MEDIUM,냉면/밀면,3883
일반한식,I20109,곱창 전골/구이,MEDIUM,곱창 전골/구이,7194
일반한식,I20110,닭/오리고기 구이/찜,MEDIUM,닭/오리고기 구이/찜,8622
일반한식,I20112,해산물 구이/찜,MEDIUM,해산물 구이/찜,14561
일반한식,I20113,복 요리 전문,MEDIUM,복 요리 전문,591
일반한식,I20199,기타 한식 음식점,MEDIUM,기타 한식 음식점,2485
갈비전문점,I20107,돼지고기 구이/찜,MEDIUM,돼지고기 구이/찜,55328
갈비전문점,I20108,소고기 구이/찜,MEDIUM,소고기 구이/찜,6184
한정식,I20101,백반/한정식,MEDIUM,백반/한정식,180762
일식회집,I20111,횟집,MEDIUM,횟집,19385
일식회집,I20301,일식 회/초밥,MEDIUM,일식 회/초밥,19499
일식회집,I20302,일식 카레/돈가스/덮밥,MEDIUM,일식 카레/돈가스/덮밥,2539
일식회집,I20303,일식 면 요리,MEDIUM,일식 면 요리,2292
일식회집,I20399,기타 일식 음식점,MEDIUM,기타 일식 음식점,512
중국음식,I20201,중국집,HIGH,중국집,27615
중국음식,I20202,마라탕/훠궈,HIGH,마라탕/훠궈,4369
서양음식,I20401,경양식,HIGH,경양식,19598
서양음식,I20402,파스타/스테이크,HIGH,파스타/스테이크,2041
서양음식,I20403,패밀리레스토랑,HIGH,패밀리레스토랑,410
서양음식,I20499,기타 서양식 음식점,HIGH,기타 서양식 음식점,1051
스넥,I21007,김밥/만두/분식,MEDIUM,김밥/만두/분식,44410
제과점,I21001,빵/도넛,MEDIUM_HIGH,빵/도넛,31168
