BC업종,시도코드,시도,시군구코드,시군구,점포수
갈비전문점,11,서울특별시,11110,종로구,339
갈비전문점,11,서울특별시,11140,중구,321
갈비전문점,11,서울특별시,11170,용산구,259
갈비전문점,11,서울특별시,11200,성동구,304
갈비전문점,11,서울특별시,11215,광진구,346
갈비전문점,11,서울특별시,11230,동대문구,297
갈비전문점,11,서울특별시,11260,중랑구,363
갈비전문점,11,서울특별시,11290,성북구,294
갈비전문점,11,서울특별시,11305,강북구,276
갈비전문점,11,서울특별시,11320,도봉구,201
갈비전문점,11,서울특별시,11350,노원구,314
갈비전문점,11,서울특별시,11380,은평구,335
갈비전문점,11,서울특별시,11410,서대문구,248
갈비전문점,11,서울특별시,11440,마포구,495
갈비전문점,11,서울특별시,11470,양천구,239
갈비전문점,11,서울특별시,11500,강서구,494
갈비전문점,11,서울특별시,11530,구로구,342
갈비전문점,11,서울특별시,11545,금천구,262
갈비전문점,11,서울특별시,11560,영등포구,492
갈비전문점,11,서울특별시,11590,동작구,238
갈비전문점,11,서울특별시,11620,관악구,375
갈비전문점,11,서울특별시,11650,서초구,370
갈비전문점,11,서울특별시,11680,강남구,689
갈비전문점,11,서울특별시,11710,송파구,522
갈비전문점,11,서울특별시,11740,강동구,330
갈비전문점,12,전남광주통합특별시,12110,목포시,307
갈비전문점,12,전남광주통합특별시,12130,여수시,364
갈비전문점,12,전남광주통합특별시,12150,순천시,355
갈비전문점,12,전남광주통합특별시,12170,나주시,153
갈비전문점,12,전남광주통합특별시,12190,광양시,252
갈비전문점,12,전남광주통합특별시,12210,동구,149
갈비전문점,12,전남광주통합특별시,12240,서구,394
갈비전문점,12,전남광주통합특별시,12270,남구,188
갈비전문점,12,전남광주통합특별시,12300,북구,474
갈비전문점,12,전남광주통합특별시,12330,광산구,439
갈비전문점,12,전남광주통합특별시,12710,담양군,105
갈비전문점,12,전남광주통합특별시,12720,곡성군,23
갈비전문점,12,전남광주통합특별시,12730,구례군,40
갈비전문점,12,전남광주통합특별시,12740,고흥군,64
갈비전문점,12,전남광주통합특별시,12750,보성군,38
갈비전문점,12,전남광주통합특별시,12760,화순군,91
갈비전문점,12,전남광주통합특별시,12770,장흥군,65
갈비전문점,12,전남광주통합특별시,12780,강진군,48
갈비전문점,12,전남광주통합특별시,12790,해남군,88
갈비전문점,12,전남광주통합특별시,12800,영암군,71
갈비전문점,12,전남광주통합특별시,12810,무안군,89
갈비전문점,12,전남광주통합특별시,12820,함평군,23
