BC업종,시도코드,시도,점포수
갈비전문점,11,서울특별시,8745
갈비전문점,12,전남광주통합특별시,4053
갈비전문점,26,부산광역시,3869
갈비전문점,27,대구광역시,2967
갈비전문점,28,인천광역시,2763
갈비전문점,30,대전광역시,1920
갈비전문점,31,울산광역시,1743
갈비전문점,36,세종특별자치시,318
갈비전문점,41,경기도,13381
갈비전문점,43,충청북도,2559
갈비전문점,44,충청남도,3018
갈비전문점,47,경상북도,4358
갈비전문점,48,경상남도,5080
갈비전문점,50,제주특별자치도,1604
갈비전문점,51,강원특별자치도,3051
갈비전문점,52,전북특별자치도,2083
서양음식,11,서울특별시,6900
서양음식,12,전남광주통합특별시,976
서양음식,26,부산광역시,1516
서양음식,27,대구광역시,988
서양음식,28,인천광역시,930
서양음식,30,대전광역시,685
서양음식,31,울산광역시,420
서양음식,36,세종특별자치시,149
서양음식,41,경기도,5003
서양음식,43,충청북도,607
서양음식,44,충청남도,738
서양음식,47,경상북도,852
서양음식,48,경상남도,1180
서양음식,50,제주특별자치도,702
서양음식,51,강원특별자치도,800
서양음식,52,전북특별자치도,654
슈퍼마켓,11,서울특별시,8229
슈퍼마켓,12,전남광주통합특별시,5659
슈퍼마켓,26,부산광역시,3747
슈퍼마켓,27,대구광역시,2421
슈퍼마켓,28,인천광역시,3256
슈퍼마켓,30,대전광역시,1688
슈퍼마켓,31,울산광역시,1313
슈퍼마켓,36,세종특별자치시,357
슈퍼마켓,41,경기도,14161
슈퍼마켓,43,충청북도,2653
슈퍼마켓,44,충청남도,3673
슈퍼마켓,47,경상북도,4557
슈퍼마켓,48,경상남도,4699
슈퍼마켓,50,제주특별자치도,1067
슈퍼마켓,51,강원특별자치도,2935
슈퍼마켓,52,전북특별자치도,3447
스넥,11,서울특별시,8097
스넥,12,전남광주통합특별시,2683
스넥,26,부산광역시,2732
스넥,27,대구광역시,2123
스넥,28,인천광역시,2372
스넥,30,대전광역시,1409
스넥,31,울산광역시,934
스넥,36,세종특별자치시,280
스넥,41,경기도,10490
스넥,43,충청북도,1704
스넥,44,충청남도,2005
스넥,47,경상북도,2479
스넥,48,경상남도,3002
스넥,50,제주특별자치도,838
스넥,51,강원특별자치도,1677
스넥,52,전북특별자치도,1585
일반한식,11,서울특별시,14446
일반한식,12,전남광주통합특별시,5612
일반한식,26,부산광역시,5835
일반한식,27,대구광역시,4296
일반한식,28,인천광역시,5152
일반한식,30,대전광역시,2853
일반한식,31,울산광역시,2310
일반한식,36,세종특별자치시,681
일반한식,41,경기도,23439
일반한식,43,충청북도,4158
일반한식,44,충청남도,5196
일반한식,47,경상북도,6602
일반한식,48,경상남도,7316
일반한식,50,제주특별자치도,1715
일반한식,51,강원특별자치도,5255
일반한식,52,전북특별자치도,3307
일식회집,11,서울특별시,9262
일식회집,12,전남광주통합특별시,2600
일식회집,26,부산광역시,3695
일식회집,27,대구광역시,1811
일식회집,28,인천광역시,2098
일식회집,30,대전광역시,1194
일식회집,31,울산광역시,1057
일식회집,36,세종특별자치시,230
일식회집,41,경기도,8868
일식회집,43,충청북도,1117
일식회집,44,충청남도,1895
일식회집,47,경상북도,2308
일식회집,48,경상남도,3684
일식회집,50,제주특별자치도,1105
일식회집,51,강원특별자치도,1999
일식회집,52,전북특별자치도,1304
제과점,11,서울특별시,6119
제과점,12,전남광주통합특별시,1798
제과점,26,부산광역시,1977
제과점,27,대구광역시,1509
제과점,28,인천광역시,1522
제과점,30,대전광역시,881
제과점,31,울산광역시,651
제과점,36,세종특별자치시,240
제과점,41,경기도,7465
제과점,43,충청북도,1002
제과점,44,충청남도,1304
제과점,47,경상북도,1636
제과점,48,경상남도,2043
제과점,50,제주특별자치도,766
제과점,51,강원특별자치도,1152
제과점,52,전북특별자치도,1103
중국음식,11,서울특별시,5517
중국음식,12,전남광주통합특별시,1723
중국음식,26,부산광역시,1948
중국음식,27,대구광역시,1349
중국음식,28,인천광역시,1727
중국음식,30,대전광역시,866
중국음식,31,울산광역시,661
중국음식,36,세종특별자치시,217
중국음식,41,경기도,7821
중국음식,43,충청북도,1297
중국음식,44,충청남도,1740
중국음식,47,경상북도,1959
중국음식,48,경상남도,2093
중국음식,50,제주특별자치도,559
중국음식,51,강원특별자치도,1281
중국음식,52,전북특별자치도,1226
편의점,11,서울특별시,9395
편의점,12,전남광주통합특별시,3097
편의점,26,부산광역시,2780
편의점,27,대구광역시,2037
편의점,28,인천광역시,2968
편의점,30,대전광역시,1465
편의점,31,울산광역시,1125
편의점,36,세종특별자치시,318
편의점,41,경기도,14871
편의점,43,충청북도,1999
편의점,44,충청남도,2887
편의점,47,경상북도,2733
편의점,48,경상남도,3305
편의점,50,제주특별자치도,1324
편의점,51,강원특별자치도,2381
편의점,52,전북특별자치도,1761
한정식,11,서울특별시,26446
한정식,12,전남광주통합특별시,13586
한정식,26,부산광역시,10640
한정식,27,대구광역시,8152
한정식,28,인천광역시,8264
한정식,30,대전광역시,5111
한정식,31,울산광역시,4413
한정식,36,세종특별자치시,1020
한정식,41,경기도,36488
한정식,43,충청북도,7548
한정식,44,충청남도,9903
한정식,47,경상북도,13083
한정식,48,경상남도,14506
한정식,50,제주특별자치도,4891
한정식,51,강원특별자치도,8970
한정식,52,전북특별자치도,7741
