SIDO_NM,CCG_NM,STRD_YYMM,amt,cnt,population_total,amt_per_registered_resident,cnt_per_registered_resident
강원특별자치도,강릉시,202601,14369480000,590418,205966.0,69766.27210316266,2.866579920957828
강원특별자치도,강릉시,202602,13798180000,563793,205895.0,67015.61475509361,2.7382549357682313
강원특별자치도,강릉시,202603,12362960000,552609,205891.0,60046.14091922425,2.683988129641412
강원특별자치도,강릉시,202604,12994200000,583128,205849.0,63124.91195002162,2.83279491277587
강원특별자치도,강릉시,202605,15668830000,680874,205790.0,76139.89989795422,3.3085864230526263
강원특별자치도,강릉시,202606,13720460000,622204,205666.0,66712.33942411482,3.0253128859412834
강원특별자치도,고성군,202601,1275220000,60585,26849.0,47495.99612648516,2.2565086222950574
강원특별자치도,고성군,202602,1266530000,58373,26942.0,47009.50189295524,2.166617177640858
강원특별자치도,고성군,202603,1111170000,55943,27076.0,41038.92746343625,2.06614714137982
강원특별자치도,고성군,202604,1299160000,65232,27172.0,47812.453996761375,2.4007066097453262
강원특별자치도,고성군,202605,1946660000,90706,27189.0,71597.33715840965,3.3361285814116
강원특별자치도,고성군,202606,1827110000,89386,27204.0,67163.2848110572,3.285766799000147
강원특별자치도,동해시,202601,5011990000,217071,86225.0,58126.87735575529,2.517494926065526
강원특별자치도,동해시,202602,4811100000,208082,86062.0,55902.721293950875,2.41781506355883
강원특별자치도,동해시,202603,4642430000,210430,85875.0,54060.32023289665,2.4504221251819507
강원특별자치도,동해시,202604,4775450000,215358,85758.0,55685.18388954966,2.5112292730707337
강원특별자치도,동해시,202605,5569320000,248064,85608.0,65056.0695262125,2.8976731146621812
강원특별자치도,동해시,202606,5161910000,235654,85589.0,60310.43708887824,2.7533211043475214
강원특별자치도,삼척시,202601,2168310000,86928,60307.0,35954.53264131858,1.441424710232643
강원특별자치도,삼척시,202602,2137180000,85355,60135.0,35539.70233640975,1.4193897064937224
강원특별자치도,삼척시,202603,2176910000,97958,60450.0,36011.74524400331,1.620479735318445
강원특별자치도,삼척시,202604,2472830000,106646,60461.0,40899.58816427118,1.7638808488116307
강원특별자치도,삼척시,202605,2978200000,122792,60408.0,49301.41703085684,2.0327108992186464
강원특별자치도,삼척시,202606,2536300000,109970,60294.0,42065.545493747304,1.8238962417487643
강원특별자치도,속초시,202601,10450250000,382952,79586.0,131307.6420475963,4.811801070540045
강원특별자치도,속초시,202602,10142410000,374150,79252.0,127976.70721243627,4.721016504315348
강원특별자치도,속초시,202603,8673460000,344103,78982.0,109815.65419969107,4.356726849155503
강원특별자치도,속초시,202604,9179750000,361230,78842.0,116432.23155171101,4.581695035640902
강원특별자치도,속초시,202605,11635160000,440591,78805.0,147644.94638665058,5.590901592538544
강원특별자치도,속초시,202606,10185090000,401894,78893.0,129100.04689896441,5.094165515318216
강원특별자치도,양구군,202601,786920000,34136,20373.0,38625.631963873755,1.6755509743287684
강원특별자치도,양구군,202602,737800000,31630,20382.0,36198.606613678734,1.5518594838583064
강원특별자치도,양구군,202603,844080000,37929,20368.0,41441.47682639434,1.8621857816182246
강원특별자치도,양구군,202604,869220000,39623,20349.0,42715.6125608138,1.947171851196619
강원특별자치도,양구군,202605,1018360000,45664,20358.0,50022.59553983692,2.2430494154632084
강원특별자치도,양구군,202606,912650000,41486,20372.0,44799.23424307873,2.036422540742195
강원특별자치도,양양군,202601,2139980000,79400,27349.0,78247.10227064975,2.903214011481224
강원특별자치도,양양군,202602,2027530000,74598,27390.0,74024.46148229281,2.72354874041621
