source,SIDO_NM,closure_count
LOCALDATA 대규모·준대규모점포,강원특별자치도,1
LOCALDATA 대규모·준대규모점포,경기도,1
LOCALDATA 대규모·준대규모점포,경상남도,3
LOCALDATA 대규모·준대규모점포,경상북도,1
LOCALDATA 대규모·준대규모점포,서울특별시,4
LOCALDATA 대규모·준대규모점포,세종특별자치시,1
LOCALDATA 안전상비의약품판매업소,강원특별자치도,48
LOCALDATA 안전상비의약품판매업소,경기도,307
LOCALDATA 안전상비의약품판매업소,경상남도,71
LOCALDATA 안전상비의약품판매업소,경상북도,93
LOCALDATA 안전상비의약품판매업소,광주광역시,39
LOCALDATA 안전상비의약품판매업소,대구광역시,69
LOCALDATA 안전상비의약품판매업소,대전광역시,27
LOCALDATA 안전상비의약품판매업소,부산광역시,69
LOCALDATA 안전상비의약품판매업소,서울특별시,265
LOCALDATA 안전상비의약품판매업소,세종특별자치시,4
LOCALDATA 안전상비의약품판매업소,울산광역시,43
LOCALDATA 안전상비의약품판매업소,인천광역시,87
LOCALDATA 안전상비의약품판매업소,전라남도,37
LOCALDATA 안전상비의약품판매업소,전북특별자치도,103
LOCALDATA 안전상비의약품판매업소,제주특별자치도,18
LOCALDATA 안전상비의약품판매업소,충청남도,39
LOCALDATA 안전상비의약품판매업소,충청북도,73
LOCALDATA 일반음식점,강원특별자치도,756
LOCALDATA 일반음식점,경기도,4197
LOCALDATA 일반음식점,경상남도,1068
LOCALDATA 일반음식점,경상북도,879
LOCALDATA 일반음식점,광주광역시,514
LOCALDATA 일반음식점,대구광역시,796
LOCALDATA 일반음식점,대전광역시,448
LOCALDATA 일반음식점,부산광역시,1068
LOCALDATA 일반음식점,서울특별시,4141
LOCALDATA 일반음식점,세종특별자치시,146
LOCALDATA 일반음식점,울산광역시,367
LOCALDATA 일반음식점,인천광역시,927
LOCALDATA 일반음식점,전라남도,705
LOCALDATA 일반음식점,전북특별자치도,617
LOCALDATA 일반음식점,제주특별자치도,460
LOCALDATA 일반음식점,충청남도,862
LOCALDATA 일반음식점,충청북도,759
LOCALDATA 제과점영업,강원특별자치도,44
LOCALDATA 제과점영업,경기도,356
LOCALDATA 제과점영업,경상남도,75
LOCALDATA 제과점영업,경상북도,72
LOCALDATA 제과점영업,광주광역시,72
LOCALDATA 제과점영업,대구광역시,113
LOCALDATA 제과점영업,대전광역시,49
LOCALDATA 제과점영업,부산광역시,104
LOCALDATA 제과점영업,서울특별시,471
LOCALDATA 제과점영업,세종특별자치시,7
LOCALDATA 제과점영업,울산광역시,19
LOCALDATA 제과점영업,인천광역시,79
LOCALDATA 제과점영업,전라남도,27
LOCALDATA 제과점영업,전북특별자치도,49
LOCALDATA 제과점영업,제주특별자치도,25
LOCALDATA 제과점영업,충청남도,76
LOCALDATA 제과점영업,충청북도,46
LOCALDATA 휴게음식점,강원특별자치도,45
LOCALDATA 휴게음식점,경기도,316
LOCALDATA 휴게음식점,경상남도,80
LOCALDATA 휴게음식점,경상북도,49
LOCALDATA 휴게음식점,광주광역시,37
LOCALDATA 휴게음식점,대구광역시,54
LOCALDATA 휴게음식점,대전광역시,23
LOCALDATA 휴게음식점,부산광역시,52
LOCALDATA 휴게음식점,서울특별시,169
LOCALDATA 휴게음식점,세종특별자치시,5
LOCALDATA 휴게음식점,울산광역시,19
LOCALDATA 휴게음식점,인천광역시,67
LOCALDATA 휴게음식점,전라남도,38
LOCALDATA 휴게음식점,전북특별자치도,34
LOCALDATA 휴게음식점,제주특별자치도,36
LOCALDATA 휴게음식점,충청남도,46
LOCALDATA 휴게음식점,충청북도,49
