source,external_subtype,row_count
LOCALDATA 일반음식점,한식,1042152
LOCALDATA 일반음식점,기타,283974
LOCALDATA 일반음식점,호프/통닭,212975
LOCALDATA 일반음식점,분식,186397
LOCALDATA 일반음식점,경양식,127678
LOCALDATA 일반음식점,식육(숯불구이),76397
LOCALDATA 일반음식점,중국식,74305
LOCALDATA 일반음식점,일식,59113
LOCALDATA 일반음식점,통닭(치킨),54250
LOCALDATA 일반음식점,정종/대포집/소주방,46083
LOCALDATA 일반음식점,횟집,32825
LOCALDATA 일반음식점,까페,21948
LOCALDATA 일반음식점,패스트푸드,18611
LOCALDATA 일반음식점,"외국음식전문점(인도,태국등)",11510
LOCALDATA 일반음식점,뷔페식,11294
LOCALDATA 일반음식점,탕류(보신용),10409
LOCALDATA 일반음식점,김밥(도시락),9840
LOCALDATA 일반음식점,전통찻집,2298
LOCALDATA 일반음식점,감성주점,2211
LOCALDATA 일반음식점,냉면집,1970
LOCALDATA 일반음식점,라이브카페,1941
LOCALDATA 일반음식점,패밀리레스트랑,1896
LOCALDATA 일반음식점,복어취급,1461
LOCALDATA 일반음식점,출장조리,1298
LOCALDATA 일반음식점,이동조리,919
LOCALDATA 일반음식점,키즈카페,682
LOCALDATA 일반음식점,푸드트럭,185
LOCALDATA 일반음식점,<NA>,140
LOCALDATA 일반음식점,일반조리판매,9
LOCALDATA 일반음식점,기타 휴게음식점,8
LOCALDATA 일반음식점,커피숍,5
LOCALDATA 일반음식점,간이주점,4
LOCALDATA 일반음식점,다방,2
LOCALDATA 일반음식점,룸살롱,1
LOCALDATA 일반음식점,식품소분업,1
LOCALDATA 일반음식점,식품등 수입판매업,1
LOCALDATA 일반음식점,제과점영업,1
LOCALDATA 휴게음식점,커피숍,191095
LOCALDATA 휴게음식점,기타 휴게음식점,126116
LOCALDATA 휴게음식점,일반조리판매,98251
LOCALDATA 휴게음식점,다방,80334
LOCALDATA 휴게음식점,편의점,60147
LOCALDATA 휴게음식점,패스트푸드,32295
LOCALDATA 휴게음식점,과자점,23409
LOCALDATA 휴게음식점,백화점,11085
LOCALDATA 휴게음식점,푸드트럭,9024
LOCALDATA 휴게음식점,아이스크림,4038
LOCALDATA 휴게음식점,전통찻집,2981
LOCALDATA 휴게음식점,떡카페,1708
LOCALDATA 휴게음식점,고속도로,1458
LOCALDATA 휴게음식점,키즈카페,1454
LOCALDATA 휴게음식점,철도역구내,812
LOCALDATA 휴게음식점,유원지,738
LOCALDATA 휴게음식점,극장,263
LOCALDATA 휴게음식점,관광호텔,259
LOCALDATA 휴게음식점,공항,90
LOCALDATA 휴게음식점,<NA>,17
LOCALDATA 휴게음식점,한식,11
LOCALDATA 휴게음식점,분식,8
LOCALDATA 휴게음식점,기타,4
LOCALDATA 휴게음식점,호프/통닭,2
LOCALDATA 휴게음식점,김밥(도시락),2
LOCALDATA 휴게음식점,단란주점,1
LOCALDATA 휴게음식점,룸살롱,1
LOCALDATA 휴게음식점,까페,1
LOCALDATA 휴게음식점,경양식,1
LOCALDATA 휴게음식점,식품소분업,1
LOCALDATA 휴게음식점,즉석판매제조가공업,1
LOCALDATA 휴게음식점,식육(숯불구이),1
LOCALDATA 제과점영업,제과점영업,69433
LOCALDATA 제과점영업,푸드트럭,41
LOCALDATA 제과점영업,<NA>,6
LOCALDATA 대규모·준대규모점포,그 밖의 대규모점포,1679
LOCALDATA 대규모·준대규모점포,대형마트,790
LOCALDATA 대규모·준대규모점포,구분없음,650
LOCALDATA 대규모·준대규모점포,쇼핑센터,279
LOCALDATA 대규모·준대규모점포,복합쇼핑몰,250
LOCALDATA 대규모·준대규모점포,시장,223
LOCALDATA 대규모·준대규모점포,백화점,162
LOCALDATA 대규모·준대규모점포,전문점,132
LOCALDATA 대규모·준대규모점포,<NA>,18
LOCALDATA 식품판매업(기타),기타식품판매업,13808
LOCALDATA 식품판매업(기타),식품조사처리업,3
LOCALDATA 식품판매업(기타),<NA>,2
LOCALDATA 식품판매업(기타),즉석판매제조가공업,1
LOCALDATA 안전상비의약품판매업소,<NA>,92009
LOCALDATA 담배소매업,<NA>,657168
