source,name_pattern,matched_rows,all_rows,share_pct
LOCALDATA 식품판매업(기타),CU/BGF,5,13814,0.03619516432604604
LOCALDATA 식품판매업(기타),GS25,4,13814,0.02895613146083683
LOCALDATA 식품판매업(기타),세븐일레븐,0,13814,0.0
LOCALDATA 식품판매업(기타),이마트24,3,13814,0.021717098595627624
LOCALDATA 식품판매업(기타),미니스톱,0,13814,0.0
LOCALDATA 식품판매업(기타),마트·슈퍼,9591,13814,69.42956421022151
LOCALDATA 안전상비의약품판매업소,CU/BGF,28000,92009,30.431805584236326
LOCALDATA 안전상비의약품판매업소,GS25,26256,92009,28.536338836418178
LOCALDATA 안전상비의약품판매업소,세븐일레븐,14715,92009,15.993000684715625
LOCALDATA 안전상비의약품판매업소,이마트24,2235,92009,2.429110195741721
LOCALDATA 안전상비의약품판매업소,미니스톱,4499,92009,4.889739047267115
LOCALDATA 안전상비의약품판매업소,마트·슈퍼,3329,92009,3.6181243139258115
LOCALDATA 담배소매업,CU/BGF,37960,657168,5.776300732841526
LOCALDATA 담배소매업,GS25,36185,657168,5.50620237138753
LOCALDATA 담배소매업,세븐일레븐,22150,657168,3.3705232147639568
LOCALDATA 담배소매업,이마트24,10918,657168,1.661371217101259
LOCALDATA 담배소매업,미니스톱,7470,657168,1.1366956394711853
LOCALDATA 담배소매업,마트·슈퍼,201261,657168,30.62550215470017
