source_name,provider,official_page,public_data_id,download_url_or_api_endpoint,retrieval_date,file_name,file_size,encoding,row_count,column_count,update_cycle,spatial_scope,temporal_scope,license,api_key_required,download_success,failure_reason,checksum_sha256
LOCALDATA 일반음식점,행정안전부,https://www.data.go.kr/data/15045016/fileData.do,15045016,https://file.localdata.go.kr/file/download/general_restaurants/info,2026-09-04 (기존 원본 재사용),dataset/외부데이터/폐업_전국/raw/localdata/general_restaurants/일반음식점.csv,696401999,cp949,2294794.0,39.0,매일(2일 전 기준 현행화),전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,90247868f8a58c931e1ebfc8d89ceb74df74c1ccd4a88589c1a08c6038da3103
LOCALDATA 휴게음식점,행정안전부,https://www.data.go.kr/data/15006730/fileData.do,15006730,https://file.localdata.go.kr/file/download/rest_cafes/info,2026-09-04 (기존 원본 재사용),dataset/외부데이터/폐업_전국/raw/localdata/rest_cafes/휴게음식점.csv,207233039,cp949,645608.0,39.0,매일(2일 전 기준 현행화),전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,98036f144ae9ad0f54ce6ed397908f8f80cbdea5db2ce5d7a152db216bf2624e
LOCALDATA 제과점영업,행정안전부,https://www.data.go.kr/data/15006688/fileData.do,15006688,https://file.localdata.go.kr/file/download/bakeries/info,2026-09-04 (기존 원본 재사용),dataset/외부데이터/폐업_전국/raw/localdata/bakery/제과점.csv,22654613,cp949,69480.0,39.0,매일(2일 전 기준 현행화),전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,90ade8a48f0aa8fdacf276cee623facf2ce8d20f3768e3a7f2116dcef35e3f9f
LOCALDATA 대규모·준대규모점포,행정안전부,https://www.data.go.kr/data/15114138/standard.do,15114138 (현재 파일 카탈로그 15045013),https://file.localdata.go.kr/file/download/large_scale_retail_stores/info,2026-09-08,dataset/외부데이터/폐업_전국/raw/localdata/large_scale_retail/생활_대규모점포.csv,1185779,cp949,4183.0,26.0,매일(2일 전 기준 현행화),전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,79ea10081e6ef2a6ebf66261dcf9c01238df31e9369dcd9f9cb89e046040065b
LOCALDATA 식품판매업(기타),행정안전부,https://www.data.go.kr/data/15044979/fileData.do,15044979,https://file.localdata.go.kr/file/download/other_food_retailers/info,2026-09-08,dataset/외부데이터/폐업_전국/raw/localdata/food_retail/식품판매업_기타.csv,4575871,cp949,13814.0,39.0,매일(2일 전 기준 현행화),전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,7e08199dd9161576ddc34fbb269aa19fabcacc039d1fda61a621a0d246dc60b1
LOCALDATA 안전상비의약품판매업소,행정안전부,https://file.localdata.go.kr/file/over_the_counter_medicine_stores/info,LOCALDATA file service,https://file.localdata.go.kr/file/download/over_the_counter_medicine_stores/info,2026-09-08,dataset/외부데이터/폐업_전국/raw/localdata/other_candidates/안전상비의약품판매업소.csv,25296473,cp949,92009.0,23.0,매일,전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,af3cbde89eab0c2b08c52ab32eed7694b26e3b1753bfbff7fef0647b449dea34
LOCALDATA 담배소매업,행정안전부,https://file.localdata.go.kr/file/tobacco_retailers/info,LOCALDATA file service,https://file.localdata.go.kr/file/download/tobacco_retailers/info,2026-09-08,dataset/외부데이터/폐업_전국/raw/localdata/other_candidates/담배소매업.csv,182868555,cp949,657168.0,24.0,매일,전국 개별 인허가/등록,최신 스냅샷+과거 인허가·폐업일; 2026H1 재구성,이용허락범위 제한 없음,False,True,,03651a46425722a211647cb0bf73d73fdd444bf1eca46334755a27b6e13a2f9e
국세청 월간 지역 경제지표,국세청,https://tasis.nts.go.kr/,15061118 관련 월간 원본,TASIS 공식 다운로드,2026-09-02 (기존 원본 재사용),dataset/외부데이터/폐업_전국/raw/nts/월간 지역 경제지표(2026년 1월).xlsx,15766816,xlsx,,,월,전국 시군구×생활업종,월간 지역 경제지표(2026년 1월),공공자료,False,True,,499553bb9c606df2a172a5a6a36941e87310a91168324b64372d300973742bc3
국세청 월간 지역 경제지표,국세청,https://tasis.nts.go.kr/,15061118 관련 월간 원본,TASIS 공식 다운로드,2026-09-02 (기존 원본 재사용),dataset/외부데이터/폐업_전국/raw/nts/월간 지역 경제지표(2026년 2월).xlsx,15717903,xlsx,,,월,전국 시군구×생활업종,월간 지역 경제지표(2026년 2월),공공자료,False,True,,87970720bc9cc5157f76b8d76bb0eb5a8d8ddd9ddd09d9577cf39b755e42f9c1
국세청 월간 지역 경제지표,국세청,https://tasis.nts.go.kr/,15061118 관련 월간 원본,TASIS 공식 다운로드,2026-09-02 (기존 원본 재사용),dataset/외부데이터/폐업_전국/raw/nts/월간 지역 경제지표(2026년 3월).xlsx,15803021,xlsx,,,월,전국 시군구×생활업종,월간 지역 경제지표(2026년 3월),공공자료,False,True,,f1e3bafa528ed4bc51dda8258b884493416f01be8510f70a4daa1f0bab27c2d0
