개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
3000000,3000000-114-2026-00001,2026-06-05,영업/정상,,394.50,110-240,03061,서울동행상회,기타식품판매업,I,임대,,,,,,N,2026-06-06 22:45:20,"서울특별시 종로구 율곡로 39, 1층 (안국동)",,,,영업,01,0,,01,,,기타식품판매업,,,027381010,198507.437120234    ,452641.178441629    ,서울특별시 종로구 안국동 175-3 ,,2026-06-05 15:13:42
3000000,3000000-114-1996-00090,1996-06-21,영업/정상,,657.86,110-061,03182,홈플러스 익스프레스 광화문점,기타식품판매업,U,,0,0,0,,,N,2026-07-01 03:03:03,서울특별시 종로구 새문안로 91 (신문로1가),,,0,영업,01,0,,01,,,기타식품판매업,,,027379994,,,서울특별시 종로구 신문로1가 24 ,,2011-03-10 16:26:39
3000000,3000000-114-1999-00140,1999-12-01,폐업,2002-08-02,706.92,110-522,,주)농심가후레쉬마켓명륜점,기타식품판매업,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,기타,,,폐업,02,0,0,03,기타,,기타식품판매업,,,021001000,199916.833506015    ,453462.420943009    ,서울특별시 종로구 명륜2가 41-9 ,,2000-01-03 00:00:00
3000000,3000000-114-2002-00001,2002-01-17,폐업,2005-10-10,,110-847,,코사마트 평창점,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,기타식품판매업,,,023914480,196986.931657005    ,456038.650926234    ,서울특별시 종로구 평창동 182-2 창계빌딩 지1층 ,,2002-01-17 00:00:00
3000000,3000000-114-2003-00001,2003-03-24,폐업,2007-09-13,,110-522,,퀸할인매장,기타식품판매업,I,,0,0,0,,,N,2025-12-15 16:15:28,,,,0,폐업,02,0,,03,,,기타식품판매업,,,0236750628,199878.668537625    ,453693.071412414    ,서울특별시 종로구 명륜2가 4 아남상가 지층 ,,2004-02-02 00:00:00
3000000,3000000-114-2003-00002,2003-04-04,폐업,2017-11-06,,110-530,03084,(주)서린유통,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 대학로 144 (혜화동),,,,폐업,02,0,,03,,,기타식품판매업,,,0236722239,200121.813720325    ,453518.007319338    ,서울특별시 종로구 혜화동 185 ,,2017-11-06 09:22:42
3000000,3000000-114-2004-00001,2004-02-13,폐업,2004-08-31,,110-837,,진성마트,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,기타식품판매업,,,0236769244,201228.579823795    ,452855.249637866    ,서울특별시 종로구 창신동 23-816 이수@101동1호 ,,2004-02-13 00:00:00
3000000,3000000-114-2004-00002,2004-08-19,폐업,2020-03-23,,110-837,03095,그랜드마트 창신점,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 지봉로 87 (창신동,이수아파트상가1층)",,,,폐업,02,0,,03,,,기타식품판매업,,,0236769244,201228.579823795    ,452855.249637866    ,서울특별시 종로구 창신동 23-816 이수아파트상가1층 ,,2020-03-23 15:35:16
3000000,3000000-114-2004-00003,2004-12-31,폐업,2015-10-19,,110-522,03074,코아마트,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 성균관로 12 (명륜2가),,,,폐업,02,0,,03,,,기타식품판매업,,,027650050,199769.96511678     ,453520.42735819     ,서울특별시 종로구 명륜2가 211 ,,2015-11-24 13:59:23
3000000,3000000-114-2005-00001,2005-04-20,폐업,2015-04-01,.00,110-847,03008,코스코마트,기타식품판매업,I,임대,0,0,0,,,N,2025-12-15 16:15:28,"서울특별시 종로구 평창11길 3 (평창동,뉴본상가 지하1)",,,0,폐업,02,0,,03,,,기타식품판매업,,,34170051,196965.164175084    ,455959.269196762    ,서울특별시 종로구 평창동 331 뉴본상가 지하1 ,,2010-02-08 15:07:19
3000000,3000000-114-2005-00002,2005-05-06,폐업,2006-03-09,,110-420,,제이유마트,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,기타식품판매업,,,0222660089,199045.043602772    ,451939.677286976    ,서울특별시 종로구 관수동 20 외 2필지 ,,2005-09-13 00:00:00
3000000,3000000-114-2005-00003,2005-10-05,폐업,2007-12-28,,110-847,,해가온유기농하우스,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,기타식품판매업,,,023956200,196986.931657005    ,456038.650926234    ,서울특별시 종로구 평창동 182-2 지하1층 ,,2005-10-05 00:00:00
3000000,3000000-114-2007-00001,2007-10-16,폐업,2009-04-02,600.00,110-837,,더원마트,기타식품판매업,I,,0,0,0,,,N,2025-12-15 16:15:28,,,,0,폐업,02,0,,03,,,기타식품판매업,,,027439779,201258.062657124    ,452787.132831042    ,서울특별시 종로구 창신동 23-76 브라운스톤 ,,2008-01-22 16:15:22
3000000,3000000-114-2007-00002,2007-11-26,폐업,2010-09-20,376.17,110-522,,이화 웰빙 마트,기타식품판매업,I,임대,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,기타식품판매업,,,027410017,199878.668537625    ,453693.071412414    ,서울특별시 종로구 명륜2가 4 아남아파트상가 지하1층 ,,2009-10-26 16:40:04
3000000,3000000-114-2010-00002,2010-10-07,폐업,2010-10-28,310.00,110-530,,롯데쇼핑(주)롯데슈퍼 대학로점,기타식품판매업,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,기타식품판매업,,,0222905618,200113.874740135    ,453549.526436303    ,서울특별시 종로구 혜화동 90-18 씨티밸리빌딩 101호 ,,2010-10-07 17:41:19
3000000,3000000-114-2013-00001,2013-03-18,폐업,2019-02-01,478.70,110-033,03042,한국익간보,기타식품판매업,I,임대,0,0,0,,,N,2025-12-15 16:15:28,"서울특별시 종로구 자하문로 70, 효자빌딩 (효자동)",,,0,폐업,02,0,,03,,,기타식품판매업,,,023386009,197371.887812909    ,453324.664252139    ,서울특별시 종로구 효자동 54 효자빌딩 ,,2019-02-01 12:14:55
3000000,3000000-114-2016-00001,2016-01-04,폐업,2018-12-12,299.00,110-160,03161,(주)에스엠면세점,기타식품판매업,I,임대,,,,상수도전용,,Y,2025-12-15 16:15:28,"서울특별시 종로구 인사동5길 41, 4층 (공평동, 하나투어빌딩)",,,,폐업,02,0,,03,,,기타식품판매업,,,0221271352,198531.019987857    ,452166.91560057     ,서울특별시 종로구 공평동 1 하나투어빌딩 4층 ,,2018-12-12 13:41:21
3000000,3000000-114-2016-00002,2016-02-23,폐업,2023-05-19,390.00,110-847,03008,롯데쇼핑(주)롯데슈퍼 종로평창점,기타식품판매업,I,임대,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 평창문화로 39, 1층 (평창동)",,,,폐업,02,0,,03,,,기타식품판매업,,,0232179151,196896.329082976    ,455893.228194817    ,서울특별시 종로구 평창동 323-4 1층 ,,2023-05-19 16:00:58
3000000,3000000-114-2016-00003,2016-06-23,폐업,2023-10-27,594.00,110-847,03008,365할인마트,기타식품판매업,I,임대,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 평창11길 3, 지하1층 (평창동, 뉴본빌딩)",,,,폐업,02,0,,03,,,기타식품판매업,,,0234170051,196965.164175084    ,455959.269196762    ,서울특별시 종로구 평창동 331 지하1층 ,,2023-10-27 10:10:49
3000000,3000000-114-2021-00001,2021-07-27,폐업,2023-06-19,"1,388.28",110-420,03192,국일관식자재마트,기타식품판매업,I,임대,,,,상수도전용,,N,2025-12-15 16:15:28,"서울특별시 종로구 수표로 96, 국일관드림펠리스 지하1층 (관수동)",,,,폐업,02,0,,03,,,기타식품판매업,,,0222724980,199045.043602772    ,451939.677286976    ,서울특별시 종로구 관수동 20 국일관드림펠리스 지하1층 ,,2023-06-19 10:49:43
3000000,3000000-114-2000-00230,2000-04-07,폐업,2026-03-31,577.91,110-080,03025,현대후레쉬마트,기타식품판매업,U,,,,,,0,N,2026-04-01 03:03:03,"서울특별시 종로구 통일로 246-20, 지하1층 (무악동, 무악현대아파트상가)",자율,,,폐업,02,0,0,03,아파트지역,,기타식품판매업,,,027392360,196467.975088253    ,452566.134030104    ,서울특별시 종로구 무악동 82 무악현대아파트상가 지하1층 (지하101호) ,,2026-03-31 17:49:05
3000000,3000000-114-2007-00003,2007-12-28,영업/정상,,"2,120.78",110-054,03168,서서울농협 하나로마트 사직점,기타식품판매업,I,자가,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 사직로8길 4 (사직동,외 1필지 광화문풍림스페이스본 301동 지하 B130호)",,,,영업,01,0,,01,,,기타식품판매업,,,027254008,197181.393301659    ,452458.826651573    ,서울특별시 종로구 사직동 9 외 1필지 광화문풍림스페이스본 301동 지하 B130호 ,,2012-08-22 14:45:00
3000000,3000000-114-2010-00001,2010-05-10,영업/정상,,785.00,110-522,03075,홈플러스익스프레스명륜2점,기타식품판매업,U,임대,10,,,,,N,2026-07-01 03:03:03,"서울특별시 종로구 혜화로3길 5 (명륜2가, 명륜주상복합아남아파트상가 301동 1층)",,,,영업,01,0,,01,,,기타식품판매업,,,027648545,,,서울특별시 종로구 명륜2가 237 명륜주상복합아남아파트상가 301동 1층 ,,2014-04-30 14:54:32
3000000,3000000-114-2010-00003,2010-11-18,영업/정상,,495.90,110-803,03012,(주)지에스리테일GS수퍼종로구기점,기타식품판매업,I,임대,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 진흥로 456 (구기동,1층)",,,,영업,01,0,,01,,,기타식품판매업,,,023798486,196278.554670262    ,456053.759563793    ,서울특별시 종로구 구기동 94 1층 ,,2025-04-08 10:35:17
3000000,3000000-114-2012-00001,2012-05-15,영업/정상,,827.38,110-847,03009,(주)지에스리테일 GS수퍼 종로평창점,기타식품판매업,I,임대,,,,상수도전용,,N,2025-12-15 16:15:28,"서울특별시 종로구 평창문화로 75, 글로리아타운 A동 지하1층 B101호 (평창동)",,,,영업,01,0,,01,,,기타식품판매업,,,0267132505,197212.364862058    ,456055.205802855    ,서울특별시 종로구 평창동 158-1 글로리아타운 ,,2025-04-07 14:07:11
3000000,3000000-114-2016-00004,2016-09-21,영업/정상,,"2,684.40",110-816,03017,청하고려인삼(주),기타식품판매업,I,자가,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 자하문로 280, 3,4층 (부암동, 청하빌딩)",,,,영업,01,0,,01,,,기타식품판매업,,,023951688,196554.899209998    ,455159.209918255    ,"서울특별시 종로구 부암동 182-1 청하빌딩 3,4층 ",,2024-09-23 15:29:21
3000000,3000000-114-2017-00001,2017-12-07,영업/정상,,380.00,110-530,03084,레몬마트,기타식품판매업,I,임대,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 대학로 144, 지하1층 (혜화동)",,,,영업,01,0,,01,,,기타식품판매업,,,0236722231,200121.813720325    ,453518.007319338    ,서울특별시 종로구 혜화동 185 중원빌딩 ,,2017-12-07 14:29:42
3000000,3000000-114-2019-00001,2019-06-11,영업/정상,,386.44,110-522,03074,성대마트,기타식품판매업,I,자가,0,0,0,,,N,2025-12-15 16:15:28,"서울특별시 종로구 성균관로 12, 유니지오 지상1층 101~102호 (명륜2가)",,,0,영업,01,0,,01,,,기타식품판매업,,,,199769.96511678     ,453520.42735819     ,서울특별시 종로구 명륜2가 211 유니지오 ,,2019-08-06 15:03:41
3000000,3000000-114-2023-00001,2023-05-24,영업/정상,,314.00,110-847,03008,(주)럭키할인마트,기타식품판매업,I,자가,,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 평창문화로 39, 1층 (평창동)",,,,영업,01,0,,01,,,기타식품판매업,,,,196896.329082976    ,455893.228194817    ,서울특별시 종로구 평창동 323-4 1층 ,,2023-05-24 16:42:20
3000000,3000000-114-2024-00001,2024-05-09,폐업,2026-05-07,394.50,110-240,03061,서울동행상회,기타식품판매업,U,임대,,,,,,N,2026-05-08 03:03:03,"서울특별시 종로구 율곡로 39, 1층 (안국동)",,,,폐업,02,0,,03,,,기타식품판매업,,,027381010,198507.437120234    ,452641.178441629    ,서울특별시 종로구 안국동 175-3 ,,2026-05-07 14:07:47
3000000,3000000-114-1996-00089,1996-07-01,폐업,2005-04-15,433.50,110-847,,주)해태유통,기타식품판매업,I,,,,,,0,N,2025-12-15 16:15:28,,기타,,,폐업,02,0,0,03,기타,,기타식품판매업,,,024400783,196965.164175084    ,455959.269196762    ,서울특별시 종로구 평창동 331-0 ,,2002-09-03 00:00:00
