SIDO_NM,CCG_NM,STRD_YYMM,AGE_CD,population_age,population_total
강원특별자치도,강릉시,202601,1,26634.0,205966.0
강원특별자치도,강릉시,202601,2,19989.0,205966.0
강원특별자치도,강릉시,202601,3,20546.0,205966.0
강원특별자치도,강릉시,202601,4,27003.0,205966.0
강원특별자치도,강릉시,202601,5,36494.0,205966.0
강원특별자치도,강릉시,202601,6,75300.0,205966.0
강원특별자치도,강릉시,202602,1,26558.0,205895.0
강원특별자치도,강릉시,202602,2,19985.0,205895.0
강원특별자치도,강릉시,202602,3,20522.0,205895.0
강원특별자치도,강릉시,202602,4,26896.0,205895.0
강원특별자치도,강릉시,202602,5,36431.0,205895.0
강원특별자치도,강릉시,202602,6,75503.0,205895.0
강원특별자치도,강릉시,202603,1,26475.0,205891.0
강원특별자치도,강릉시,202603,2,19986.0,205891.0
강원특별자치도,강릉시,202603,3,20602.0,205891.0
강원특별자치도,강릉시,202603,4,26755.0,205891.0
강원특별자치도,강릉시,202603,5,36256.0,205891.0
강원특별자치도,강릉시,202603,6,75817.0,205891.0
강원특별자치도,강릉시,202604,1,26409.0,205849.0
강원특별자치도,강릉시,202604,2,19949.0,205849.0
강원특별자치도,강릉시,202604,3,20616.0,205849.0
강원특별자치도,강릉시,202604,4,26654.0,205849.0
강원특별자치도,강릉시,202604,5,36229.0,205849.0
강원특별자치도,강릉시,202604,6,75992.0,205849.0
강원특별자치도,강릉시,202605,1,26337.0,205790.0
강원특별자치도,강릉시,202605,2,19925.0,205790.0
강원특별자치도,강릉시,202605,3,20631.0,205790.0
강원특별자치도,강릉시,202605,4,26596.0,205790.0
강원특별자치도,강릉시,202605,5,36188.0,205790.0
강원특별자치도,강릉시,202605,6,76113.0,205790.0
강원특별자치도,강릉시,202606,1,26281.0,205666.0
강원특별자치도,강릉시,202606,2,19809.0,205666.0
강원특별자치도,강릉시,202606,3,20655.0,205666.0
강원특별자치도,강릉시,202606,4,26564.0,205666.0
강원특별자치도,강릉시,202606,5,36163.0,205666.0
강원특별자치도,강릉시,202606,6,76194.0,205666.0
강원특별자치도,고성군,202601,1,2758.0,26849.0
강원특별자치도,고성군,202601,2,2188.0,26849.0
강원특별자치도,고성군,202601,3,2376.0,26849.0
강원특별자치도,고성군,202601,4,2715.0,26849.0
강원특별자치도,고성군,202601,5,4483.0,26849.0
강원특별자치도,고성군,202601,6,12329.0,26849.0
강원특별자치도,고성군,202602,1,2766.0,26942.0
강원특별자치도,고성군,202602,2,2181.0,26942.0
강원특별자치도,고성군,202602,3,2395.0,26942.0
강원특별자치도,고성군,202602,4,2727.0,26942.0
강원특별자치도,고성군,202602,5,4489.0,26942.0
강원특별자치도,고성군,202602,6,12384.0,26942.0
강원특별자치도,고성군,202603,1,2778.0,27076.0
강원특별자치도,고성군,202603,2,2166.0,27076.0
강원특별자치도,고성군,202603,3,2437.0,27076.0
강원특별자치도,고성군,202603,4,2751.0,27076.0
강원특별자치도,고성군,202603,5,4498.0,27076.0
강원특별자치도,고성군,202603,6,12446.0,27076.0
강원특별자치도,고성군,202604,1,2798.0,27172.0
강원특별자치도,고성군,202604,2,2158.0,27172.0
강원특별자치도,고성군,202604,3,2462.0,27172.0
강원특별자치도,고성군,202604,4,2763.0,27172.0
강원특별자치도,고성군,202604,5,4507.0,27172.0
강원특별자치도,고성군,202604,6,12484.0,27172.0
강원특별자치도,고성군,202605,1,2790.0,27189.0
강원특별자치도,고성군,202605,2,2157.0,27189.0
강원특별자치도,고성군,202605,3,2480.0,27189.0
강원특별자치도,고성군,202605,4,2760.0,27189.0
강원특별자치도,고성군,202605,5,4491.0,27189.0
강원특별자치도,고성군,202605,6,12511.0,27189.0
강원특별자치도,고성군,202606,1,2798.0,27204.0
강원특별자치도,고성군,202606,2,2148.0,27204.0
강원특별자치도,고성군,202606,3,2486.0,27204.0
강원특별자치도,고성군,202606,4,2772.0,27204.0
강원특별자치도,고성군,202606,5,4483.0,27204.0
강원특별자치도,고성군,202606,6,12517.0,27204.0
강원특별자치도,동해시,202601,1,12471.0,86225.0
강원특별자치도,동해시,202601,2,7576.0,86225.0
강원특별자치도,동해시,202601,3,8040.0,86225.0
강원특별자치도,동해시,202601,4,11853.0,86225.0
강원특별자치도,동해시,202601,5,15949.0,86225.0
강원특별자치도,동해시,202601,6,30336.0,86225.0
강원특별자치도,동해시,202602,1,12410.0,86062.0
강원특별자치도,동해시,202602,2,7525.0,86062.0
강원특별자치도,동해시,202602,3,8027.0,86062.0
강원특별자치도,동해시,202602,4,11815.0,86062.0
강원특별자치도,동해시,202602,5,15913.0,86062.0
강원특별자치도,동해시,202602,6,30372.0,86062.0
강원특별자치도,동해시,202603,1,12331.0,85875.0
강원특별자치도,동해시,202603,2,7417.0,85875.0
강원특별자치도,동해시,202603,3,8035.0,85875.0
강원특별자치도,동해시,202603,4,11756.0,85875.0
강원특별자치도,동해시,202603,5,15847.0,85875.0
강원특별자치도,동해시,202603,6,30489.0,85875.0
강원특별자치도,동해시,202604,1,12305.0,85758.0
강원특별자치도,동해시,202604,2,7368.0,85758.0
강원특별자치도,동해시,202604,3,8054.0,85758.0
강원특별자치도,동해시,202604,4,11691.0,85758.0
강원특별자치도,동해시,202604,5,15793.0,85758.0
강원특별자치도,동해시,202604,6,30547.0,85758.0
강원특별자치도,동해시,202605,1,12259.0,85608.0
강원특별자치도,동해시,202605,2,7275.0,85608.0
강원특별자치도,동해시,202605,3,8063.0,85608.0
강원특별자치도,동해시,202605,4,11650.0,85608.0
강원특별자치도,동해시,202605,5,15762.0,85608.0
강원특별자치도,동해시,202605,6,30599.0,85608.0
강원특별자치도,동해시,202606,1,12252.0,85589.0
강원특별자치도,동해시,202606,2,7243.0,85589.0
강원특별자치도,동해시,202606,3,8058.0,85589.0
강원특별자치도,동해시,202606,4,11661.0,85589.0
강원특별자치도,동해시,202606,5,15755.0,85589.0
강원특별자치도,동해시,202606,6,30620.0,85589.0
강원특별자치도,삼척시,202601,1,7164.0,60307.0
강원특별자치도,삼척시,202601,2,5757.0,60307.0
강원특별자치도,삼척시,202601,3,4655.0,60307.0
강원특별자치도,삼척시,202601,4,6829.0,60307.0
강원특별자치도,삼척시,202601,5,10524.0,60307.0
강원특별자치도,삼척시,202601,6,25378.0,60307.0
강원특별자치도,삼척시,202602,1,7112.0,60135.0
강원특별자치도,삼척시,202602,2,5662.0,60135.0
강원특별자치도,삼척시,202602,3,4615.0,60135.0
강원특별자치도,삼척시,202602,4,6799.0,60135.0
강원특별자치도,삼척시,202602,5,10509.0,60135.0
강원특별자치도,삼척시,202602,6,25438.0,60135.0
강원특별자치도,삼척시,202603,1,7362.0,60450.0
강원특별자치도,삼척시,202603,2,5737.0,60450.0
강원특별자치도,삼척시,202603,3,4609.0,60450.0
강원특별자치도,삼척시,202603,4,6757.0,60450.0
강원특별자치도,삼척시,202603,5,10453.0,60450.0
강원특별자치도,삼척시,202603,6,25532.0,60450.0
강원특별자치도,삼척시,202604,1,7324.0,60461.0
강원특별자치도,삼척시,202604,2,5759.0,60461.0
강원특별자치도,삼척시,202604,3,4615.0,60461.0
강원특별자치도,삼척시,202604,4,6736.0,60461.0
강원특별자치도,삼척시,202604,5,10465.0,60461.0
강원특별자치도,삼척시,202604,6,25562.0,60461.0
강원특별자치도,삼척시,202605,1,7269.0,60408.0
강원특별자치도,삼척시,202605,2,5759.0,60408.0
강원특별자치도,삼척시,202605,3,4618.0,60408.0
강원특별자치도,삼척시,202605,4,6734.0,60408.0
강원특별자치도,삼척시,202605,5,10445.0,60408.0
강원특별자치도,삼척시,202605,6,25583.0,60408.0
강원특별자치도,삼척시,202606,1,7220.0,60294.0
강원특별자치도,삼척시,202606,2,5735.0,60294.0
강원특별자치도,삼척시,202606,3,4608.0,60294.0
강원특별자치도,삼척시,202606,4,6718.0,60294.0
강원특별자치도,삼척시,202606,5,10408.0,60294.0
강원특별자치도,삼척시,202606,6,25605.0,60294.0
강원특별자치도,속초시,202601,1,10823.0,79586.0
강원특별자치도,속초시,202601,2,6846.0,79586.0
강원특별자치도,속초시,202601,3,8641.0,79586.0
강원특별자치도,속초시,202601,4,10718.0,79586.0
강원특별자치도,속초시,202601,5,14434.0,79586.0
강원특별자치도,속초시,202601,6,28124.0,79586.0
강원특별자치도,속초시,202602,1,10698.0,79252.0
강원특별자치도,속초시,202602,2,6764.0,79252.0
강원특별자치도,속초시,202602,3,8612.0,79252.0
강원특별자치도,속초시,202602,4,10632.0,79252.0
강원특별자치도,속초시,202602,5,14382.0,79252.0
강원특별자치도,속초시,202602,6,28164.0,79252.0
강원특별자치도,속초시,202603,1,10612.0,78982.0
