STRD_YYMM,SIDO_NM,CCG_NM,living_population,resident_population_pdf,stay_population,registered_foreigner_population
202601,강원특별자치도,고성군,352043,26849,323184,2010
202601,강원특별자치도,삼척시,278505,60307,217026,1172
202601,강원특별자치도,양구군,65820,20373,45122,325
202601,강원특별자치도,양양군,375055,27349,347139,567
202601,강원특별자치도,영월군,142191,35997,105558,636
202601,강원특별자치도,정선군,353675,34982,318307,386
202601,강원특별자치도,철원군,179858,39953,139073,832
202601,강원특별자치도,태백시,192239,36972,154884,383
202601,강원특별자치도,평창군,620587,39933,579869,785
202601,강원특별자치도,홍천군,581929,66008,514701,1220
202601,강원특별자치도,화천군,243120,22338,220494,288
202601,강원특별자치도,횡성군,290116,45591,243032,1493
202601,경기도,가평군,520306,62026,456536,1744
202601,경기도,연천군,169546,42475,125616,1455
202601,경상남도,거창군,182468,58898,122468,1102
202601,경상남도,고성군,207505,47018,158585,1902
202601,경상남도,남해군,252441,40874,210560,1007
202601,경상남도,밀양시,398666,99087,293963,5616
202601,경상남도,산청군,156568,32739,122602,1227
202601,경상남도,의령군,98035,24591,72444,1000
202601,경상남도,창녕군,267086,54924,208281,3881
202601,경상남도,하동군,148851,39942,107839,1070
202601,경상남도,함안군,244663,57548,182123,4992
202601,경상남도,함양군,128868,35414,92878,576
202601,경상남도,합천군,158996,39135,118785,1076
202601,경상북도,고령군,134022,29648,101915,2459
202601,경상북도,문경시,252335,65189,185881,1265
202601,경상북도,봉화군,96349,28252,67678,419
202601,경상북도,상주시,316066,89795,224195,2076
202601,경상북도,성주군,174349,40636,131187,2526
202601,경상북도,안동시,485574,152149,331400,2025
202601,경상북도,영덕군,331427,32627,297844,956
202601,경상북도,영양군,69856,15997,53651,208
202601,경상북도,영주시,255787,97021,157219,1547
202601,경상북도,영천시,330960,94943,231796,4221
202601,경상북도,울릉군,21345,8706,12489,150
202601,경상북도,울진군,283587,45853,236594,1140
202601,경상북도,의성군,151301,47875,102525,901
202601,경상북도,청도군,282161,40115,240865,1181
202601,경상북도,청송군,114404,23325,90782,297
202601,대구광역시,군위군,132975,22536,109895,544
202601,대구광역시,남구,570118,136497,431114,2507
202601,대구광역시,서구,543504,164018,376591,2895
202601,부산광역시,동구,700840,83765,614694,2381
202601,부산광역시,서구,451485,101633,346993,2859
202601,부산광역시,영도구,402931,101252,299400,2279
202601,인천광역시,강화군,458408,69698,387293,1417
202601,인천광역시,옹진군,162503,19559,142398,546
202601,전라남도,강진군,124643,31804,92130,709
202601,전라남도,고흥군,206230,59394,144176,2660
202601,전라남도,곡성군,103112,27426,75096,590
202601,전라남도,구례군,110833,23866,86714,253
202601,전라남도,담양군,313524,44140,268119,1265
202601,전라남도,보성군,176007,36956,138018,1033
202601,전라남도,신안군,136832,41850,93431,1551
202601,전라남도,영광군,165604,53713,110712,1179
202601,전라남도,영암군,214695,50051,154233,10411
202601,전라남도,완도군,162616,44535,114005,4076
202601,전라남도,장성군,200037,42975,155713,1349
202601,전라남도,장흥군,133149,34141,97930,1078
202601,전라남도,진도군,121914,27925,91614,2375
202601,전라남도,함평군,127151,29394,96559,1198
202601,전라남도,해남군,234374,62171,168280,3923
202601,전라남도,화순군,285290,60205,223886,1199
202601,전북특별자치도,고창군,200802,50242,148835,1725
202601,전북특별자치도,김제시,281852,81823,196537,3492
202601,전북특별자치도,남원시,258087,74364,182133,1590
202601,전북특별자치도,무주군,372117,22777,349056,284
202601,전북특별자치도,부안군,247370,47193,198768,1409
202601,전북특별자치도,순창군,94317,27665,66165,487
202601,전북특별자치도,임실군,111303,25298,85572,433
202601,전북특별자치도,장수군,63884,21015,42409,460
202601,전북특별자치도,정읍시,287499,101129,182872,3498
202601,전북특별자치도,진안군,106873,24284,82123,466
202601,충청남도,공주시,514704,99730,411760,3214
202601,충청남도,금산군,213468,48804,161487,3177
202601,충청남도,논산시,407840,106615,293943,7282
202601,충청남도,보령시,463543,91882,367393,4268
202601,충청남도,부여군,216746,58223,156549,1974
202601,충청남도,서천군,191838,47172,142383,2283
202601,충청남도,예산군,386313,78722,303008,4583
202601,충청남도,청양군,167391,29958,136287,1146
202601,충청남도,태안군,287181,59379,225765,2037
202601,충청북도,괴산군,179562,38166,140279,1117
202601,충청북도,단양군,163887,26788,136660,439
202601,충청북도,보은군,129813,30603,98325,885
202601,충청북도,영동군,156974,43136,112934,904
202601,충청북도,옥천군,199730,50000,148293,1437
202601,충청북도,제천시,411632,127803,280034,3795
