station_id,station_name,SIDO_NM,CCG_NM,mapping_method,scope_warning
90,속초,강원특별자치도,속초시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
93,북춘천,강원특별자치도,춘천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
95,철원,강원특별자치도,철원군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
98,동두천,경기도,동두천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
99,파주,경기도,파주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
100,대관령,강원특별자치도,평창군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
101,춘천,강원특별자치도,춘천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
102,백령도,인천광역시,옹진군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
104,북강릉,강원특별자치도,강릉시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
105,강릉,강원특별자치도,강릉시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
106,동해,강원특별자치도,동해시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
114,원주,강원특별자치도,원주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
115,울릉도,경상북도,울릉군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
121,영월,강원특별자치도,영월군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
127,충주,충청북도,충주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
129,서산,충청남도,서산시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
130,울진,경상북도,울진군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
135,추풍령,충청북도,영동군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
136,안동,경상북도,안동시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
137,상주,경상북도,상주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
140,군산,전북특별자치도,군산시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
156,광주,경기도,광주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
162,통영,경상남도,통영시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
165,목포,전라남도,목포시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
168,여수,전라남도,여수시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
169,흑산도,전라남도,신안군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
170,완도,전라남도,완도군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
172,고창,전북특별자치도,고창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
174,순천,전라남도,순천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
177,홍성,충청남도,홍성군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
184,제주,제주특별자치도,제주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
185,고산,제주특별자치도,제주시,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
188,성산,제주특별자치도,서귀포시,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
189,서귀포,제주특별자치도,서귀포시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
192,진주,경상남도,진주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
