SIDO_NM,CCG_NM,STRD_YYMM,registered_foreigners
경기도,가평군,202603,1388
경기도,고양시 덕양구,202603,5802
경기도,고양시 일산동구,202603,4753
경기도,고양시 일산서구,202603,3651
경기도,과천시,202603,239
경기도,광명시,202603,3018
경기도,광주시,202603,15412
경기도,구리시,202603,1754
경기도,군포시,202603,5849
경기도,김포시,202603,26433
경기도,남양주시,202603,10157
경기도,동두천시,202603,4431
경기도,부천시 소사구,202603,12448
경기도,부천시 오정구,202603,3437
경기도,부천시 원미구,202603,16082
경기도,성남시 분당구,202603,3016
경기도,성남시 수정구,202603,12167
경기도,성남시 중원구,202603,2809
경기도,수원시 권선구,202603,10669
경기도,수원시 영통구,202603,9539
경기도,수원시 장안구,202603,7794
경기도,수원시 팔달구,202603,12641
경기도,시흥시,202603,41090
경기도,안산시 단원구,202603,36742
경기도,안산시 상록구,202603,15830
경기도,안성시,202603,15538
경기도,안양시 동안구,202603,1889
경기도,안양시 만안구,202603,5317
경기도,양주시,202603,10389
경기도,양평군,202603,1746
경기도,여주시,202603,5279
경기도,연천군,202603,1486
경기도,오산시,202603,11585
경기도,용인시 기흥구,202603,5749
경기도,용인시 수지구,202603,3288
경기도,용인시 처인구,202603,12393
경기도,의왕시,202603,1114
경기도,의정부시,202603,8344
경기도,이천시,202603,11488
경기도,파주시,202603,16658
경기도,평택시,202603,36757
경기도,포천시,202603,16819
경기도,하남시,202603,2606
경기도,화성시 동탄구,202603,3429
경기도,화성시 만세구,202603,40446
경기도,화성시 병점구,202603,3491
경기도,화성시 효행구,202603,7691
경상남도,거제시,202603,16501
경상남도,거창군,202603,1143
경상남도,고성군,202603,2180
경상남도,김해시,202603,27704
경상남도,남해군,202603,1253
경상남도,밀양시,202603,6409
경상남도,사천시,202603,4173
경상남도,산청군,202603,1301
경상남도,양산시,202603,9710
경상남도,의령군,202603,1090
경상남도,진주시,202603,7269
경상남도,창녕군,202603,3671
경상남도,창원시 마산합포구,202603,2683
경상남도,창원시 마산회원구,202603,2932
경상남도,창원시 성산구,202603,4748
경상남도,창원시 의창구,202603,4000
경상남도,창원시 진해구,202603,5426
경상남도,통영시,202603,5345
경상남도,하동군,202603,1131
경상남도,함안군,202603,5265
경상남도,함양군,202603,582
경상남도,합천군,202603,1118
경상북도,경산시,202603,22532
경상북도,경주시,202603,15640
경상북도,고령군,202603,2742
경상북도,구미시,202603,7625
경상북도,김천시,202603,4377
경상북도,문경시,202603,1122
경상북도,봉화군,202603,426
경상북도,상주시,202603,2111
경상북도,성주군,202603,2846
경상북도,안동시,202603,2057
경상북도,영덕군,202603,1344
경상북도,영양군,202603,234
경상북도,영주시,202603,1576
경상북도,영천시,202603,4350
경상북도,예천군,202603,561
경상북도,울릉군,202603,154
경상북도,울진군,202603,1767
경상북도,의성군,202603,897
경상북도,청도군,202603,1319
경상북도,청송군,202603,246
경상북도,칠곡군,202603,5999
경상북도,포항시 남구,202603,4394
경상북도,포항시 북구,202603,3427
광주광역시,광산구,202603,16401
광주광역시,남구,202603,1768
광주광역시,동구,202603,1943
광주광역시,북구,202603,5858
광주광역시,서구,202603,2927
대구광역시,군위군,202603,604
대구광역시,남구,202603,2482
대구광역시,달서구,202603,13825
대구광역시,달성군,202603,8215
대구광역시,동구,202603,2100
대구광역시,북구,202603,7433
대구광역시,서구,202603,2897
대구광역시,수성구,202603,1768
대구광역시,중구,202603,1000
대전광역시,대덕구,202603,3878
대전광역시,동구,202603,7839
대전광역시,서구,202603,6382
대전광역시,유성구,202603,9402
대전광역시,중구,202603,1714
부산광역시,강서구,202603,7258
부산광역시,금정구,202603,4948
부산광역시,기장군,202603,3232
부산광역시,남구,202603,8345
부산광역시,동구,202603,2002
부산광역시,동래구,202603,1120
부산광역시,부산진구,202603,3751
부산광역시,북구,202603,2505
부산광역시,사상구,202603,7628
부산광역시,사하구,202603,5449
부산광역시,서구,202603,3111
부산광역시,수영구,202603,1949
부산광역시,연제구,202603,1034
부산광역시,영도구,202603,2427
부산광역시,중구,202603,2488
부산광역시,해운대구,202603,4610
서울특별시,강남구,202603,6128
서울특별시,강동구,202603,4823
서울특별시,강북구,202603,7076
서울특별시,강서구,202603,6711
서울특별시,관악구,202603,19668
서울특별시,광진구,202603,17683
서울특별시,구로구,202603,23925
서울특별시,금천구,202603,13945
서울특별시,노원구,202603,5220
서울특별시,도봉구,202603,3131
서울특별시,동대문구,202603,20412
서울특별시,동작구,202603,12388
서울특별시,마포구,202603,11498
서울특별시,서대문구,202603,16243
서울특별시,서초구,202603,4847
서울특별시,성동구,202603,7925
서울특별시,성북구,202603,14509
서울특별시,송파구,202603,6317
서울특별시,양천구,202603,3397
서울특별시,영등포구,202603,23205
서울특별시,용산구,202603,12746
서울특별시,은평구,202603,4510
서울특별시,종로구,202603,11471
서울특별시,중구,202603,10366
서울특별시,중랑구,202603,6905
세종특별자치시,nan,202603,6757
울산광역시,남구,202603,4972
울산광역시,동구,202603,11157
울산광역시,북구,202603,2995
울산광역시,울주군,202603,9264
울산광역시,중구,202603,1846
인천광역시,강화군,202603,1289
인천광역시,계양구,202603,3931
인천광역시,남동구,202603,13992
인천광역시,동구,202603,1077
인천광역시,미추홀구,202603,14816
인천광역시,부평구,202603,18188
인천광역시,서구,202603,16837
인천광역시,연수구,202603,19332
인천광역시,옹진군,202603,725
인천광역시,중구,202603,5711
전라남도,강진군,202603,715
전라남도,고흥군,202603,3185
전라남도,곡성군,202603,704
전라남도,광양시,202603,2372
전라남도,구례군,202603,234
전라남도,나주시,202603,5529
전라남도,담양군,202603,1552
