source,STRD_YYMM,closure_count
LOCALDATA 대규모·준대규모점포,202601,4
LOCALDATA 대규모·준대규모점포,202602,1
LOCALDATA 대규모·준대규모점포,202603,2
LOCALDATA 대규모·준대규모점포,202604,3
LOCALDATA 대규모·준대규모점포,202606,1
LOCALDATA 안전상비의약품판매업소,202601,230
LOCALDATA 안전상비의약품판매업소,202602,172
LOCALDATA 안전상비의약품판매업소,202603,228
LOCALDATA 안전상비의약품판매업소,202604,268
LOCALDATA 안전상비의약품판매업소,202605,215
LOCALDATA 안전상비의약품판매업소,202606,279
LOCALDATA 일반음식점,202601,3106
LOCALDATA 일반음식점,202602,2390
LOCALDATA 일반음식점,202603,3308
LOCALDATA 일반음식점,202604,3534
LOCALDATA 일반음식점,202605,2829
LOCALDATA 일반음식점,202606,3543
LOCALDATA 제과점영업,202601,231
LOCALDATA 제과점영업,202602,211
LOCALDATA 제과점영업,202603,308
LOCALDATA 제과점영업,202604,317
LOCALDATA 제과점영업,202605,327
LOCALDATA 제과점영업,202606,290
LOCALDATA 휴게음식점,202601,214
LOCALDATA 휴게음식점,202602,151
LOCALDATA 휴게음식점,202603,208
LOCALDATA 휴게음식점,202604,190
LOCALDATA 휴게음식점,202605,181
LOCALDATA 휴게음식점,202606,175
