source,SIDO_NM,closed_state,closed_state_missing_date,missing_pct
LOCALDATA 담배소매업,강원특별자치도,18588,3,0.01613944480309877
LOCALDATA 담배소매업,경기도,88844,495,0.5571563639638016
LOCALDATA 담배소매업,경상남도,28439,2,0.007032596082843982
LOCALDATA 담배소매업,경상북도,27361,74,0.2704579510982785
LOCALDATA 담배소매업,광주광역시,13845,8,0.0577825929938606
LOCALDATA 담배소매업,대구광역시,23793,0,0.0
LOCALDATA 담배소매업,대전광역시,14167,0,0.0
LOCALDATA 담배소매업,부산광역시,28126,0,0.0
LOCALDATA 담배소매업,서울특별시,67369,21,0.031171607119001323
LOCALDATA 담배소매업,세종특별자치시,1242,0,0.0
LOCALDATA 담배소매업,울산광역시,10421,2,0.01919201612129354
LOCALDATA 담배소매업,인천광역시,25598,39,0.15235565278537386
LOCALDATA 담배소매업,전라남도,17780,2,0.01124859392575928
LOCALDATA 담배소매업,전북특별자치도,17359,9,0.051846304510628494
LOCALDATA 담배소매업,제주특별자치도,7792,3,0.038501026694045176
LOCALDATA 담배소매업,충청남도,20133,1,0.004966969651815427
LOCALDATA 담배소매업,충청북도,18467,6,0.03249038826013971
LOCALDATA 담배소매업,,16297,45,0.2761244400809965
LOCALDATA 대규모·준대규모점포,강원특별자치도,14,0,0.0
LOCALDATA 대규모·준대규모점포,경기도,144,0,0.0
LOCALDATA 대규모·준대규모점포,경상남도,32,0,0.0
LOCALDATA 대규모·준대규모점포,경상북도,18,0,0.0
LOCALDATA 대규모·준대규모점포,광주광역시,18,0,0.0
LOCALDATA 대규모·준대규모점포,대구광역시,48,0,0.0
LOCALDATA 대규모·준대규모점포,대전광역시,34,0,0.0
LOCALDATA 대규모·준대규모점포,부산광역시,83,0,0.0
LOCALDATA 대규모·준대규모점포,서울특별시,217,0,0.0
LOCALDATA 대규모·준대규모점포,세종특별자치시,2,0,0.0
LOCALDATA 대규모·준대규모점포,울산광역시,6,0,0.0
LOCALDATA 대규모·준대규모점포,인천광역시,40,0,0.0
LOCALDATA 대규모·준대규모점포,전라남도,15,1,6.666666666666667
LOCALDATA 대규모·준대규모점포,전북특별자치도,10,0,0.0
LOCALDATA 대규모·준대규모점포,제주특별자치도,6,0,0.0
LOCALDATA 대규모·준대규모점포,충청남도,18,0,0.0
LOCALDATA 대규모·준대규모점포,충청북도,12,0,0.0
LOCALDATA 대규모·준대규모점포,,24,0,0.0
LOCALDATA 식품판매업(기타),강원특별자치도,301,0,0.0
LOCALDATA 식품판매업(기타),경기도,2047,0,0.0
LOCALDATA 식품판매업(기타),경상남도,484,0,0.0
LOCALDATA 식품판매업(기타),경상북도,413,0,0.0
LOCALDATA 식품판매업(기타),광주광역시,201,0,0.0
LOCALDATA 식품판매업(기타),대구광역시,398,0,0.0
LOCALDATA 식품판매업(기타),대전광역시,216,0,0.0
LOCALDATA 식품판매업(기타),부산광역시,429,0,0.0
LOCALDATA 식품판매업(기타),서울특별시,1300,0,0.0
LOCALDATA 식품판매업(기타),세종특별자치시,36,0,0.0
LOCALDATA 식품판매업(기타),울산광역시,156,0,0.0
LOCALDATA 식품판매업(기타),인천광역시,395,0,0.0
LOCALDATA 식품판매업(기타),전라남도,213,0,0.0
LOCALDATA 식품판매업(기타),전북특별자치도,299,0,0.0
LOCALDATA 식품판매업(기타),제주특별자치도,103,0,0.0
LOCALDATA 식품판매업(기타),충청남도,370,0,0.0
LOCALDATA 식품판매업(기타),충청북도,237,0,0.0
LOCALDATA 안전상비의약품판매업소,강원특별자치도,1798,0,0.0
LOCALDATA 안전상비의약품판매업소,경기도,11976,0,0.0
LOCALDATA 안전상비의약품판매업소,경상남도,2997,0,0.0
LOCALDATA 안전상비의약품판매업소,경상북도,2182,0,0.0
