source,external_subtype,closed_state,closed_state_missing_date,missing_pct
LOCALDATA 담배소매업,<NA>,445621,710,0.15932821837390967
LOCALDATA 대규모·준대규모점포,<NA>,10,0,0.0
LOCALDATA 대규모·준대규모점포,구분없음,153,0,0.0
LOCALDATA 대규모·준대규모점포,그 밖의 대규모점포,255,0,0.0
LOCALDATA 대규모·준대규모점포,대형마트,141,1,0.7092198581560284
LOCALDATA 대규모·준대규모점포,백화점,37,0,0.0
LOCALDATA 대규모·준대규모점포,복합쇼핑몰,25,0,0.0
LOCALDATA 대규모·준대규모점포,쇼핑센터,54,0,0.0
LOCALDATA 대규모·준대규모점포,시장,42,0,0.0
LOCALDATA 대규모·준대규모점포,전문점,24,0,0.0
LOCALDATA 식품판매업(기타),<NA>,2,0,0.0
LOCALDATA 식품판매업(기타),기타식품판매업,7592,0,0.0
LOCALDATA 식품판매업(기타),식품조사처리업,3,0,0.0
LOCALDATA 식품판매업(기타),즉석판매제조가공업,1,0,0.0
LOCALDATA 안전상비의약품판매업소,<NA>,49742,0,0.0
LOCALDATA 일반음식점,<NA>,94,0,0.0
LOCALDATA 일반음식점,간이주점,4,0,0.0
LOCALDATA 일반음식점,감성주점,763,0,0.0
LOCALDATA 일반음식점,경양식,97906,109,0.11133127693910484
LOCALDATA 일반음식점,기타,180886,0,0.0
LOCALDATA 일반음식점,기타 휴게음식점,7,0,0.0
LOCALDATA 일반음식점,김밥(도시락),6232,0,0.0
LOCALDATA 일반음식점,까페,18260,0,0.0
LOCALDATA 일반음식점,냉면집,716,0,0.0
LOCALDATA 일반음식점,다방,2,0,0.0
LOCALDATA 일반음식점,라이브카페,789,0,0.0
LOCALDATA 일반음식점,룸살롱,1,0,0.0
LOCALDATA 일반음식점,복어취급,782,0,0.0
LOCALDATA 일반음식점,분식,153093,22,0.01437035004866323
LOCALDATA 일반음식점,뷔페식,8107,12,0.14802022943135562
LOCALDATA 일반음식점,식육(숯불구이),39030,0,0.0
LOCALDATA 일반음식점,식품등 수입판매업,1,0,0.0
LOCALDATA 일반음식점,식품소분업,1,0,0.0
LOCALDATA 일반음식점,"외국음식전문점(인도,태국등)",5011,0,0.0
LOCALDATA 일반음식점,이동조리,891,15,1.6835016835016834
LOCALDATA 일반음식점,일반조리판매,9,0,0.0
LOCALDATA 일반음식점,일식,38042,0,0.0
LOCALDATA 일반음식점,전통찻집,2144,26,1.212686567164179
LOCALDATA 일반음식점,정종/대포집/소주방,32782,196,0.5978890854737356
LOCALDATA 일반음식점,제과점영업,1,0,0.0
LOCALDATA 일반음식점,중국식,48084,7,0.014557857083437317
LOCALDATA 일반음식점,출장조리,812,2,0.24630541871921183
LOCALDATA 일반음식점,커피숍,3,0,0.0
LOCALDATA 일반음식점,키즈카페,432,0,0.0
LOCALDATA 일반음식점,탕류(보신용),6681,0,0.0
LOCALDATA 일반음식점,통닭(치킨),43750,0,0.0
LOCALDATA 일반음식점,패밀리레스트랑,895,0,0.0
LOCALDATA 일반음식점,패스트푸드,16264,9,0.05533694048204624
LOCALDATA 일반음식점,푸드트럭,11,0,0.0
LOCALDATA 일반음식점,한식,742610,140,0.018852425903233192
LOCALDATA 일반음식점,호프/통닭,154061,21,0.01363096435827367
LOCALDATA 일반음식점,횟집,19952,2,0.010024057738572574
LOCALDATA 제과점영업,<NA>,4,0,0.0
LOCALDATA 제과점영업,제과점영업,49441,0,0.0
LOCALDATA 제과점영업,푸드트럭,21,0,0.0
LOCALDATA 휴게음식점,<NA>,10,0,0.0
LOCALDATA 휴게음식점,경양식,1,0,0.0
LOCALDATA 휴게음식점,고속도로,507,0,0.0
LOCALDATA 휴게음식점,공항,77,0,0.0
LOCALDATA 휴게음식점,과자점,22923,3,0.013087292239235703
LOCALDATA 휴게음식점,관광호텔,207,0,0.0
LOCALDATA 휴게음식점,극장,148,0,0.0
LOCALDATA 휴게음식점,기타,4,0,0.0
LOCALDATA 휴게음식점,기타 휴게음식점,89417,1,0.0011183555699699162
LOCALDATA 휴게음식점,김밥(도시락),2,0,0.0
LOCALDATA 휴게음식점,까페,1,0,0.0
LOCALDATA 휴게음식점,다방,73122,4,0.005470309893055442
LOCALDATA 휴게음식점,단란주점,0,0,
LOCALDATA 휴게음식점,떡카페,1018,0,0.0
LOCALDATA 휴게음식점,룸살롱,1,0,0.0
LOCALDATA 휴게음식점,백화점,10015,0,0.0
LOCALDATA 휴게음식점,분식,8,0,0.0
LOCALDATA 휴게음식점,식육(숯불구이),1,0,0.0
LOCALDATA 휴게음식점,식품소분업,1,0,0.0
LOCALDATA 휴게음식점,아이스크림,1842,0,0.0
LOCALDATA 휴게음식점,유원지,605,0,0.0
LOCALDATA 휴게음식점,일반조리판매,75413,1,0.0013260313208597987
LOCALDATA 휴게음식점,전통찻집,2055,0,0.0
LOCALDATA 휴게음식점,즉석판매제조가공업,1,0,0.0
LOCALDATA 휴게음식점,철도역구내,588,0,0.0
LOCALDATA 휴게음식점,커피숍,112442,0,0.0
LOCALDATA 휴게음식점,키즈카페,861,0,0.0
LOCALDATA 휴게음식점,패스트푸드,23841,1,0.004194454930581771
LOCALDATA 휴게음식점,편의점,26711,0,0.0
LOCALDATA 휴게음식점,푸드트럭,5099,0,0.0
LOCALDATA 휴게음식점,한식,9,0,0.0
LOCALDATA 휴게음식점,호프/통닭,1,0,0.0
