source,SIDO_NM,closure_count
LOCALDATA 담배소매업,강원특별자치도,208
LOCALDATA 담배소매업,경기도,1277
LOCALDATA 담배소매업,경상남도,308
LOCALDATA 담배소매업,경상북도,274
LOCALDATA 담배소매업,광주광역시,145
LOCALDATA 담배소매업,대구광역시,210
LOCALDATA 담배소매업,대전광역시,169
LOCALDATA 담배소매업,부산광역시,341
LOCALDATA 담배소매업,서울특별시,624
LOCALDATA 담배소매업,세종특별자치시,35
LOCALDATA 담배소매업,울산광역시,106
LOCALDATA 담배소매업,인천광역시,293
LOCALDATA 담배소매업,전라남도,270
LOCALDATA 담배소매업,전북특별자치도,185
LOCALDATA 담배소매업,제주특별자치도,92
LOCALDATA 담배소매업,충청남도,284
LOCALDATA 담배소매업,충청북도,228
LOCALDATA 담배소매업,,29
LOCALDATA 대규모·준대규모점포,강원특별자치도,1
LOCALDATA 대규모·준대규모점포,경기도,2
LOCALDATA 대규모·준대규모점포,경상남도,3
LOCALDATA 대규모·준대규모점포,경상북도,1
LOCALDATA 대규모·준대규모점포,대전광역시,2
LOCALDATA 대규모·준대규모점포,부산광역시,2
LOCALDATA 대규모·준대규모점포,서울특별시,8
LOCALDATA 대규모·준대규모점포,세종특별자치시,1
LOCALDATA 대규모·준대규모점포,충청북도,2
LOCALDATA 식품판매업(기타),강원특별자치도,3
LOCALDATA 식품판매업(기타),경기도,54
LOCALDATA 식품판매업(기타),경상남도,14
LOCALDATA 식품판매업(기타),경상북도,4
LOCALDATA 식품판매업(기타),광주광역시,2
LOCALDATA 식품판매업(기타),대구광역시,8
LOCALDATA 식품판매업(기타),대전광역시,8
LOCALDATA 식품판매업(기타),부산광역시,8
LOCALDATA 식품판매업(기타),서울특별시,27
LOCALDATA 식품판매업(기타),세종특별자치시,4
LOCALDATA 식품판매업(기타),울산광역시,3
LOCALDATA 식품판매업(기타),인천광역시,12
LOCALDATA 식품판매업(기타),전라남도,4
LOCALDATA 식품판매업(기타),전북특별자치도,8
LOCALDATA 식품판매업(기타),제주특별자치도,4
LOCALDATA 식품판매업(기타),충청남도,12
LOCALDATA 식품판매업(기타),충청북도,8
LOCALDATA 안전상비의약품판매업소,강원특별자치도,48
LOCALDATA 안전상비의약품판매업소,경기도,307
LOCALDATA 안전상비의약품판매업소,경상남도,71
LOCALDATA 안전상비의약품판매업소,경상북도,93
LOCALDATA 안전상비의약품판매업소,광주광역시,39
LOCALDATA 안전상비의약품판매업소,대구광역시,69
LOCALDATA 안전상비의약품판매업소,대전광역시,27
LOCALDATA 안전상비의약품판매업소,부산광역시,69
LOCALDATA 안전상비의약품판매업소,서울특별시,265
LOCALDATA 안전상비의약품판매업소,세종특별자치시,4
LOCALDATA 안전상비의약품판매업소,울산광역시,43
LOCALDATA 안전상비의약품판매업소,인천광역시,88
LOCALDATA 안전상비의약품판매업소,전라남도,37
LOCALDATA 안전상비의약품판매업소,전북특별자치도,103
LOCALDATA 안전상비의약품판매업소,제주특별자치도,18
LOCALDATA 안전상비의약품판매업소,충청남도,39
LOCALDATA 안전상비의약품판매업소,충청북도,73
LOCALDATA 일반음식점,강원특별자치도,1356
LOCALDATA 일반음식점,경기도,7578
LOCALDATA 일반음식점,경상남도,1885
LOCALDATA 일반음식점,경상북도,1528
LOCALDATA 일반음식점,광주광역시,957
LOCALDATA 일반음식점,대구광역시,1496
LOCALDATA 일반음식점,대전광역시,925
LOCALDATA 일반음식점,부산광역시,1922
LOCALDATA 일반음식점,서울특별시,7376
LOCALDATA 일반음식점,세종특별자치시,215
LOCALDATA 일반음식점,울산광역시,672
LOCALDATA 일반음식점,인천광역시,1721
LOCALDATA 일반음식점,전라남도,1240
LOCALDATA 일반음식점,전북특별자치도,1116
LOCALDATA 일반음식점,제주특별자치도,718
LOCALDATA 일반음식점,충청남도,1419
LOCALDATA 일반음식점,충청북도,1250
LOCALDATA 제과점영업,강원특별자치도,44
LOCALDATA 제과점영업,경기도,356
LOCALDATA 제과점영업,경상남도,75
LOCALDATA 제과점영업,경상북도,72
LOCALDATA 제과점영업,광주광역시,72
LOCALDATA 제과점영업,대구광역시,113
LOCALDATA 제과점영업,대전광역시,49
LOCALDATA 제과점영업,부산광역시,104
LOCALDATA 제과점영업,서울특별시,471
LOCALDATA 제과점영업,세종특별자치시,7
LOCALDATA 제과점영업,울산광역시,19
LOCALDATA 제과점영업,인천광역시,80
LOCALDATA 제과점영업,전라남도,27
LOCALDATA 제과점영업,전북특별자치도,49
LOCALDATA 제과점영업,제주특별자치도,25
LOCALDATA 제과점영업,충청남도,76
LOCALDATA 제과점영업,충청북도,46
LOCALDATA 휴게음식점,강원특별자치도,476
LOCALDATA 휴게음식점,경기도,3868
LOCALDATA 휴게음식점,경상남도,907
LOCALDATA 휴게음식점,경상북도,701
LOCALDATA 휴게음식점,광주광역시,383
LOCALDATA 휴게음식점,대구광역시,749
LOCALDATA 휴게음식점,대전광역시,439
LOCALDATA 휴게음식점,부산광역시,962
LOCALDATA 휴게음식점,서울특별시,3472
LOCALDATA 휴게음식점,세종특별자치시,66
LOCALDATA 휴게음식점,울산광역시,341
LOCALDATA 휴게음식점,인천광역시,706
LOCALDATA 휴게음식점,전라남도,429
LOCALDATA 휴게음식점,전북특별자치도,576
LOCALDATA 휴게음식점,제주특별자치도,357
LOCALDATA 휴게음식점,충청남도,620
LOCALDATA 휴게음식점,충청북도,572
