STRD_YYMM,SIDO_NM,CCG_NM,REGION_KEY,TPBUZ_NO,TPBUZ_NM,active_store_count,active_count_at_start,active_count_at_end,opening_store_count,closure_store_count,net_store_change,closure_rate_start,closure_rate_avg,source,mapping_confidence
202601,강원특별자치도,강릉시,강원특별자치도|강릉시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,강원특별자치도,강릉시,강원특별자치도|강릉시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,강원특별자치도,강릉시,강원특별자치도|강릉시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,강원특별자치도,강릉시,강원특별자치도|강릉시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,강원특별자치도,강릉시,강원특별자치도|강릉시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,강원특별자치도,강릉시,강원특별자치도|강릉시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,강원특별자치도,동해시,강원특별자치도|동해시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,강원특별자치도,동해시,강원특별자치도|동해시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,강원특별자치도,동해시,강원특별자치도|동해시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,강원특별자치도,동해시,강원특별자치도|동해시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,강원특별자치도,동해시,강원특별자치도|동해시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,강원특별자치도,동해시,강원특별자치도|동해시,4004,대형할인점,1,1,1,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,강원특별자치도,삼척시,강원특별자치도|삼척시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,강원특별자치도,삼척시,강원특별자치도|삼척시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,강원특별자치도,삼척시,강원특별자치도|삼척시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,강원특별자치도,삼척시,강원특별자치도|삼척시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,강원특별자치도,삼척시,강원특별자치도|삼척시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
