TP_BUZ_NO,TP_BUZ_NM,source,mapping_confidence,demand_lag_months,n,amt_closure_rho,amt_p,cnt_closure_rho,cnt_p,interpretation
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,0,775,,,,,동시관계
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,1,620,,,,,탐색적 선행관계·예측검증 불가
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,2,465,,,,,탐색적 선행관계·예측검증 불가
4010,편의점,LOCALDATA 안전상비의약품판매업소,MEDIUM,0,1275,-0.06590318464861637,0.01859935425595165,-0.05052872669529559,0.07129106623490643,동시관계
4010,편의점,LOCALDATA 안전상비의약품판매업소,MEDIUM,1,1020,0.00102396130321788,0.9739436403833361,-0.037158164038288005,0.23574438370526252,탐색적 선행관계·예측검증 불가
4010,편의점,LOCALDATA 안전상비의약품판매업소,MEDIUM,2,765,-0.12104127352455393,0.0007945009975929649,-0.09155672110656352,0.01129246260840649,탐색적 선행관계·예측검증 불가
4010,편의점,LOCALDATA 휴게음식점,MEDIUM,0,1275,0.014527788629751492,0.6042738363344284,0.02843435171617537,0.3103353051329224,동시관계
4010,편의점,LOCALDATA 휴게음식점,MEDIUM,1,1020,-0.0486238544129498,0.12067772376300477,-0.05997587841550853,0.05551148795587904,탐색적 선행관계·예측검증 불가
4010,편의점,LOCALDATA 휴게음식점,MEDIUM,2,765,-0.07121426275911297,0.048956687363356816,-0.04685599978856205,0.19547039998441992,탐색적 선행관계·예측검증 불가
4020,슈퍼마켓,LOCALDATA 대규모·준대규모점포,MEDIUM,0,850,-0.02981690507772538,0.3852747384843834,-0.012069341717184124,0.7253079853772832,동시관계
4020,슈퍼마켓,LOCALDATA 대규모·준대규모점포,MEDIUM,1,680,-0.03674455695518728,0.33869796358507864,-0.008333145433598312,0.8282817396166473,탐색적 선행관계·예측검증 불가
4020,슈퍼마켓,LOCALDATA 대규모·준대규모점포,MEDIUM,2,510,0.012488491789812935,0.7784428884847497,-0.06109343185272519,0.16833127395807893,탐색적 선행관계·예측검증 불가
8001,일반한식,LOCALDATA 일반음식점,MEDIUM,0,1275,0.017740518373331095,0.5268043726940013,0.04639334123564647,0.09775414243105589,동시관계
8001,일반한식,LOCALDATA 일반음식점,MEDIUM,1,1020,0.01925077458636372,0.5391337449727205,-0.009047772451475084,0.772876577296461,탐색적 선행관계·예측검증 불가
8001,일반한식,LOCALDATA 일반음식점,MEDIUM,2,765,-0.16763884972205506,3.1298334833631252e-06,-0.14880720757840551,3.5946290128434214e-05,탐색적 선행관계·예측검증 불가
8004,일식회집,LOCALDATA 일반음식점,MEDIUM,0,1247,0.0011020394055326157,0.9689883127931491,-0.0011744284016994401,0.9669523948424783,동시관계
8004,일식회집,LOCALDATA 일반음식점,MEDIUM,1,996,-0.022735057233398206,0.47356050181941045,-0.02292538117234969,0.4698646712018232,탐색적 선행관계·예측검증 불가
8004,일식회집,LOCALDATA 일반음식점,MEDIUM,2,745,-0.022192917056251933,0.5453078421214632,-0.01368958683748959,0.7091163926375355,탐색적 선행관계·예측검증 불가
8005,중국음식,LOCALDATA 일반음식점,HIGH,0,1275,-0.04735003646561113,0.0910233434474774,-0.041089592505927086,0.14254693411452737,동시관계
8005,중국음식,LOCALDATA 일반음식점,HIGH,1,1020,-0.053574198833771555,0.08723759875145239,-0.04317133005846201,0.1682856087183511,탐색적 선행관계·예측검증 불가
8005,중국음식,LOCALDATA 일반음식점,HIGH,2,765,-0.035631523994533766,0.32500722447316377,-0.022493115420118212,0.5344745466891991,탐색적 선행관계·예측검증 불가
8006,서양음식,LOCALDATA 일반음식점,MEDIUM,0,1275,-0.04905169340312264,0.07997488284503626,-0.019975508104237375,0.4760686698231935,동시관계
8006,서양음식,LOCALDATA 일반음식점,MEDIUM,1,1020,-0.04979383325780637,0.11198738272382049,-0.05818909104558387,0.06321077504514244,탐색적 선행관계·예측검증 불가
8006,서양음식,LOCALDATA 일반음식점,MEDIUM,2,765,-0.058445203984896485,0.10625613226331192,-0.023490495249676863,0.5165050941876703,탐색적 선행관계·예측검증 불가
8021,스넥,LOCALDATA 일반음식점,MEDIUM,0,1275,0.046726143418913,0.09536903783728662,0.05554682236094632,0.04736698609749813,동시관계
8021,스넥,LOCALDATA 일반음식점,MEDIUM,1,1020,-0.00432641092539174,0.8902359102029322,-0.03849481769705109,0.21930672078032765,탐색적 선행관계·예측검증 불가
8021,스넥,LOCALDATA 일반음식점,MEDIUM,2,765,-0.07382610807579423,0.041213416025752264,-0.09275672509462363,0.010262261863435889,탐색적 선행관계·예측검증 불가
8301,제과점,LOCALDATA 제과점영업,HIGH,0,1273,-0.05279710582789245,0.059670891649506896,-0.030421938668721647,0.2780931367835034,동시관계
8301,제과점,LOCALDATA 제과점영업,HIGH,1,1018,-0.05228232826528818,0.09547132277742933,-0.05094116433628764,0.10429209960171704,탐색적 선행관계·예측검증 불가
8301,제과점,LOCALDATA 제과점영업,HIGH,2,763,-0.06422364172739861,0.0762391924781778,-0.032356495132260646,0.37210667580260837,탐색적 선행관계·예측검증 불가
