industry_a_code,industry_a,industry_b_code,industry_b,n,amt_share_change_rho,amt_p,cnt_share_change_rho,cnt_p,opposite_amt_share_direction_pct
4004,대형할인점,4010,편의점,197,-0.1883666249148483,0.008030166595652852,0.07896273414765076,0.27004237380360885,94.44444444444444
4004,대형할인점,4020,슈퍼마켓,197,-0.2744444339803296,9.512541108440178e-05,-0.2494718238010479,0.00040733736882086753,43.43434343434344
4010,편의점,4020,슈퍼마켓,255,-0.1473490331171839,0.01855862292051334,-0.4574253126447429,1.3684003274483762e-14,59.6078431372549
4010,편의점,8301,제과점,254,-0.05591118710719169,0.37487603648424606,-0.3294882896671164,7.609558453943671e-08,68.23529411764706
4010,편의점,8021,스넥,255,0.25093503937007877,5.068353262360909e-05,-0.2978824108383511,1.2735276887135893e-06,16.07843137254902
8001,일반한식,8005,중국음식,255,-0.09165195113478462,0.14444207973589773,0.03783146132468736,0.5475954087357443,50.19607843137255
8001,일반한식,8006,서양음식,255,-0.030062384205650765,0.6327874043595836,-0.043958429828624364,0.48464642248357215,50.588235294117645
8001,일반한식,8004,일식회집,248,-0.0005743228890486853,0.9928201303527651,0.02189428997169296,0.7315301131180352,48.20717131474104
8005,중국음식,8006,서양음식,255,-0.11919870310328858,0.05731754884420098,-0.03448066234367763,0.5836439448927979,69.41176470588235
8021,스넥,8301,제과점,254,0.14973005728387648,0.01693981508043805,0.14763276073866724,0.018563219683325832,63.52941176470588
