industry,tenure_band,at_risk_jan1,closures_h1,closure_rate_6m_pct,wilson95_low,wilson95_high
제과점,1년미만,2278,184,8.077260755048288,7.027575606100865,9.268104164133845
제과점,1~3년,3251,251,7.720701322669949,6.852240763958154,8.688964067637952
제과점,3~5년,2498,154,6.164931945556445,5.28735899770609,7.177123166152724
제과점,5~10년,4068,196,4.818092428711897,4.201567723372043,5.519871342430517
제과점,10년+,7572,249,3.2884310618066563,2.90983788814049,3.714397761137077
중국음식,1년미만,1748,100,5.720823798627003,4.7260557034540405,6.909790825136216
중국음식,1~3년,3513,197,5.607742670082551,4.894290039450985,6.418178511876435
중국음식,3~5년,3273,168,5.132905591200734,4.428118782214846,5.942892132685648
중국음식,5~10년,5055,177,3.5014836795252227,3.02902098488826,4.0445667708540824
중국음식,10년+,12648,298,2.3561037318153066,2.1058735968189204,2.6352670130982947
