industry,metric,quartile,n,closures,metric_median,closure_rate_6m_pct,wilson95_low,wilson95_high
제과점,시설규모,Q1,4924,424,21.675,8.610885458976442,7.859239698513261,9.42706268588156
제과점,시설규모,Q2,4910,280,41.96,5.7026476578411405,5.087968929444255,6.386588980603151
제과점,시설규모,Q3,4916,182,70.625,3.7021969080553294,3.209494345510009,4.2672016521822735
제과점,시설규모,Q4,4917,148,122.6,3.0099654260728084,2.5678441131361716,3.5254550493485546
제과점,500m동종점,Q1,4898,219,1.0,4.471212739893835,3.927224261767057,5.08656353586394
제과점,500m동종점,Q2,4776,237,4.0,4.9623115577889445,4.381787931957303,5.615229542429296
제과점,500m동종점,Q3,5124,258,7.0,5.035128805620609,4.469351983344418,5.668277852959418
제과점,500m동종점,Q4,4133,270,15.0,6.532784902008226,5.819059305304853,7.327240519179604
중국음식,시설규모,Q1,6561,316,33.7,4.816338972717574,4.324159982283366,5.361398919853739
중국음식,시설규모,Q2,6581,246,62.0,3.738033733475156,3.3060527208556096,4.2239932562564295
중국음식,시설규모,Q3,6537,205,95.17,3.135995104788129,2.740238977381511,3.586800038515159
중국음식,시설규모,Q4,6558,173,164.7,2.6379993900579444,2.27696620083354,3.0544883103512466
중국음식,500m동종점,Q1,6488,191,1.0,2.943896424167694,2.5596083389785464,3.383876172411873
중국음식,500m동종점,Q2,6455,215,4.0,3.3307513555383426,2.920013057302213,3.797005672496022
중국음식,500m동종점,Q3,6117,211,9.0,3.449403302272356,3.0204936875280106,3.9367456568131334
중국음식,500m동종점,Q4,6252,264,21.0,4.222648752399232,3.751614574543407,4.749905029149883
