SIDO_NM,CCG_NM,연결업종,confidence,amt_growth_pct_m,amt_robust_signs,real_amt_growth_pct_m,real_amt_robust_signs,cnt_growth_pct_m,cnt_robust_signs,ticket_growth_pct_m,ticket_robust_signs,amt_pc_growth_pct_m,amt_pc_robust_signs,real_amt_pc_growth_pct_m,real_amt_pc_robust_signs,cnt_pc_growth_pct_m,cnt_pc_robust_signs,가동_당월말_growth_pct_m,가동_당월말_robust_signs,amt_per_store_growth_pct_m,amt_per_store_robust_signs,real_amt_per_store_growth_pct_m,real_amt_per_store_robust_signs,cnt_per_store_growth_pct_m,cnt_per_store_robust_signs,initial_stores,openings_6m,closures_6m,total_cnt_6m,total_amt_6m,mean_amt_per_initial_store,mean_cnt_per_initial_store,opening_rate_6m_pct,closure_rate_6m_pct,net_store_change_pct,demand_supply_gap_cnt,demand_supply_type,market_store_type,market_store_type_robust,demand_supply_type_robust,population_growth_pct_m,commercial_aging_gap_pp_m,bc_age_hhi_slope,foreign_share_slope,corp_share_slope,industry_hhi_slope,entropy_slope,portfolio_js,cnt_weakened_fraction,closure_rate_6m_pct_pctile,opening_rate_6m_pct_pctile,amt_growth_pct_m_pctile,cnt_growth_pct_m_pctile,initial_stores_pctile,high_closure,high_entry,weak_amt,weak_cnt,dense_market,closure_mechanism_candidate
강원특별자치도,강릉시,제과점,HIGH,-4.685042461388549,1,-4.593108064174172,1,-0.668342964765899,0,-4.0437254511900536,1,-4.660468805888918,1.0,-4.568510706579309,1.0,-0.6427337426330927,0.0,0.5934644530969102,1,-5.247365664542358,1,-5.155973646468244,1,-1.2543632180509592,1,142,21,16,135709,2113000000,2480046.9483568077,159.28286384976528,14.788732394366196,11.267605633802818,3.5211267605633805,-1.2618074178628094,수요-/공급+,C 총시장 감소/점포 증가,C 총시장 감소/점포 증가,부호 강건성 미충족,-0.0257748860224075,0.2767166539413114,5.2702391129634734e-05,0.0825669104439513,0.0788313171867647,0.0032895959758815,-0.00502396070815,0.0189575144290149,0.8,0.8307086614173228,0.8700787401574803,0.011811023622047244,0.1062992125984252,0.8248031496062992,True,True,True,True,True,고회전+수요취약 후보
강원특별자치도,강릉시,중국음식,HIGH,-1.6861556321247553,1,-1.944227747968752,1,-0.1606747473149554,0,-1.5279358919433446,1,-1.6608088176821707,1.0,-1.918947468469165,1.0,-0.1349346405423574,0.0,-0.4013141058830082,1,-1.290018552662103,1,-1.5491305213866022,1,0.2416089694434978,1,160,1,6,64489,1830490000,1906760.4166666667,67.17604166666666,0.625,3.75,-3.125,0.2406393585680527,수요-/공급-,D 기타·동반감소,D 기타·동반감소,부호 강건성 미충족,-0.0257748860224075,0.2767166539413114,5.2702391129634734e-05,0.0825669104439513,0.0788313171867647,0.0032895959758815,-0.00502396070815,0.0189575144290149,0.8,0.5686274509803921,0.23137254901960785,0.12549019607843137,0.1843137254901961,0.803921568627451,False,False,True,True,True,일반 관찰지역
강원특별자치도,고성군,제과점,HIGH,-0.4845824167579433,1,-0.3885965383050017,1,-5.2811776774805255,1,5.064035999508196,1,-0.7588513889730087,1.0,-0.6631300519235104,1.0,-5.542227017157888,1.0,-0.4015309578319205,0,-0.0833862806573949,0,0.01298656460419,0,-4.899319002165243,1,17,1,3,7719,135620000,1329607.843137255,75.67647058823529,5.88235294117647,17.647058823529413,-11.76470588235294,-4.879646719648605,수요-/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,0.2763661808168711,0.2935480652305992,0.0001117085508199,0.2243813326385605,0.0949533207741559,0.003148737230039,-0.0065628305830386,0.029135857667482,0.125,0.9488188976377953,0.4547244094488189,0.3228346456692913,0.003937007874015748,0.20669291338582677,True,False,False,True,False,관측변수로 미설명
강원특별자치도,고성군,중국음식,HIGH,1.6437913351177484,1,1.3769781669325687,0,4.076235395505926,1,-2.337175293806977,1,1.3636564689980375,0.0,1.0975786499194462,0.0,3.7893966040185094,1.0,0.0,0,1.6437913351177431,1,1.3769781669325636,0,4.076235395505917,1,26,0,0,8231,227190000,1456346.1538461538,52.76282051282051,0.0,0.0,0.0,4.076235395505926,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,0.2763661808168711,0.2935480652305992,0.0001117085508199,0.2243813326385605,0.0949533207741559,0.003148737230039,-0.0065628305830386,0.029135857667482,0.125,0.09411764705882353,0.11568627450980393,0.6980392156862745,0.8117647058823529,0.13725490196078433,False,False,False,False,False,일반 관찰지역
강원특별자치도,동해시,제과점,HIGH,-1.649459119890495,1,-1.5545968031564903,1,-0.4412665105749817,1,-1.2135475884130702,1,-1.4969031846189802,1.0,-1.4018937226906292,1.0,-0.2868364935561502,1.0,-0.1655059554337098,0,-1.4864132669358985,1,-1.3913936871385006,1,-0.2762177119044136,0,34,2,2,41413,614820000,3013823.529411765,203.0049019607843,5.88235294117647,5.88235294117647,0.0,-0.2757605551412718,수요-/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,-0.1548742528952512,0.3611206998970542,0.0013645308968821,0.0187962567941348,0.1071642777261987,0.0025501032963552,-0.0042802248854016,0.018451430888081,0.8,0.5196850393700787,0.4547244094488189,0.15354330708661418,0.1220472440944882,0.3562992125984252,False,False,True,True,False,일반 관찰지역
강원특별자치도,동해시,중국음식,HIGH,-1.9644157469562828,1,-2.221757434882916,1,-1.695557517008813,1,-0.2734955035160064,1,-1.8123483550357575,1.0,-2.0700892171970664,1.0,-1.543073087028734,1.0,0.0,0,-1.9644157469562775,1,-2.2217574348829117,1,-1.6955575170088104,1,72,0,0,31474,974850000,2256597.222222222,72.85648148148148,0.0,0.0,0.0,-1.695557517008813,수요-/공급+,C 총시장 감소/점포 증가,부호 강건성 미충족,부호 강건성 미충족,-0.1548742528952512,0.3611206998970542,0.0013645308968821,0.0187962567941348,0.1071642777261987,0.0025501032963552,-0.0042802248854016,0.018451430888081,0.8,0.09411764705882353,0.11568627450980393,0.10196078431372549,0.050980392156862744,0.4196078431372549,False,False,True,True,False,일반 관찰지역
강원특별자치도,삼척시,제과점,HIGH,0.5269705010108905,0,0.6239320553718534,0,1.4035457335433807,1,-0.8644423882729146,1,0.4905215716757944,0.0,0.5874479698510569,1.0,1.3667789767779948,1.0,0.0,0,0.5269705010109211,0,0.6239320553718688,0,1.403545733543378,1,24,0,0,17467,267840000,1860000.0,121.2986111111111,0.0,0.0,0.0,1.4035457335433807,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,0.0362710121960423,0.1793294420718593,-0.0018784309489218,0.0764984780484155,0.0730600331004606,0.0037436455767576,-0.0051423808287596,0.0161404896423782,0.3,0.1141732283464567,0.10236220472440945,0.5039370078740157,0.3464566929133858,0.29133858267716534,False,False,False,False,False,일반 관찰지역
강원특별자치도,삼척시,중국음식,HIGH,3.024794938668758,1,2.754356660263809,1,4.931521783653882,1,-1.817115403049649,1,2.98744035161841,1.0,2.7171001283488634,1.0,4.893475858232524,1.0,0.3289615838352454,0,2.686994176233768,1,2.417442618901126,1,4.587469188518134,1,43,3,2,13235,357980000,1387519.3798449612,51.298449612403104,6.976744186046512,4.651162790697675,2.3255813953488373,4.602560199818637,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,0.0362710121960423,0.1793294420718593,-0.0018784309489218,0.0764984780484155,0.0730600331004606,0.0037436455767576,-0.0051423808287596,0.0161404896423782,0.3,0.7313725490196078,0.8784313725490196,0.8352941176470589,0.8745098039215686,0.27058823529411763,False,True,False,False,False,일반 관찰지역
강원특별자치도,속초시,제과점,HIGH,-0.9002752931186601,1,-0.8046903640550104,1,0.1616693107575921,0,-1.060230536475511,1,-0.7232350760985173,0.0,-0.6274793859491548,0.0,0.3406066763691323,0.0,-0.8589260389299883,1,-0.0417074906863613,0,0.0547055551327339,0,1.0294374560521231,0,54,1,3,78453,1184470000,3655771.604938271,242.13888888888889,1.8518518518518516,5.555555555555555,-3.7037037037037033,1.0205953496875804,수요+/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,-0.1783299618555102,0.3886195982468594,0.0003360769259587,0.1132368691767694,0.0121682800574967,0.0017254849172098,-0.0028391221281284,0.0119112455022803,0.7,0.4921259842519685,0.2204724409448819,0.24015748031496062,0.15748031496062992,0.47244094488188976,False,False,True,True,False,일반 관찰지역
강원특별자치도,속초시,중국음식,HIGH,-1.3723786188703595,1,-1.63127439386668,1,0.0450523729567234,0,-1.4167926930989945,1,-1.1961818075760695,1.0,-1.455540096109381,1.0,0.223781404104778,1.0,-1.2483066071377469,1,-0.125640389009878,1,-0.3878088299766113,1,1.3097081535089328,1,54,0,3,29321,842170000,2599290.12345679,90.49691358024693,0.0,5.555555555555555,-5.555555555555555,1.29335898009447,수요+/공급-,D 기타·동반감소,D 기타·동반감소,부호 강건성 미충족,-0.1783299618555102,0.3886195982468594,0.0003360769259587,0.1132368691767694,0.0121682800574967,0.0017254849172098,-0.0028391221281284,0.0119112455022803,0.7,0.8215686274509804,0.11568627450980393,0.1843137254901961,0.22745098039215686,0.3431372549019608,True,False,True,True,False,수요취약 후보
