SIDO_NM,CCG_NM,TP_BUZ_NO,연결업종,closure_rate_6m_pct,opening_rate_6m_pct,amt_growth_pct_m,cnt_growth_pct_m,closure_mechanism_candidate,business_health_score,business_health_grade,trend_type,fastest_growing_age,support_priority,recommended_support
인천광역시,미추홀구,8301,제과점,22.429906542056074,22.429906542056074,-2.0864484478478675,-0.1527079136895556,고회전+수요취약 후보,0.0,위축·즉시점검,수요수축,20대,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
서울특별시,중구,8301,제과점,18.238993710691823,21.38364779874214,-2.582673813663092,-1.5610290126644455,고회전+수요취약 후보,0.0,위축·즉시점검,수요수축,50대,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
서울특별시,용산구,8301,제과점,17.72151898734177,14.556962025316457,-1.7257468000758176,0.2830997122299047,고회전+수요취약 후보,20.0,위축·즉시점검,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
서울특별시,서초구,8301,제과점,16.59751037344398,16.182572614107883,-1.024962384637654,0.8480282838604911,고회전+수요취약 후보,40.0,관찰·선별개선,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
경기도,파주시,8301,제과점,15.606936416184972,17.341040462427745,-1.3681075635469724,0.3258269500196837,고회전+수요취약 후보,20.0,위축·즉시점검,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
서울특별시,강남구,8301,제과점,15.466101694915254,13.983050847457626,-1.057448481396584,0.5375654816160983,고회전+수요취약 후보,20.0,위축·즉시점검,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
전북특별자치도,김제시,8301,제과점,14.285714285714285,4.761904761904762,-2.344752028001828,-0.7961446408571046,수요취약 후보,0.0,위축·즉시점검,수요수축,60대 이상,1_즉시진단,고객이탈 세그먼트 확인+재방문 캠페인
경기도,고양시 일산서구,8301,제과점,13.095238095238097,17.857142857142858,-1.4971826690772314,0.6725707927936064,고회전+수요취약 후보,20.0,위축·즉시점검,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
경기도,수원시 장안구,8301,제과점,13.095238095238097,19.047619047619047,-1.2323242197605535,0.7661294208200377,고회전+수요취약 후보,20.0,위축·즉시점검,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
경기도,의정부시,8301,제과점,12.048192771084338,13.855421686746988,-1.8022775157053983,0.3721650441826357,고회전+수요취약 후보,20.0,위축·즉시점검,빈도증가·매출압력,60대 이상,1_즉시진단,신규출점 경고+존속점 재방문·원가·임차료 진단
