SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,nominal_amt_growth_pct_m,real_amt_growth_pct_m,nominal_real_type
강원특별자치도,강릉시,4004,대형할인점,MEDIUM,-6.076864595997405,-5.7520300868844725,명목-/실질-
강원특별자치도,강릉시,4010,편의점,MEDIUM,3.34506258883673,3.702482968074157,명목+/실질+
강원특별자치도,강릉시,4020,슈퍼마켓,MEDIUM,-0.35590794626104316,-0.01128742663035148,명목-/실질-
강원특별자치도,강릉시,8001,일반한식,MEDIUM,0.9846415634716282,0.7195586518673053,명목+/실질+
강원특별자치도,강릉시,8002,갈비전문점,MEDIUM,-2.273521122830495,-2.5300514145707784,명목-/실질-
강원특별자치도,강릉시,8004,일식회집,MEDIUM,3.382902600874197,3.11152429614163,명목+/실질+
강원특별자치도,강릉시,8005,중국음식,MEDIUM,-1.6861556321246487,-1.9442277479684942,명목-/실질-
강원특별자치도,강릉시,8006,서양음식,MEDIUM,0.2400441000728537,-0.023084256259158505,명목+/실질-
강원특별자치도,강릉시,8021,스넥,MEDIUM,0.5014342255044566,0.23761972468129547,명목+/실질+
강원특별자치도,강릉시,8301,제과점,HIGH,-4.6850424613885195,-4.59310806417391,명목-/실질-
강원특별자치도,고성군,4010,편의점,MEDIUM,9.141010461502313,9.518476209476175,명목+/실질+
강원특별자치도,고성군,4020,슈퍼마켓,MEDIUM,11.9701982156872,12.357448750033399,명목+/실질+
강원특별자치도,고성군,8001,일반한식,MEDIUM,9.542514465168054,9.254967287406139,명목+/실질+
강원특별자치도,고성군,8004,일식회집,MEDIUM,17.813642849093466,17.504384104500193,명목+/실질+
강원특별자치도,고성군,8005,중국음식,MEDIUM,1.6437913351179216,1.376978166932683,명목+/실질+
강원특별자치도,고성군,8006,서양음식,MEDIUM,10.207378326943562,9.918085893214448,명목+/실질+
강원특별자치도,고성군,8021,스넥,MEDIUM,6.237693170450749,5.9588210905807735,명목+/실질+
강원특별자치도,고성군,8301,제과점,HIGH,-0.4845824167579108,-0.38859653830482815,명목-/실질-
강원특별자치도,동해시,4004,대형할인점,MEDIUM,-2.7873190153904708,-2.451107565768847,명목-/실질-
강원특별자치도,동해시,4010,편의점,MEDIUM,3.980385086842817,4.340002738039906,명목+/실질+
강원특별자치도,동해시,4020,슈퍼마켓,MEDIUM,-0.9493977815220952,-0.6068298549875215,명목-/실질-
강원특별자치도,동해시,8001,일반한식,MEDIUM,3.3889523264868724,3.117558141331004,명목+/실질+
강원특별자치도,동해시,8002,갈비전문점,MEDIUM,14.081470563081815,13.78200870523147,명목+/실질+
강원특별자치도,동해시,8004,일식회집,MEDIUM,4.57618624892488,4.301675595560901,명목+/실질+
강원특별자치도,동해시,8005,중국음식,MEDIUM,-1.9644157469563175,-2.221757434882753,명목-/실질-
강원특별자치도,동해시,8006,서양음식,MEDIUM,3.981822522758502,3.7088720637432857,명목+/실질+
강원특별자치도,동해시,8021,스넥,MEDIUM,1.9845596770765865,1.7168519979750287,명목+/실질+
강원특별자치도,동해시,8301,제과점,HIGH,-1.6494591198903463,-1.5545968031563333,명목-/실질-
강원특별자치도,삼척시,4004,대형할인점,MEDIUM,-23.201190952861772,-22.935581171736086,명목-/실질-
강원특별자치도,삼척시,4010,편의점,MEDIUM,7.309169537898116,7.68029983779954,명목+/실질+
강원특별자치도,삼척시,4020,슈퍼마켓,MEDIUM,4.348537651297776,4.7094285634124065,명목+/실질+
강원특별자치도,삼척시,8001,일반한식,MEDIUM,7.65237067351764,7.369785090032832,명목+/실질+
강원특별자치도,삼척시,8002,갈비전문점,MEDIUM,-0.5168953937272781,-0.7780367971739035,명목-/실질-
강원특별자치도,삼척시,8004,일식회집,MEDIUM,13.074037396374298,12.777220032903974,명목+/실질+
강원특별자치도,삼척시,8005,중국음식,MEDIUM,3.024794938668859,2.754356660263963,명목+/실질+
강원특별자치도,삼척시,8006,서양음식,MEDIUM,4.523300776180663,4.2489289462543836,명목+/실질+
강원특별자치도,삼척시,8021,스넥,MEDIUM,6.093588132512339,5.815094325837546,명목+/실질+
강원특별자치도,삼척시,8301,제과점,HIGH,0.5269705010109064,0.6239320553719255,명목+/실질+
강원특별자치도,속초시,4004,대형할인점,MEDIUM,-0.0777557011488206,0.26782681200568714,명목-/실질+
강원특별자치도,속초시,4010,편의점,MEDIUM,2.1576005903741144,2.510914115281366,명목+/실질+
강원특별자치도,속초시,4020,슈퍼마켓,MEDIUM,-1.229717103384679,-0.8881186652400934,명목-/실질-
강원특별자치도,속초시,8001,일반한식,MEDIUM,1.4311690458713469,1.1649140074636397,명목+/실질+
강원특별자치도,속초시,8002,갈비전문점,MEDIUM,22.381930703552577,22.060680283524672,명목+/실질+
강원특별자치도,속초시,8004,일식회집,MEDIUM,1.7330386977371393,1.4659912567914128,명목+/실질+
강원특별자치도,속초시,8005,중국음식,MEDIUM,-1.372378618870122,-1.631274393866527,명목-/실질-
강원특별자치도,속초시,8006,서양음식,MEDIUM,0.06038156634484139,-0.20227517898974617,명목+/실질-
강원특별자치도,속초시,8021,스넥,MEDIUM,0.9167911145723588,0.6518863092055703,명목+/실질+
강원특별자치도,속초시,8301,제과점,HIGH,-0.900275293118415,-0.8046903640549471,명목-/실질-
강원특별자치도,양구군,4010,편의점,MEDIUM,6.50335204175225,6.8716954103008305,명목+/실질+
강원특별자치도,양구군,4020,슈퍼마켓,MEDIUM,2.8290352713640354,3.18467096273271,명목+/실질+
강원특별자치도,양구군,8001,일반한식,MEDIUM,6.487434878398131,6.2079072309284555,명목+/실질+
강원특별자치도,양구군,8004,일식회집,MEDIUM,15.579724024389515,15.276329277500956,명목+/실질+
강원특별자치도,양구군,8005,중국음식,MEDIUM,5.4204029723910985,5.14367626494571,명목+/실질+
