outcome,model,algorithm,n,cv_r2,cv_mae
closure_rate_6m_pct,A_AMT,Ridge,1517,-0.001969062407085609,3.469044636389777
closure_rate_6m_pct,A_AMT,RF,1517,-0.03763586989253365,3.6470994623321737
closure_rate_6m_pct,B_AMT_CNT,Ridge,1517,-0.0104669214212747,3.479380746089037
closure_rate_6m_pct,B_AMT_CNT,RF,1517,-0.028587185832232187,3.548371669172259
closure_rate_6m_pct,C_BC_structure,Ridge,1513,-0.02499687113692106,3.4764132282748395
closure_rate_6m_pct,C_BC_structure,RF,1513,-0.0055856618886678255,3.4254538533375802
closure_rate_6m_pct,D_BC_external,Ridge,1489,-0.008803548272090511,3.5115250561985776
closure_rate_6m_pct,D_BC_external,RF,1489,0.020445936236592077,3.3810510648845256
net_store_change_pct,A_AMT,Ridge,1517,-0.007115274125329085,2.917922175573529
net_store_change_pct,A_AMT,RF,1517,-0.056576119246695145,3.2260792831270306
net_store_change_pct,B_AMT_CNT,Ridge,1517,-0.003097944889586257,2.9362529697602904
net_store_change_pct,B_AMT_CNT,RF,1517,-0.024174997496567707,3.1147586969662684
net_store_change_pct,C_BC_structure,Ridge,1513,-0.016686335962036836,2.993355896901967
net_store_change_pct,C_BC_structure,RF,1513,-0.017025626907375635,3.0738720359714753
net_store_change_pct,D_BC_external,Ridge,1489,-0.002785620831931457,3.0188553706143977
net_store_change_pct,D_BC_external,RF,1489,0.015905268710126763,3.0206593210298953
