SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,연결업종,stores_previous_month_end,stores_current_month_end,openings_month,closures_month
강원특별자치도,강릉시,202601,8005,중국음식,중국음식,160,158,0,2
강원특별자치도,고성군,202601,8005,중국음식,중국음식,26,26,0,0
강원특별자치도,동해시,202601,8005,중국음식,중국음식,72,72,0,0
강원특별자치도,삼척시,202601,8005,중국음식,중국음식,43,43,0,0
강원특별자치도,속초시,202601,8005,중국음식,중국음식,54,54,0,0
강원특별자치도,양구군,202601,8005,중국음식,중국음식,23,23,0,0
강원특별자치도,양양군,202601,8005,중국음식,중국음식,21,21,0,0
강원특별자치도,영월군,202601,8005,중국음식,중국음식,30,30,0,0
강원특별자치도,원주시,202601,8005,중국음식,중국음식,188,189,1,0
강원특별자치도,인제군,202601,8005,중국음식,중국음식,27,27,0,0
강원특별자치도,정선군,202601,8005,중국음식,중국음식,24,24,0,0
강원특별자치도,철원군,202601,8005,중국음식,중국음식,41,42,1,0
강원특별자치도,춘천시,202601,8005,중국음식,중국음식,161,160,0,1
강원특별자치도,태백시,202601,8005,중국음식,중국음식,27,28,1,0
강원특별자치도,평창군,202601,8005,중국음식,중국음식,30,30,0,0
강원특별자치도,홍천군,202601,8005,중국음식,중국음식,48,48,0,0
강원특별자치도,화천군,202601,8005,중국음식,중국음식,27,27,0,0
강원특별자치도,횡성군,202601,8005,중국음식,중국음식,38,38,0,0
경기도,가평군,202601,8005,중국음식,중국음식,44,44,0,0
경기도,고양시 덕양구,202601,8005,중국음식,중국음식,182,182,0,0
경기도,고양시 일산동구,202601,8005,중국음식,중국음식,118,120,3,1
경기도,고양시 일산서구,202601,8005,중국음식,중국음식,83,84,1,0
경기도,과천시,202601,8005,중국음식,중국음식,23,23,0,0
경기도,광명시,202601,8005,중국음식,중국음식,79,78,0,1
경기도,광주시,202601,8005,중국음식,중국음식,159,160,2,1
경기도,구리시,202601,8005,중국음식,중국음식,76,77,1,0
경기도,군포시,202601,8005,중국음식,중국음식,109,108,1,2
경기도,김포시,202601,8005,중국음식,중국음식,206,205,2,3
경기도,남양주시,202601,8005,중국음식,중국음식,249,252,5,2
경기도,동두천시,202601,8005,중국음식,중국음식,47,48,1,0
경기도,부천시 소사구,202601,8005,중국음식,중국음식,170,171,2,1
경기도,부천시 오정구,202601,8005,중국음식,중국음식,58,58,0,0
경기도,부천시 원미구,202601,8005,중국음식,중국음식,232,232,1,1
경기도,성남시 분당구,202601,8005,중국음식,중국음식,182,183,1,0
경기도,성남시 수정구,202601,8005,중국음식,중국음식,131,128,0,3
경기도,성남시 중원구,202601,8005,중국음식,중국음식,93,93,0,0
경기도,수원시 권선구,202601,8005,중국음식,중국음식,127,128,1,0
경기도,수원시 영통구,202601,8005,중국음식,중국음식,122,122,1,1
경기도,수원시 장안구,202601,8005,중국음식,중국음식,84,84,0,0
경기도,수원시 팔달구,202601,8005,중국음식,중국음식,143,145,2,0
경기도,시흥시,202601,8005,중국음식,중국음식,296,294,0,2
경기도,안산시 단원구,202601,8005,중국음식,중국음식,261,262,1,0
경기도,안산시 상록구,202601,8005,중국음식,중국음식,150,150,0,0
경기도,안성시,202601,8005,중국음식,중국음식,113,112,0,1
경기도,안양시 동안구,202601,8005,중국음식,중국음식,127,127,1,1
경기도,안양시 만안구,202601,8005,중국음식,중국음식,115,116,1,0
경기도,양주시,202601,8005,중국음식,중국음식,132,133,2,1
경기도,양평군,202601,8005,중국음식,중국음식,43,43,0,0
경기도,여주시,202601,8005,중국음식,중국음식,60,60,0,0
경기도,연천군,202601,8005,중국음식,중국음식,26,26,0,0
경기도,오산시,202601,8005,중국음식,중국음식,150,150,2,2
경기도,용인시 기흥구,202601,8005,중국음식,중국음식,118,119,3,2
경기도,용인시 수지구,202601,8005,중국음식,중국음식,96,97,1,0
경기도,용인시 처인구,202601,8005,중국음식,중국음식,132,132,2,2
경기도,의왕시,202601,8005,중국음식,중국음식,39,39,0,0
경기도,의정부시,202601,8005,중국음식,중국음식,177,179,2,0
경기도,이천시,202601,8005,중국음식,중국음식,148,148,0,0
경기도,파주시,202601,8005,중국음식,중국음식,227,227,1,1
경기도,평택시,202601,8005,중국음식,중국음식,384,386,3,1
경기도,포천시,202601,8005,중국음식,중국음식,101,103,2,0
경기도,하남시,202601,8005,중국음식,중국음식,116,116,1,1
경기도,화성시 동탄구,202601,8005,중국음식,중국음식,153,153,2,2
경기도,화성시 만세구,202601,8005,중국음식,중국음식,139,141,5,3
경기도,화성시 병점구,202601,8005,중국음식,중국음식,54,54,0,0
경기도,화성시 효행구,202601,8005,중국음식,중국음식,47,46,0,1
경상남도,거제시,202601,8005,중국음식,중국음식,143,142,0,1
경상남도,거창군,202601,8005,중국음식,중국음식,50,50,0,0
경상남도,고성군,202601,8005,중국음식,중국음식,30,30,0,0
경상남도,김해시,202601,8005,중국음식,중국음식,251,249,0,2
경상남도,남해군,202601,8005,중국음식,중국음식,30,30,0,0
경상남도,밀양시,202601,8005,중국음식,중국음식,63,61,0,2
경상남도,사천시,202601,8005,중국음식,중국음식,73,72,0,1
경상남도,산청군,202601,8005,중국음식,중국음식,24,24,0,0
경상남도,양산시,202601,8005,중국음식,중국음식,175,174,0,1
경상남도,의령군,202601,8005,중국음식,중국음식,20,20,0,0
경상남도,진주시,202601,8005,중국음식,중국음식,207,206,2,3
경상남도,창녕군,202601,8005,중국음식,중국음식,53,53,0,0
경상남도,창원시 마산합포구,202601,8005,중국음식,중국음식,97,97,0,0
경상남도,창원시 마산회원구,202601,8005,중국음식,중국음식,84,84,0,0
경상남도,창원시 성산구,202601,8005,중국음식,중국음식,99,99,0,0
경상남도,창원시 의창구,202601,8005,중국음식,중국음식,89,89,1,1
경상남도,창원시 진해구,202601,8005,중국음식,중국음식,85,85,0,0
경상남도,통영시,202601,8005,중국음식,중국음식,69,70,1,0
경상남도,하동군,202601,8005,중국음식,중국음식,20,20,0,0
경상남도,함안군,202601,8005,중국음식,중국음식,34,34,0,0
경상남도,함양군,202601,8005,중국음식,중국음식,25,25,0,0
경상남도,합천군,202601,8005,중국음식,중국음식,27,27,0,0
경상북도,경산시,202601,8005,중국음식,중국음식,171,170,0,1
경상북도,경주시,202601,8005,중국음식,중국음식,188,190,2,0
경상북도,고령군,202601,8005,중국음식,중국음식,26,26,0,0
경상북도,구미시,202601,8005,중국음식,중국음식,190,190,0,0
경상북도,김천시,202601,8005,중국음식,중국음식,97,96,0,1
경상북도,문경시,202601,8005,중국음식,중국음식,67,67,0,0
경상북도,봉화군,202601,8005,중국음식,중국음식,29,29,0,0
경상북도,상주시,202601,8005,중국음식,중국음식,62,62,0,0
경상북도,성주군,202601,8005,중국음식,중국음식,39,40,1,0
경상북도,안동시,202601,8005,중국음식,중국음식,114,110,0,4
경상북도,영덕군,202601,8005,중국음식,중국음식,31,31,0,0
경상북도,영양군,202601,8005,중국음식,중국음식,10,10,0,0
경상북도,영주시,202601,8005,중국음식,중국음식,84,87,3,0
경상북도,영천시,202601,8005,중국음식,중국음식,64,64,0,0
경상북도,예천군,202601,8005,중국음식,중국음식,37,37,1,1
경상북도,울릉군,202601,8005,중국음식,중국음식,8,8,0,0
경상북도,울진군,202601,8005,중국음식,중국음식,34,33,0,1
경상북도,의성군,202601,8005,중국음식,중국음식,37,38,1,0
경상북도,청도군,202601,8005,중국음식,중국음식,23,24,1,0
경상북도,청송군,202601,8005,중국음식,중국음식,16,16,0,0
경상북도,칠곡군,202601,8005,중국음식,중국음식,70,70,0,0
경상북도,포항시 남구,202601,8005,중국음식,중국음식,132,131,0,1
경상북도,포항시 북구,202601,8005,중국음식,중국음식,134,135,1,0
광주광역시,광산구,202601,8005,중국음식,중국음식,192,191,1,2
광주광역시,남구,202601,8005,중국음식,중국음식,42,42,0,0
광주광역시,동구,202601,8005,중국음식,중국음식,69,66,0,3
광주광역시,북구,202601,8005,중국음식,중국음식,92,92,0,0
광주광역시,서구,202601,8005,중국음식,중국음식,90,89,0,1
대구광역시,군위군,202601,8005,중국음식,중국음식,14,14,0,0
대구광역시,남구,202601,8005,중국음식,중국음식,92,90,0,2
대구광역시,달서구,202601,8005,중국음식,중국음식,244,242,0,2
대구광역시,달성군,202601,8005,중국음식,중국음식,114,115,1,0
대구광역시,동구,202601,8005,중국음식,중국음식,98,97,0,1
대구광역시,북구,202601,8005,중국음식,중국음식,170,166,0,4
대구광역시,서구,202601,8005,중국음식,중국음식,92,92,1,1
대구광역시,수성구,202601,8005,중국음식,중국음식,154,156,2,0
대구광역시,중구,202601,8005,중국음식,중국음식,101,101,1,1
대전광역시,대덕구,202601,8005,중국음식,중국음식,79,78,0,1
대전광역시,동구,202601,8005,중국음식,중국음식,94,93,0,1
대전광역시,서구,202601,8005,중국음식,중국음식,156,154,0,2
대전광역시,유성구,202601,8005,중국음식,중국음식,152,152,2,2
대전광역시,중구,202601,8005,중국음식,중국음식,103,101,0,2
부산광역시,강서구,202601,8005,중국음식,중국음식,81,83,2,0
부산광역시,금정구,202601,8005,중국음식,중국음식,110,110,0,0
부산광역시,기장군,202601,8005,중국음식,중국음식,82,81,0,1
부산광역시,남구,202601,8005,중국음식,중국음식,117,117,0,0
부산광역시,동구,202601,8005,중국음식,중국음식,75,74,0,1
부산광역시,동래구,202601,8005,중국음식,중국음식,117,117,0,0
부산광역시,부산진구,202601,8005,중국음식,중국음식,218,220,4,2
부산광역시,북구,202601,8005,중국음식,중국음식,113,112,0,1
부산광역시,사상구,202601,8005,중국음식,중국음식,142,141,0,1
부산광역시,사하구,202601,8005,중국음식,중국음식,112,112,0,0
부산광역시,서구,202601,8005,중국음식,중국음식,52,52,0,0
부산광역시,수영구,202601,8005,중국음식,중국음식,91,90,1,2
부산광역시,연제구,202601,8005,중국음식,중국음식,68,68,0,0
부산광역시,영도구,202601,8005,중국음식,중국음식,51,50,0,1
