level,TP_BUZ_NO,TP_BUZ_NM,rows,months,active_observed_pct,open_observed_pct,close_observed_pct,close_masked_pct
전국,4010,편의점,6,6,100.0,100.0,100.0,0.0
전국,4020,슈퍼마켓,6,6,100.0,100.0,100.0,0.0
전국,8001,일반한식,6,6,100.0,100.0,100.0,0.0
전국,8004,일식회집,6,6,100.0,100.0,100.0,0.0
전국,8005,중국음식,6,6,100.0,100.0,100.0,0.0
전국,8021,스넥,6,6,100.0,100.0,100.0,0.0
전국,8301,제과점,6,6,100.0,100.0,100.0,0.0
시도,4010,편의점,101,6,100.0,94.05940594059405,68.31683168316832,31.683168316831683
시도,4020,슈퍼마켓,101,6,100.0,74.25742574257426,66.33663366336634,33.663366336633665
시도,8001,일반한식,101,6,100.0,100.0,100.0,0.0
시도,8004,일식회집,101,6,100.0,80.19801980198021,69.3069306930693,30.693069306930692
시도,8005,중국음식,101,6,100.0,82.17821782178217,81.1881188118812,18.81188118811881
시도,8021,스넥,101,6,100.0,94.05940594059405,94.05940594059405,5.9405940594059405
시도,8301,제과점,101,6,100.0,86.13861386138613,65.34653465346535,34.65346534653465
시군구,4010,편의점,1525,6,99.60655737704917,2.4262295081967213,0.9180327868852459,99.08196721311475
시군구,4020,슈퍼마켓,1525,6,99.60655737704917,0.39344262295081966,0.06557377049180328,99.9344262295082
시군구,8001,일반한식,1525,6,100.0,75.27868852459017,71.73770491803279,28.262295081967213
시군구,8004,일식회집,1525,6,89.9672131147541,2.2950819672131146,0.8524590163934427,99.14754098360655
시군구,8005,중국음식,1525,6,100.0,1.8360655737704918,1.2459016393442623,98.75409836065575
시군구,8021,스넥,1525,6,100.0,3.606557377049181,6.491803278688526,93.50819672131148
시군구,8301,제과점,1525,6,99.21311475409837,1.1147540983606559,0.0,100.0
