SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,국세청업종,active_business_count,active_business_masked
서울특별시,강남구,202601,4010,편의점,편의점,675.0,False
서울특별시,강동구,202601,4010,편의점,편의점,333.0,False
서울특별시,강북구,202601,4010,편의점,편의점,236.0,False
서울특별시,강서구,202601,4010,편의점,편의점,481.0,False
서울특별시,관악구,202601,4010,편의점,편의점,367.0,False
서울특별시,광진구,202601,4010,편의점,편의점,318.0,False
서울특별시,구로구,202601,4010,편의점,편의점,320.0,False
서울특별시,금천구,202601,4010,편의점,편의점,278.0,False
서울특별시,노원구,202601,4010,편의점,편의점,299.0,False
서울특별시,도봉구,202601,4010,편의점,편의점,225.0,False
서울특별시,동대문구,202601,4010,편의점,편의점,312.0,False
서울특별시,동작구,202601,4010,편의점,편의점,282.0,False
서울특별시,마포구,202601,4010,편의점,편의점,451.0,False
서울특별시,서대문구,202601,4010,편의점,편의점,257.0,False
서울특별시,서초구,202601,4010,편의점,편의점,396.0,False
서울특별시,성동구,202601,4010,편의점,편의점,258.0,False
서울특별시,성북구,202601,4010,편의점,편의점,287.0,False
서울특별시,송파구,202601,4010,편의점,편의점,511.0,False
서울특별시,양천구,202601,4010,편의점,편의점,251.0,False
서울특별시,영등포구,202601,4010,편의점,편의점,424.0,False
서울특별시,용산구,202601,4010,편의점,편의점,228.0,False
서울특별시,은평구,202601,4010,편의점,편의점,313.0,False
서울특별시,종로구,202601,4010,편의점,편의점,248.0,False
서울특별시,중구,202601,4010,편의점,편의점,308.0,False
서울특별시,중랑구,202601,4010,편의점,편의점,303.0,False
인천광역시,강화군,202601,4010,편의점,편의점,117.0,False
인천광역시,계양구,202601,4010,편의점,편의점,241.0,False
인천광역시,남동구,202601,4010,편의점,편의점,456.0,False
인천광역시,동구,202601,4010,편의점,편의점,56.0,False
인천광역시,미추홀구,202601,4010,편의점,편의점,413.0,False
인천광역시,부평구,202601,4010,편의점,편의점,426.0,False
인천광역시,서구,202601,4010,편의점,편의점,582.0,False
인천광역시,연수구,202601,4010,편의점,편의점,370.0,False
인천광역시,옹진군,202601,4010,편의점,편의점,35.0,False
인천광역시,중구,202601,4010,편의점,편의점,275.0,False
경기도,가평군,202601,4010,편의점,편의점,129.0,False
경기도,고양시 덕양구,202601,4010,편의점,편의점,402.0,False
경기도,고양시 일산동구,202601,4010,편의점,편의점,294.0,False
경기도,고양시 일산서구,202601,4010,편의점,편의점,194.0,False
경기도,과천시,202601,4010,편의점,편의점,75.0,False
경기도,광명시,202601,4010,편의점,편의점,183.0,False
경기도,광주시,202601,4010,편의점,편의점,429.0,False
경기도,구리시,202601,4010,편의점,편의점,170.0,False
경기도,군포시,202601,4010,편의점,편의점,199.0,False
경기도,김포시,202601,4010,편의점,편의점,496.0,False
경기도,남양주시,202601,4010,편의점,편의점,634.0,False
경기도,동두천시,202601,4010,편의점,편의점,97.0,False
경기도,부천시 소사구,202601,4010,편의점,편의점,178.0,False
경기도,부천시 오정구,202601,4010,편의점,편의점,134.0,False
경기도,부천시 원미구,202601,4010,편의점,편의점,354.0,False
경기도,성남시 분당구,202601,4010,편의점,편의점,350.0,False
경기도,성남시 수정구,202601,4010,편의점,편의점,227.0,False
경기도,성남시 중원구,202601,4010,편의점,편의점,190.0,False
경기도,수원시 권선구,202601,4010,편의점,편의점,335.0,False
경기도,수원시 영통구,202601,4010,편의점,편의점,299.0,False
경기도,수원시 장안구,202601,4010,편의점,편의점,220.0,False
경기도,수원시 팔달구,202601,4010,편의점,편의점,257.0,False
경기도,시흥시,202601,4010,편의점,편의점,554.0,False
경기도,안산시 단원구,202601,4010,편의점,편의점,375.0,False
경기도,안산시 상록구,202601,4010,편의점,편의점,311.0,False
경기도,안성시,202601,4010,편의점,편의점,320.0,False
경기도,안양시 동안구,202601,4010,편의점,편의점,255.0,False
경기도,안양시 만안구,202601,4010,편의점,편의점,195.0,False
경기도,양주시,202601,4010,편의점,편의점,319.0,False
경기도,양평군,202601,4010,편의점,편의점,150.0,False
경기도,여주시,202601,4010,편의점,편의점,182.0,False
경기도,연천군,202601,4010,편의점,편의점,63.0,False
경기도,오산시,202601,4010,편의점,편의점,281.0,False
경기도,용인시 기흥구,202601,4010,편의점,편의점,342.0,False
경기도,용인시 수지구,202601,4010,편의점,편의점,223.0,False
경기도,용인시 처인구,202601,4010,편의점,편의점,430.0,False
경기도,의왕시,202601,4010,편의점,편의점,108.0,False
경기도,의정부시,202601,4010,편의점,편의점,429.0,False
경기도,이천시,202601,4010,편의점,편의점,362.0,False
경기도,파주시,202601,4010,편의점,편의점,544.0,False
경기도,평택시,202601,4010,편의점,편의점,869.0,False
경기도,포천시,202601,4010,편의점,편의점,278.0,False
경기도,하남시,202601,4010,편의점,편의점,268.0,False
경기도,화성시 동탄구,202601,4010,편의점,편의점,348.0,False
경기도,화성시 만세구,202601,4010,편의점,편의점,485.0,False
경기도,화성시 병점구,202601,4010,편의점,편의점,134.0,False
경기도,화성시 효행구,202601,4010,편의점,편의점,202.0,False
강원특별자치도,강릉시,202601,4010,편의점,편의점,335.0,False
강원특별자치도,고성군,202601,4010,편의점,편의점,69.0,False
강원특별자치도,동해시,202601,4010,편의점,편의점,126.0,False
강원특별자치도,삼척시,202601,4010,편의점,편의점,96.0,False
강원특별자치도,속초시,202601,4010,편의점,편의점,165.0,False
강원특별자치도,양구군,202601,4010,편의점,편의점,23.0,False
강원특별자치도,양양군,202601,4010,편의점,편의점,81.0,False
강원특별자치도,영월군,202601,4010,편의점,편의점,42.0,False
강원특별자치도,원주시,202601,4010,편의점,편의점,471.0,False
강원특별자치도,인제군,202601,4010,편의점,편의점,54.0,False
강원특별자치도,정선군,202601,4010,편의점,편의점,66.0,False
강원특별자치도,철원군,202601,4010,편의점,편의점,53.0,False
강원특별자치도,춘천시,202601,4010,편의점,편의점,354.0,False
강원특별자치도,태백시,202601,4010,편의점,편의점,56.0,False
강원특별자치도,평창군,202601,4010,편의점,편의점,80.0,False
강원특별자치도,홍천군,202601,4010,편의점,편의점,71.0,False
강원특별자치도,화천군,202601,4010,편의점,편의점,27.0,False
강원특별자치도,횡성군,202601,4010,편의점,편의점,54.0,False
대전광역시,대덕구,202601,4010,편의점,편의점,165.0,False
대전광역시,동구,202601,4010,편의점,편의점,225.0,False
대전광역시,서구,202601,4010,편의점,편의점,453.0,False
대전광역시,유성구,202601,4010,편의점,편의점,387.0,False
대전광역시,중구,202601,4010,편의점,편의점,208.0,False
충청북도,괴산군,202601,4010,편의점,편의점,30.0,False
충청북도,단양군,202601,4010,편의점,편의점,27.0,False
충청북도,보은군,202601,4010,편의점,편의점,24.0,False
충청북도,영동군,202601,4010,편의점,편의점,36.0,False
충청북도,옥천군,202601,4010,편의점,편의점,54.0,False
충청북도,음성군,202601,4010,편의점,편의점,185.0,False
충청북도,제천시,202601,4010,편의점,편의점,130.0,False
충청북도,증평군,202601,4010,편의점,편의점,52.0,False
충청북도,진천군,202601,4010,편의점,편의점,167.0,False
충청북도,청주시 상당구,202601,4010,편의점,편의점,191.0,False
충청북도,청주시 서원구,202601,4010,편의점,편의점,184.0,False
충청북도,청주시 청원구,202601,4010,편의점,편의점,257.0,False
충청북도,청주시 흥덕구,202601,4010,편의점,편의점,370.0,False
충청북도,충주시,202601,4010,편의점,편의점,260.0,False
충청남도,계룡시,202601,4010,편의점,편의점,31.0,False
충청남도,공주시,202601,4010,편의점,편의점,118.0,False
충청남도,금산군,202601,4010,편의점,편의점,42.0,False
충청남도,논산시,202601,4010,편의점,편의점,120.0,False
충청남도,당진시,202601,4010,편의점,편의점,267.0,False
충청남도,보령시,202601,4010,편의점,편의점,158.0,False
충청남도,부여군,202601,4010,편의점,편의점,55.0,False
충청남도,서산시,202601,4010,편의점,편의점,237.0,False
충청남도,서천군,202601,4010,편의점,편의점,46.0,False
충청남도,아산시,202601,4010,편의점,편의점,509.0,False
충청남도,예산군,202601,4010,편의점,편의점,103.0,False
충청남도,천안시 동남구,202601,4010,편의점,편의점,369.0,False
충청남도,천안시 서북구,202601,4010,편의점,편의점,570.0,False
충청남도,청양군,202601,4010,편의점,편의점,26.0,False
충청남도,태안군,202601,4010,편의점,편의점,125.0,False
충청남도,홍성군,202601,4010,편의점,편의점,106.0,False
광주광역시,광산구,202601,4010,편의점,편의점,382.0,False
광주광역시,남구,202601,4010,편의점,편의점,147.0,False
광주광역시,동구,202601,4010,편의점,편의점,132.0,False
광주광역시,북구,202601,4010,편의점,편의점,349.0,False
광주광역시,서구,202601,4010,편의점,편의점,274.0,False
전북특별자치도,고창군,202601,4010,편의점,편의점,51.0,False
전북특별자치도,군산시,202601,4010,편의점,편의점,265.0,False
전북특별자치도,김제시,202601,4010,편의점,편의점,79.0,False
전북특별자치도,남원시,202601,4010,편의점,편의점,55.0,False
전북특별자치도,무주군,202601,4010,편의점,편의점,33.0,False
전북특별자치도,부안군,202601,4010,편의점,편의점,61.0,False
전북특별자치도,순창군,202601,4010,편의점,편의점,13.0,False
전북특별자치도,완주군,202601,4010,편의점,편의점,94.0,False
전북특별자치도,익산시,202601,4010,편의점,편의점,226.0,False
전북특별자치도,임실군,202601,4010,편의점,편의점,20.0,False
전북특별자치도,장수군,202601,4010,편의점,편의점,17.0,False
전북특별자치도,전주시 덕진구,202601,4010,편의점,편의점,330.0,False
전북특별자치도,전주시 완산구,202601,4010,편의점,편의점,287.0,False
전북특별자치도,정읍시,202601,4010,편의점,편의점,97.0,False
전북특별자치도,진안군,202601,4010,편의점,편의점,12.0,False
전라남도,강진군,202601,4010,편의점,편의점,24.0,False
전라남도,고흥군,202601,4010,편의점,편의점,51.0,False
전라남도,곡성군,202601,4010,편의점,편의점,22.0,False
전라남도,광양시,202601,4010,편의점,편의점,151.0,False
전라남도,구례군,202601,4010,편의점,편의점,18.0,False
전라남도,나주시,202601,4010,편의점,편의점,115.0,False
전라남도,담양군,202601,4010,편의점,편의점,28.0,False
전라남도,목포시,202601,4010,편의점,편의점,222.0,False
전라남도,무안군,202601,4010,편의점,편의점,87.0,False
전라남도,보성군,202601,4010,편의점,편의점,25.0,False
전라남도,순천시,202601,4010,편의점,편의점,244.0,False
전라남도,신안군,202601,4010,편의점,편의점,18.0,False
전라남도,여수시,202601,4010,편의점,편의점,344.0,False
전라남도,영광군,202601,4010,편의점,편의점,40.0,False
전라남도,영암군,202601,4010,편의점,편의점,58.0,False
전라남도,완도군,202601,4010,편의점,편의점,48.0,False
전라남도,장성군,202601,4010,편의점,편의점,27.0,False
전라남도,장흥군,202601,4010,편의점,편의점,27.0,False
전라남도,진도군,202601,4010,편의점,편의점,23.0,False
전라남도,함평군,202601,4010,편의점,편의점,13.0,False
전라남도,해남군,202601,4010,편의점,편의점,67.0,False
전라남도,화순군,202601,4010,편의점,편의점,35.0,False
대구광역시,군위군,202601,4010,편의점,편의점,16.0,False
대구광역시,남구,202601,4010,편의점,편의점,150.0,False
대구광역시,달서구,202601,4010,편의점,편의점,456.0,False
대구광역시,달성군,202601,4010,편의점,편의점,240.0,False
대구광역시,동구,202601,4010,편의점,편의점,274.0,False
대구광역시,북구,202601,4010,편의점,편의점,355.0,False
대구광역시,서구,202601,4010,편의점,편의점,147.0,False
대구광역시,수성구,202601,4010,편의점,편의점,303.0,False
대구광역시,중구,202601,4010,편의점,편의점,153.0,False
경상북도,경산시,202601,4010,편의점,편의점,316.0,False
경상북도,경주시,202601,4010,편의점,편의점,325.0,False
경상북도,고령군,202601,4010,편의점,편의점,34.0,False
경상북도,구미시,202601,4010,편의점,편의점,468.0,False
경상북도,김천시,202601,4010,편의점,편의점,127.0,False
경상북도,문경시,202601,4010,편의점,편의점,64.0,False
경상북도,봉화군,202601,4010,편의점,편의점,12.0,False
경상북도,상주시,202601,4010,편의점,편의점,64.0,False
경상북도,성주군,202601,4010,편의점,편의점,40.0,False
경상북도,안동시,202601,4010,편의점,편의점,138.0,False
경상북도,영덕군,202601,4010,편의점,편의점,39.0,False
경상북도,영양군,202601,4010,편의점,편의점,,True
경상북도,영주시,202601,4010,편의점,편의점,81.0,False
경상북도,영천시,202601,4010,편의점,편의점,94.0,False
경상북도,예천군,202601,4010,편의점,편의점,29.0,False
경상북도,울릉군,202601,4010,편의점,편의점,12.0,False
경상북도,울진군,202601,4010,편의점,편의점,52.0,False
경상북도,의성군,202601,4010,편의점,편의점,27.0,False
경상북도,청도군,202601,4010,편의점,편의점,29.0,False
경상북도,청송군,202601,4010,편의점,편의점,16.0,False
경상북도,칠곡군,202601,4010,편의점,편의점,147.0,False
