BC업종,SEMAS소분류코드,SEMAS소분류명,매핑신뢰도,API관측업종명,전국점포수,시도코드,시도,시군구코드,시군구,점포수
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41550,안성시,334
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11680,강남구,803
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51210,속초시,184
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43770,음성군,193
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11560,영등포구,502
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44270,당진시,278
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48123,창원시 성산구,245
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41390,시흥시,617
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11140,중구,363
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11500,강서구,529
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11440,마포구,511
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47290,경산시,310
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48129,창원시 진해구,196
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28237,부평구,426
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11170,용산구,265
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48127,창원시 마산회원구,151
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11590,동작구,300
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44150,공주시,124
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12210,동구,134
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28290,검단구,179
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11110,종로구,286
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47190,구미시,475
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48250,김해시,574
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47111,포항시 남구,240
편의점,G20405,편의점,HIGH,편의점,54446,30,대전광역시,30110,동구,232
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41650,포천시,298
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41463,용인시 기흥구,338
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44131,천안시 동남구,370
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51150,강릉시,377
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11620,관악구,406
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11230,동대문구,348
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41465,용인시 수지구,232
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11410,서대문구,299
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41220,평택시,924
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41196,부천시 오정구,136
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48121,창원시 의창구,199
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11260,중랑구,335
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41480,파주시,572
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11710,송파구,583
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48310,거제시,303
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43150,제천시,147
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12190,광양시,139
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27110,중구,161
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11530,구로구,337
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27290,달서구,440
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41310,구리시,187
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11545,금천구,294
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11215,광진구,373
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41285,고양시 일산동구,316
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11200,성동구,285
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43113,청주시 흥덕구,366
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41192,부천시 원미구,369
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11470,양천구,273
편의점,G20405,편의점,HIGH,편의점,54446,31,울산광역시,31140,남구,387
편의점,G20405,편의점,HIGH,편의점,54446,31,울산광역시,31200,북구,177
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41800,연천군,67
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26170,동구,97
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11350,노원구,316
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41271,안산시 상록구,373
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41115,수원시 팔달구,274
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41500,이천시,374
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41670,여주시,194
