SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,amt,cnt,supply_count,external_source,source_scope,amt_per_supply_proxy,cnt_per_supply_proxy
강원특별자치도,강릉시,202601,4010,편의점,1800300000,188267,335.0,국세청,가동사업자,5374029.850746268,561.9910447761195
강원특별자치도,강릉시,202601,4020,슈퍼마켓,1808620000,55199,120.0,국세청,가동사업자,15071833.333333334,459.9916666666667
강원특별자치도,강릉시,202601,8005,중국음식,323210000,10835,158.0,LOCALDATA,식품인허가 영업점,2045632.9113924052,68.57594936708861
강원특별자치도,강릉시,202601,8301,제과점,366630000,23284,143.0,LOCALDATA,식품인허가 영업점,2563846.153846154,162.82517482517483
강원특별자치도,강릉시,202602,4010,편의점,1705250000,177617,334.0,국세청,가동사업자,5105538.9221556885,531.7874251497007
강원특별자치도,강릉시,202602,4020,슈퍼마켓,1797810000,52475,122.0,국세청,가동사업자,14736147.540983606,430.12295081967216
강원특별자치도,강릉시,202602,8005,중국음식,308600000,10199,157.0,LOCALDATA,식품인허가 영업점,1965605.0955414013,64.96178343949045
강원특별자치도,강릉시,202602,8301,제과점,454610000,23427,143.0,LOCALDATA,식품인허가 영업점,3179090.909090909,163.82517482517483
강원특별자치도,강릉시,202603,4010,편의점,1748200000,190282,332.0,국세청,가동사업자,5265662.65060241,573.1385542168674
강원특별자치도,강릉시,202603,4020,슈퍼마켓,1682180000,55067,121.0,국세청,가동사업자,13902314.049586777,455.099173553719
강원특별자치도,강릉시,202603,8005,중국음식,307840000,11210,156.0,LOCALDATA,식품인허가 영업점,1973333.3333333333,71.85897435897436
강원특별자치도,강릉시,202603,8301,제과점,304200000,20700,145.0,LOCALDATA,식품인허가 영업점,2097931.0344827585,142.75862068965517
강원특별자치도,강릉시,202604,4010,편의점,1786690000,204118,330.0,국세청,가동사업자,5414212.121212121,618.5393939393939
강원특별자치도,강릉시,202604,4020,슈퍼마켓,1685200000,55077,121.0,국세청,가동사업자,13927272.727272727,455.1818181818182
강원특별자치도,강릉시,202604,8005,중국음식,284120000,10661,155.0,LOCALDATA,식품인허가 영업점,1833032.2580645161,68.78064516129032
강원특별자치도,강릉시,202604,8301,제과점,327560000,22203,146.0,LOCALDATA,식품인허가 영업점,2243561.6438356163,152.07534246575344
강원특별자치도,강릉시,202605,4010,편의점,2085120000,231649,330.0,국세청,가동사업자,6318545.454545454,701.9666666666667
강원특별자치도,강릉시,202605,4020,슈퍼마켓,1850120000,59344,120.0,국세청,가동사업자,15417666.666666666,494.53333333333336
강원특별자치도,강릉시,202605,8005,중국음식,323030000,11530,155.0,LOCALDATA,식품인허가 영업점,2084064.5161290322,74.38709677419355
강원특별자치도,강릉시,202605,8301,제과점,365900000,25052,146.0,LOCALDATA,식품인허가 영업점,2506164.383561644,171.58904109589042
강원특별자치도,강릉시,202606,4010,편의점,2000210000,222119,332.0,국세청,가동사업자,6024728.915662651,669.0331325301205
강원특별자치도,강릉시,202606,4020,슈퍼마켓,1733320000,55521,120.0,국세청,가동사업자,14444333.333333334,462.675
강원특별자치도,강릉시,202606,8005,중국음식,283690000,10054,155.0,LOCALDATA,식품인허가 영업점,1830258.064516129,64.86451612903225
강원특별자치도,강릉시,202606,8301,제과점,294100000,21043,147.0,LOCALDATA,식품인허가 영업점,2000680.2721088436,143.14965986394557
강원특별자치도,고성군,202601,4010,편의점,287890000,29600,69.0,국세청,가동사업자,4172318.84057971,428.9855072463768
강원특별자치도,고성군,202601,4020,슈퍼마켓,17000000,1302,22.0,국세청,가동사업자,772727.2727272727,59.18181818181818
강원특별자치도,고성군,202601,8005,중국음식,37280000,1255,26.0,LOCALDATA,식품인허가 영업점,1433846.1538461538,48.26923076923077
강원특별자치도,고성군,202601,8301,제과점,22170000,1438,16.0,LOCALDATA,식품인허가 영업점,1385625.0,89.875
강원특별자치도,고성군,202602,4010,편의점,286320000,28085,71.0,국세청,가동사업자,4032676.056338028,395.5633802816901
