source,management_id,business_name,open_date_raw,close_date_raw,state,detail_state,issue
LOCALDATA 일반음식점,3240000-101-2023-00443,갈비앤냉면끝판왕,2023-11-01,2026-09-27,폐업,폐업,FUTURE_DATE
LOCALDATA 일반음식점,3240000-101-2023-00444,풍년솥뚜껑,2023-11-01,2026-09-27,폐업,폐업,FUTURE_DATE
LOCALDATA 일반음식점,3240000-101-2023-00442,삼겹앤제육끝판왕,2023-11-01,2026-09-27,폐업,폐업,FUTURE_DATE
LOCALDATA 일반음식점,4100100-101-2001-00315,토크쇼,20010229,2006-02-03,폐업,폐업,OPEN_PARSE_FAIL
LOCALDATA 일반음식점,5080000-101-2002-00072,명품야식,20020229,,영업/정상,영업,OPEN_PARSE_FAIL
LOCALDATA 일반음식점,5110000-101-2001-01414,새삼미식당,19950229,2012-06-11,폐업,폐업,OPEN_PARSE_FAIL
LOCALDATA 일반음식점,5150000-101-2001-00350,탑리닭백화점,19970229,2012-04-26,폐업,폐업,OPEN_PARSE_FAIL
LOCALDATA 안전상비의약품판매업소,PHMH320225530439087500004,GS25 남양 아이파크점,2022-03-07,2026-09-12,폐업,폐업,FUTURE_DATE
LOCALDATA 담배소매업,1996393000005600025,지현슈퍼,19950229,2001-11-16,폐업,폐업처리,OPEN_PARSE_FAIL
LOCALDATA 담배소매업,2000393000005600047,남부슈퍼,19990229,2013-03-29,폐업,폐업처리,OPEN_PARSE_FAIL
LOCALDATA 담배소매업,1995440001505606666,중원공업구내매점,19950229,2002-03-14,폐업,폐업처리,OPEN_PARSE_FAIL
LOCALDATA 담배소매업,2000361001205603038,문방구,19850229,2003-01-06,폐업,폐업처리,OPEN_PARSE_FAIL
