source,key,field_present,duplicated_key_count,excess_duplicate_rows,action
LOCALDATA 일반음식점,관리번호,True,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 일반음식점,인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 일반음식점,사업장명+주소,True,25171,29627,보고만 하고 자동 dedup하지 않음
LOCALDATA 일반음식점,사업장명+좌표,True,50981,61086,보고만 하고 자동 dedup하지 않음
LOCALDATA 휴게음식점,관리번호,True,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 휴게음식점,인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 휴게음식점,사업장명+주소,True,10752,17857,보고만 하고 자동 dedup하지 않음
LOCALDATA 휴게음식점,사업장명+좌표,True,19949,34136,보고만 하고 자동 dedup하지 않음
LOCALDATA 제과점영업,관리번호,True,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 제과점영업,인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 제과점영업,사업장명+주소,True,907,1362,보고만 하고 자동 dedup하지 않음
LOCALDATA 제과점영업,사업장명+좌표,True,1938,2850,보고만 하고 자동 dedup하지 않음
LOCALDATA 대규모·준대규모점포,관리번호,True,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 대규모·준대규모점포,인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 대규모·준대규모점포,사업장명+주소,True,119,135,보고만 하고 자동 dedup하지 않음
LOCALDATA 대규모·준대규모점포,사업장명+좌표,True,169,190,보고만 하고 자동 dedup하지 않음
LOCALDATA 식품판매업(기타),관리번호,True,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 식품판매업(기타),인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 식품판매업(기타),사업장명+주소,True,84,85,보고만 하고 자동 dedup하지 않음
LOCALDATA 식품판매업(기타),사업장명+좌표,True,214,221,보고만 하고 자동 dedup하지 않음
LOCALDATA 안전상비의약품판매업소,관리번호,True,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 안전상비의약품판매업소,인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 안전상비의약품판매업소,사업장명+주소,True,4235,4705,보고만 하고 자동 dedup하지 않음
LOCALDATA 안전상비의약품판매업소,사업장명+좌표,True,8016,9624,보고만 하고 자동 dedup하지 않음
LOCALDATA 담배소매업,관리번호,True,1,1,보고만 하고 자동 dedup하지 않음
LOCALDATA 담배소매업,인허가번호,False,0,0,보고만 하고 자동 dedup하지 않음
LOCALDATA 담배소매업,사업장명+주소,True,40242,51916,보고만 하고 자동 dedup하지 않음
LOCALDATA 담배소매업,사업장명+좌표,True,58069,79496,보고만 하고 자동 dedup하지 않음
