source,STRD_YYMM,closure_count
LOCALDATA 담배소매업,202601,827
LOCALDATA 담배소매업,202602,738
LOCALDATA 담배소매업,202603,1008
LOCALDATA 담배소매업,202604,839
LOCALDATA 담배소매업,202605,680
LOCALDATA 담배소매업,202606,986
LOCALDATA 대규모·준대규모점포,202601,5
LOCALDATA 대규모·준대규모점포,202602,5
LOCALDATA 대규모·준대규모점포,202603,3
LOCALDATA 대규모·준대규모점포,202604,5
LOCALDATA 대규모·준대규모점포,202605,3
LOCALDATA 대규모·준대규모점포,202606,1
LOCALDATA 식품판매업(기타),202601,35
LOCALDATA 식품판매업(기타),202602,35
LOCALDATA 식품판매업(기타),202603,24
LOCALDATA 식품판매업(기타),202604,37
LOCALDATA 식품판매업(기타),202605,32
LOCALDATA 식품판매업(기타),202606,20
LOCALDATA 안전상비의약품판매업소,202601,230
LOCALDATA 안전상비의약품판매업소,202602,172
LOCALDATA 안전상비의약품판매업소,202603,228
LOCALDATA 안전상비의약품판매업소,202604,268
LOCALDATA 안전상비의약품판매업소,202605,215
LOCALDATA 안전상비의약품판매업소,202606,280
LOCALDATA 일반음식점,202601,5385
LOCALDATA 일반음식점,202602,4103
LOCALDATA 일반음식점,202603,5745
LOCALDATA 일반음식점,202604,6162
LOCALDATA 일반음식점,202605,5366
LOCALDATA 일반음식점,202606,6613
LOCALDATA 제과점영업,202601,231
LOCALDATA 제과점영업,202602,211
LOCALDATA 제과점영업,202603,308
LOCALDATA 제과점영업,202604,317
LOCALDATA 제과점영업,202605,328
LOCALDATA 제과점영업,202606,290
LOCALDATA 휴게음식점,202601,2421
LOCALDATA 휴게음식점,202602,1914
LOCALDATA 휴게음식점,202603,2792
LOCALDATA 휴게음식점,202604,3012
LOCALDATA 휴게음식점,202605,2684
LOCALDATA 휴게음식점,202606,2801
