source,external_subtype,closure_count
LOCALDATA 담배소매업,<NA>,5078
LOCALDATA 대규모·준대규모점포,구분없음,6
LOCALDATA 대규모·준대규모점포,그 밖의 대규모점포,6
LOCALDATA 대규모·준대규모점포,대형마트,1
LOCALDATA 대규모·준대규모점포,백화점,1
LOCALDATA 대규모·준대규모점포,복합쇼핑몰,2
LOCALDATA 대규모·준대규모점포,쇼핑센터,1
LOCALDATA 대규모·준대규모점포,시장,4
LOCALDATA 대규모·준대규모점포,전문점,1
LOCALDATA 식품판매업(기타),기타식품판매업,183
LOCALDATA 안전상비의약품판매업소,<NA>,1393
LOCALDATA 일반음식점,<NA>,3
LOCALDATA 일반음식점,감성주점,79
LOCALDATA 일반음식점,경양식,1696
LOCALDATA 일반음식점,기타,8724
LOCALDATA 일반음식점,김밥(도시락),176
LOCALDATA 일반음식점,까페,166
LOCALDATA 일반음식점,냉면집,54
LOCALDATA 일반음식점,라이브카페,41
LOCALDATA 일반음식점,복어취급,16
LOCALDATA 일반음식점,분식,1773
LOCALDATA 일반음식점,뷔페식,119
LOCALDATA 일반음식점,식육(숯불구이),1300
LOCALDATA 일반음식점,"외국음식전문점(인도,태국등)",431
LOCALDATA 일반음식점,이동조리,1
LOCALDATA 일반음식점,일식,1037
LOCALDATA 일반음식점,정종/대포집/소주방,593
LOCALDATA 일반음식점,중국식,988
LOCALDATA 일반음식점,출장조리,18
LOCALDATA 일반음식점,키즈카페,18
LOCALDATA 일반음식점,탕류(보신용),111
LOCALDATA 일반음식점,통닭(치킨),268
LOCALDATA 일반음식점,패밀리레스트랑,44
LOCALDATA 일반음식점,패스트푸드,60
LOCALDATA 일반음식점,푸드트럭,10
LOCALDATA 일반음식점,한식,12644
LOCALDATA 일반음식점,호프/통닭,2613
LOCALDATA 일반음식점,횟집,391
LOCALDATA 제과점영업,제과점영업,1685
LOCALDATA 휴게음식점,고속도로,16
LOCALDATA 휴게음식점,과자점,19
LOCALDATA 휴게음식점,관광호텔,1
LOCALDATA 휴게음식점,극장,10
LOCALDATA 휴게음식점,기타 휴게음식점,5960
LOCALDATA 휴게음식점,다방,309
LOCALDATA 휴게음식점,떡카페,100
LOCALDATA 휴게음식점,백화점,820
LOCALDATA 휴게음식점,아이스크림,135
LOCALDATA 휴게음식점,유원지,11
LOCALDATA 휴게음식점,일반조리판매,2186
LOCALDATA 휴게음식점,전통찻집,40
LOCALDATA 휴게음식점,철도역구내,7
LOCALDATA 휴게음식점,커피숍,4307
LOCALDATA 휴게음식점,키즈카페,40
LOCALDATA 휴게음식점,패스트푸드,338
LOCALDATA 휴게음식점,편의점,1119
LOCALDATA 휴게음식점,푸드트럭,206
