"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상"
"서울특별시  (1100000000)","9,299,701","9,299,701","459,382","717,738","1,249,445","1,463,641","1,363,204","1,469,734","1,317,268","833,117","368,738","56,001","1,433","9,304,129","9,304,129","458,247","719,748","1,247,112","1,461,351","1,364,041","1,470,032","1,318,104","837,711","369,688","56,640","1,455","9,304,400","9,304,400","456,732","720,532","1,244,285","1,465,489","1,359,551","1,465,982","1,318,774","843,052","371,068","57,476","1,459","9,298,673","9,298,673","455,648","719,027","1,239,522","1,467,418","1,357,334","1,464,286","1,318,622","845,655","371,689","58,015","1,457","9,295,082","9,295,082","454,209","717,591","1,235,814","1,469,331","1,355,855","1,462,755","1,318,017","848,552","373,053","58,443","1,462","9,289,813","9,289,813","453,265","716,175","1,232,287","1,469,771","1,355,706","1,461,205","1,316,536","850,440","374,484","58,475","1,469"
"서울특별시 종로구 (1111000000)","136,798","136,798","5,056","9,143","20,071","19,836","18,147","22,783","20,990","12,652","6,864","1,222","34","136,764","136,764","5,041","9,182","20,095","19,786","18,091","22,774","20,979","12,680","6,864","1,237","35","136,817","136,817","5,017","9,216","20,062","19,922","18,041","22,678","20,978","12,762","6,857","1,249","35","136,716","136,716","5,013","9,186","20,011","19,921","18,033","22,594","21,009","12,787","6,868","1,260","34","136,518","136,518","4,996","9,127","19,942","19,932","17,988","22,532","20,994","12,814","6,891","1,263","39","136,318","136,318","4,973","9,062","19,870","19,983","17,996","22,468","20,923","12,831","6,896","1,276","40"
"서울특별시 중구 (1114000000)","117,718","117,718","4,939","5,763","15,651","21,257","16,064","17,797","17,878","11,513","5,820","1,015","21","117,625","117,625","4,854","5,861","15,575","21,165","16,084","17,779","17,858","11,578","5,835","1,014","22","117,762","117,762","4,852","5,881","15,589","21,219","16,104","17,746","17,847","11,632","5,837","1,033","22","117,760","117,760","4,846","5,844","15,534","21,258","16,116","17,756","17,822","11,697","5,822","1,043","22","117,765","117,765","4,830","5,850","15,491","21,274","16,127","17,747","17,798","11,729","5,847","1,047","25","117,558","117,558","4,828","5,841","15,371","21,242","16,146","17,699","17,760","11,764","5,842","1,039","26"
"서울특별시 용산구 (1117000000)","201,746","201,746","9,818","12,684","26,339","37,230","29,073","31,847","28,201","16,276","8,629","1,597","52","201,494","201,494","9,786","12,702","26,201","37,095","29,072","31,831","28,154","16,390","8,597","1,613","53","200,962","200,962","9,780","12,682","26,001","37,073","28,939","31,671","28,146","16,406","8,584","1,627","53","200,187","200,187","9,754","12,658","25,809","37,005","28,857","31,536","27,994","16,350","8,522","1,644","58","199,810","199,810","9,717","12,607","25,671","36,975","28,840","31,475","27,932","16,391","8,494","1,649","59","199,648","199,648","9,737","12,569","25,587","36,964","28,896","31,407","27,848","16,424","8,493","1,665","58"
"서울특별시 성동구 (1120000000)","274,695","274,695","15,651","17,131","37,644","48,439","39,575","42,769","38,520","22,448","10,897","1,591","30","274,854","274,854","15,592","17,242","37,653","48,267","39,608","42,822","38,505","22,606","10,917","1,611","31","275,093","275,093","15,646","17,333","37,645","48,387","39,518","42,734","38,524","22,709","10,916","1,650","31","274,917","274,917","15,631","17,309","37,546","48,384","39,477","42,728","38,508","22,737","10,910","1,658","29","274,694","274,694","15,640","17,242","37,362","48,358","39,477","42,656","38,561","22,754","10,955","1,658","31","274,517","274,517","15,629","17,187","37,232","48,379","39,523","42,576","38,525","22,814","10,969","1,652","31"
"서울특별시 광진구 (1121500000)","330,933","330,933","13,446","22,815","54,622","56,792","45,960","51,138","45,773","26,769","11,773","1,800","45","331,095","331,095","13,416","22,854","54,624","56,682","45,982","51,100","45,854","26,863","11,839","1,834","47","331,123","331,123","13,379","22,967","54,538","56,800","45,857","50,875","45,898","27,024","11,883","1,858","44","331,029","331,029","13,339","22,920","54,349","56,926","45,871","50,720","45,938","27,153","11,891","1,877","45","331,136","331,136","13,317","22,871","54,339","57,020","45,812","50,693","45,957","27,265","11,941","1,874","47","330,905","330,905","13,265","22,805","54,203","57,074","45,786","50,606","45,917","27,345","11,979","1,881","44"
"서울특별시 동대문구 (1123000000)","348,620","348,620","17,752","22,771","55,094","54,791","48,081","52,663","48,814","31,354","15,119","2,130","51","350,393","350,393","17,776","23,267","55,434","55,028","48,207","52,859","48,909","31,537","15,152","2,172","52","351,542","351,542","17,782","23,502","55,656","55,434","48,216","52,756","48,959","31,741","15,249","2,194","53","351,656","351,656","17,796","23,432","55,527","55,627","48,250","52,672","48,980","31,849","15,260","2,211","52","352,299","352,299","17,847","23,376","55,573","55,964","48,321","52,683","48,945","31,999","15,307","2,232","52","352,848","352,848","17,944","23,309","55,543","56,239","48,440","52,717","48,934","32,084","15,350","2,236","52"
"서울특별시 중랑구 (1126000000)","376,920","376,920","16,553","23,097","44,865","58,787","50,689","61,729","64,200","38,260","16,389","2,291","60","376,884","376,884","16,390","23,122","44,832","58,737","50,587","61,636","64,299","38,490","16,417","2,314","60","376,665","376,665","16,292","23,076","44,575","58,935","50,424","61,275","64,428","38,741","16,508","2,348","63","376,570","376,570","16,266","22,983","44,348","59,098","50,362","61,139","64,451","38,924","16,565","2,373","61","376,463","376,463","16,233","22,936","44,178","59,235","50,321","60,932","64,448","39,108","16,634","2,377","61","376,386","376,386","16,206","22,878","44,093","59,263","50,346","60,798","64,419","39,215","16,724","2,384","60"
"서울특별시 성북구 (1129000000)","422,146","422,146","21,357","33,746","62,354","56,864","59,627","70,765","58,609","37,400","18,566","2,792","66","422,542","422,542","21,236","34,185","62,357","56,734","59,496","70,822","58,667","37,564","18,586","2,826","69","422,778","422,778","21,184","34,373","62,353","56,908","59,273","70,639","58,635","37,792","18,674","2,880","67","422,452","422,452","21,169","34,252","62,224","56,970","59,173","70,503","58,633","37,872","18,689","2,899","68","422,190","422,190","21,103","34,115","62,131","57,100","59,101","70,356","58,570","37,992","18,745","2,906","71","421,762","421,762","21,005","33,985","61,979","57,119","59,091","70,249","58,528","37,999","18,824","2,910","73"
"서울특별시 강북구 (1130500000)","278,750","278,750","9,536","17,801","34,030","34,325","36,131","48,619","47,647","32,470","16,097","2,053","41","278,786","278,786","9,500","17,872","33,911","34,264","36,075","48,625","47,673","32,605","16,130","2,087","44","278,786","278,786","9,439","17,899","33,835","34,334","35,953","48,461","47,761","32,758","16,178","2,123","45","278,520","278,520","9,391","17,835","33,732","34,323","35,819","48,392","47,776","32,837","16,205","2,165","45","278,294","278,294","9,384","17,756","33,641","34,338","35,854","48,198","47,758","32,870","16,258","2,192","45","278,041","278,041","9,363","17,658","33,563","34,348","35,804","48,147","47,719","32,888","16,304","2,202","45"
