SIDO_NM,CCG_NM,TP_BUZ_NM,STRD_YYMM,active_start,openings,closures,active_end,net_change,closure_rate,churn_rate
강원특별자치도,강릉시,제과점,201901,121,1,0,122,1,0.0,0.008264462809917356
강원특별자치도,강릉시,제과점,201902,122,1,1,122,0,0.00819672131147541,0.01639344262295082
강원특별자치도,강릉시,제과점,201903,122,2,2,122,0,0.01639344262295082,0.03278688524590164
강원특별자치도,강릉시,제과점,201904,122,1,2,121,-1,0.01639344262295082,0.02459016393442623
강원특별자치도,강릉시,제과점,201905,121,3,0,124,3,0.0,0.024793388429752067
강원특별자치도,강릉시,제과점,201906,124,3,2,125,1,0.016129032258064516,0.04032258064516129
강원특별자치도,강릉시,제과점,201907,125,2,3,124,-1,0.024,0.04
강원특별자치도,강릉시,제과점,201908,124,1,1,124,0,0.008064516129032258,0.016129032258064516
강원특별자치도,강릉시,제과점,201909,124,2,0,126,2,0.0,0.016129032258064516
강원특별자치도,강릉시,제과점,201910,126,7,1,132,6,0.007936507936507936,0.06349206349206349
강원특별자치도,강릉시,제과점,201911,132,1,2,131,-1,0.015151515151515152,0.022727272727272728
강원특별자치도,강릉시,제과점,201912,131,0,1,130,-1,0.007633587786259542,0.007633587786259542
강원특별자치도,강릉시,제과점,202001,130,0,2,128,-2,0.015384615384615385,0.015384615384615385
강원특별자치도,강릉시,제과점,202002,128,6,1,133,5,0.0078125,0.0546875
강원특별자치도,강릉시,제과점,202003,133,1,0,134,1,0.0,0.007518796992481203
강원특별자치도,강릉시,제과점,202004,134,2,0,136,2,0.0,0.014925373134328358
강원특별자치도,강릉시,제과점,202005,136,2,3,135,-1,0.022058823529411766,0.03676470588235294
강원특별자치도,강릉시,제과점,202006,135,2,1,136,1,0.007407407407407408,0.022222222222222223
강원특별자치도,강릉시,제과점,202007,136,1,3,134,-2,0.022058823529411766,0.029411764705882353
강원특별자치도,강릉시,제과점,202008,134,0,2,132,-2,0.014925373134328358,0.014925373134328358
강원특별자치도,강릉시,제과점,202009,132,3,1,134,2,0.007575757575757576,0.030303030303030304
강원특별자치도,강릉시,제과점,202010,134,1,0,135,1,0.0,0.007462686567164179
강원특별자치도,강릉시,제과점,202011,135,3,2,136,1,0.014814814814814815,0.037037037037037035
강원특별자치도,강릉시,제과점,202012,136,0,2,134,-2,0.014705882352941176,0.014705882352941176
강원특별자치도,강릉시,제과점,202101,134,0,1,133,-1,0.007462686567164179,0.007462686567164179
강원특별자치도,강릉시,제과점,202102,133,2,0,135,2,0.0,0.015037593984962405
강원특별자치도,강릉시,제과점,202103,135,2,0,137,2,0.0,0.014814814814814815
강원특별자치도,강릉시,제과점,202104,137,1,0,138,1,0.0,0.0072992700729927005
강원특별자치도,강릉시,제과점,202105,138,2,1,139,1,0.007246376811594203,0.021739130434782608
강원특별자치도,강릉시,제과점,202106,139,2,1,140,1,0.007194244604316547,0.02158273381294964
강원특별자치도,강릉시,제과점,202107,140,2,0,142,2,0.0,0.014285714285714285
강원특별자치도,강릉시,제과점,202108,142,1,0,143,1,0.0,0.007042253521126761
강원특별자치도,강릉시,제과점,202109,143,4,0,147,4,0.0,0.027972027972027972
강원특별자치도,강릉시,제과점,202110,147,3,2,148,1,0.013605442176870748,0.034013605442176874
강원특별자치도,강릉시,제과점,202111,148,0,4,144,-4,0.02702702702702703,0.02702702702702703
강원특별자치도,강릉시,제과점,202112,144,1,4,141,-3,0.027777777777777776,0.034722222222222224
강원특별자치도,강릉시,제과점,202201,141,0,0,141,0,0.0,0.0
강원특별자치도,강릉시,제과점,202202,141,1,1,141,0,0.0070921985815602835,0.014184397163120567
강원특별자치도,강릉시,제과점,202203,141,2,0,143,2,0.0,0.014184397163120567
강원특별자치도,강릉시,제과점,202204,143,3,2,144,1,0.013986013986013986,0.03496503496503497
강원특별자치도,강릉시,제과점,202205,144,1,1,144,0,0.006944444444444444,0.013888888888888888
강원특별자치도,강릉시,제과점,202206,144,3,1,146,2,0.006944444444444444,0.027777777777777776
강원특별자치도,강릉시,제과점,202207,146,1,1,146,0,0.00684931506849315,0.0136986301369863
강원특별자치도,강릉시,제과점,202208,146,2,2,146,0,0.0136986301369863,0.0273972602739726
강원특별자치도,강릉시,제과점,202209,146,0,1,145,-1,0.00684931506849315,0.00684931506849315
강원특별자치도,강릉시,제과점,202210,145,1,1,145,0,0.006896551724137931,0.013793103448275862
강원특별자치도,강릉시,제과점,202211,145,4,4,145,0,0.027586206896551724,0.05517241379310345
강원특별자치도,강릉시,제과점,202212,145,2,2,145,0,0.013793103448275862,0.027586206896551724
강원특별자치도,강릉시,제과점,202301,145,3,1,147,2,0.006896551724137931,0.027586206896551724
강원특별자치도,강릉시,제과점,202302,147,2,2,147,0,0.013605442176870748,0.027210884353741496
강원특별자치도,강릉시,제과점,202303,147,0,0,147,0,0.0,0.0
강원특별자치도,강릉시,제과점,202304,147,1,0,148,1,0.0,0.006802721088435374
강원특별자치도,강릉시,제과점,202305,148,7,4,151,3,0.02702702702702703,0.07432432432432433
강원특별자치도,강릉시,제과점,202306,151,0,0,151,0,0.0,0.0
강원특별자치도,강릉시,제과점,202307,151,1,0,152,1,0.0,0.006622516556291391
강원특별자치도,강릉시,제과점,202308,152,0,2,150,-2,0.013157894736842105,0.013157894736842105
강원특별자치도,강릉시,제과점,202309,150,0,1,149,-1,0.006666666666666667,0.006666666666666667
강원특별자치도,강릉시,제과점,202310,149,7,6,150,1,0.040268456375838924,0.087248322147651
강원특별자치도,강릉시,제과점,202311,150,1,4,147,-3,0.02666666666666667,0.03333333333333333
강원특별자치도,강릉시,제과점,202312,147,1,2,146,-1,0.013605442176870748,0.02040816326530612
강원특별자치도,강릉시,제과점,202401,146,2,1,147,1,0.00684931506849315,0.02054794520547945
강원특별자치도,강릉시,제과점,202402,147,0,1,146,-1,0.006802721088435374,0.006802721088435374
강원특별자치도,강릉시,제과점,202403,146,0,0,146,0,0.0,0.0
강원특별자치도,강릉시,제과점,202404,146,5,0,151,5,0.0,0.03424657534246575
강원특별자치도,강릉시,제과점,202405,151,4,2,153,2,0.013245033112582781,0.039735099337748346
강원특별자치도,강릉시,제과점,202406,153,1,4,150,-3,0.026143790849673203,0.032679738562091505
강원특별자치도,강릉시,제과점,202407,150,3,2,151,1,0.013333333333333334,0.03333333333333333
강원특별자치도,강릉시,제과점,202408,151,2,3,150,-1,0.019867549668874173,0.033112582781456956
강원특별자치도,강릉시,제과점,202409,150,2,2,150,0,0.013333333333333334,0.02666666666666667
강원특별자치도,강릉시,제과점,202410,150,5,4,151,1,0.02666666666666667,0.06
강원특별자치도,강릉시,제과점,202411,151,2,8,145,-6,0.052980132450331126,0.06622516556291391
강원특별자치도,강릉시,제과점,202412,145,4,9,140,-5,0.06206896551724138,0.0896551724137931
강원특별자치도,강릉시,제과점,202501,140,1,1,140,0,0.007142857142857143,0.014285714285714285
강원특별자치도,강릉시,제과점,202502,140,2,1,141,1,0.007142857142857143,0.02142857142857143
강원특별자치도,강릉시,제과점,202503,141,0,1,140,-1,0.0070921985815602835,0.0070921985815602835
강원특별자치도,강릉시,제과점,202504,140,4,1,143,3,0.007142857142857143,0.03571428571428571
강원특별자치도,강릉시,제과점,202505,143,3,0,146,3,0.0,0.02097902097902098
강원특별자치도,강릉시,제과점,202506,146,1,1,146,0,0.00684931506849315,0.0136986301369863
강원특별자치도,강릉시,제과점,202507,146,2,1,147,1,0.00684931506849315,0.02054794520547945
강원특별자치도,강릉시,제과점,202508,147,1,1,147,0,0.006802721088435374,0.013605442176870748
강원특별자치도,강릉시,제과점,202509,147,0,2,145,-2,0.013605442176870748,0.013605442176870748
강원특별자치도,강릉시,제과점,202510,145,7,1,151,6,0.006896551724137931,0.05517241379310345
강원특별자치도,강릉시,제과점,202511,151,11,18,144,-7,0.11920529801324503,0.19205298013245034
강원특별자치도,강릉시,제과점,202512,144,1,3,142,-2,0.020833333333333332,0.027777777777777776
강원특별자치도,강릉시,제과점,202601,142,1,0,143,1,0.0,0.007042253521126761
강원특별자치도,강릉시,제과점,202602,143,0,0,143,0,0.0,0.0
강원특별자치도,강릉시,제과점,202603,143,3,1,145,2,0.006993006993006993,0.027972027972027972
강원특별자치도,강릉시,제과점,202604,145,3,2,146,1,0.013793103448275862,0.034482758620689655
강원특별자치도,강릉시,제과점,202605,146,11,11,146,0,0.07534246575342465,0.1506849315068493
강원특별자치도,강릉시,제과점,202606,146,3,2,147,1,0.0136986301369863,0.03424657534246575
강원특별자치도,강릉시,중국음식,201901,151,0,0,151,0,0.0,0.0
강원특별자치도,강릉시,중국음식,201902,151,1,0,152,1,0.0,0.006622516556291391
강원특별자치도,강릉시,중국음식,201903,152,1,0,153,1,0.0,0.006578947368421052
강원특별자치도,강릉시,중국음식,201904,153,0,1,152,-1,0.006535947712418301,0.006535947712418301
강원특별자치도,강릉시,중국음식,201905,152,3,3,152,0,0.019736842105263157,0.039473684210526314
강원특별자치도,강릉시,중국음식,201906,152,1,0,153,1,0.0,0.006578947368421052
강원특별자치도,강릉시,중국음식,201907,153,1,0,154,1,0.0,0.006535947712418301
강원특별자치도,강릉시,중국음식,201908,154,1,0,155,1,0.0,0.006493506493506494
강원특별자치도,강릉시,중국음식,201909,155,0,0,155,0,0.0,0.0
강원특별자치도,강릉시,중국음식,201910,155,1,0,156,1,0.0,0.0064516129032258064
강원특별자치도,강릉시,중국음식,201911,156,0,1,155,-1,0.00641025641025641,0.00641025641025641
강원특별자치도,강릉시,중국음식,201912,155,3,0,158,3,0.0,0.01935483870967742
강원특별자치도,강릉시,중국음식,202001,158,0,0,158,0,0.0,0.0
강원특별자치도,강릉시,중국음식,202002,158,1,0,159,1,0.0,0.006329113924050633
강원특별자치도,강릉시,중국음식,202003,159,1,2,158,-1,0.012578616352201259,0.018867924528301886
강원특별자치도,강릉시,중국음식,202004,158,1,1,158,0,0.006329113924050633,0.012658227848101266
